#Source	Type	SizeFrac	SampName
RawFastqs/SRR15563446_1.fastq.gz	DNA	Frac_0.2	SRR15563446
RawFastqs/SRR15563446_2.fastq.gz	DNA	Frac_0.2	SRR15563446
RawFastqs/SRR15563447_1.fastq.gz	DNA	Frac_0.2	SRR15563447
RawFastqs/SRR15563447_2.fastq.gz	DNA	Frac_0.2	SRR15563447
RawFastqs/SRR15563448_1.fastq.gz	DNA	Frac_0.2	SRR15563448
RawFastqs/SRR15563448_2.fastq.gz	DNA	Frac_0.2	SRR15563448
RawFastqs/SRR15563449_1.fastq.gz	DNA	Frac_0.2	SRR15563449
RawFastqs/SRR15563449_2.fastq.gz	DNA	Frac_0.2	SRR15563449
RawFastqs/SRR15563450_1.fastq.gz	DNA	Frac_0.2	SRR15563450
RawFastqs/SRR15563450_2.fastq.gz	DNA	Frac_0.2	SRR15563450
RawFastqs/SRR15563451_1.fastq.gz	DNA	Frac_0.2	SRR15563451
RawFastqs/SRR15563451_2.fastq.gz	DNA	Frac_0.2	SRR15563451
RawFastqs/SRR15563452_1.fastq.gz	DNA	Frac_0.2	SRR15563452
RawFastqs/SRR15563452_2.fastq.gz	DNA	Frac_0.2	SRR15563452
RawFastqs/SRR15563453_1.fastq.gz	DNA	Frac_0.2	SRR15563453
RawFastqs/SRR15563453_2.fastq.gz	DNA	Frac_0.2	SRR15563453
RawFastqs/SRR15563454_1.fastq.gz	DNA	Frac_0.2	SRR15563454
RawFastqs/SRR15563454_2.fastq.gz	DNA	Frac_0.2	SRR15563454
RawFastqs/SRR15563455_1.fastq.gz	DNA	Frac_0.2	SRR15563455
RawFastqs/SRR15563455_2.fastq.gz	DNA	Frac_0.2	SRR15563455
RawFastqs/SRR15563456_1.fastq.gz	DNA	Frac_0.2	SRR15563456
RawFastqs/SRR15563456_2.fastq.gz	DNA	Frac_0.2	SRR15563456
RawFastqs/SRR15563457_1.fastq.gz	DNA	Frac_0.2	SRR15563457
RawFastqs/SRR15563457_2.fastq.gz	DNA	Frac_0.2	SRR15563457
RawFastqs/SRR15563458_1.fastq.gz	DNA	Frac_0.2	SRR15563458
RawFastqs/SRR15563458_2.fastq.gz	DNA	Frac_0.2	SRR15563458
RawFastqs/SRR15563459_1.fastq.gz	DNA	Frac_0.2	SRR15563459
RawFastqs/SRR15563459_2.fastq.gz	DNA	Frac_0.2	SRR15563459
RawFastqs/SRR15563460_1.fastq.gz	DNA	Frac_0.2	SRR15563460
RawFastqs/SRR15563460_2.fastq.gz	DNA	Frac_0.2	SRR15563460
RawFastqs/SRR15563461_1.fastq.gz	DNA	Frac_0.2	SRR15563461
RawFastqs/SRR15563461_2.fastq.gz	DNA	Frac_0.2	SRR15563461
RawFastqs/SRR15563462_1.fastq.gz	DNA	Frac_0.2	SRR15563462
RawFastqs/SRR15563462_2.fastq.gz	DNA	Frac_0.2	SRR15563462
RawFastqs/SRR15563463_1.fastq.gz	DNA	Frac_0.2	SRR15563463
RawFastqs/SRR15563463_2.fastq.gz	DNA	Frac_0.2	SRR15563463
RawFastqs/SRR15563464_1.fastq.gz	DNA	Frac_0.2	SRR15563464
RawFastqs/SRR15563464_2.fastq.gz	DNA	Frac_0.2	SRR15563464
RawFastqs/SRR15563465_1.fastq.gz	DNA	Frac_0.2	SRR15563465
RawFastqs/SRR15563465_2.fastq.gz	DNA	Frac_0.2	SRR15563465
RawFastqs/SRR15563466_1.fastq.gz	DNA	Frac_0.2	SRR15563466
RawFastqs/SRR15563466_2.fastq.gz	DNA	Frac_0.2	SRR15563466
RawFastqs/SRR15563467_1.fastq.gz	DNA	Frac_0.2	SRR15563467
RawFastqs/SRR15563467_2.fastq.gz	DNA	Frac_0.2	SRR15563467
RawFastqs/SRR15563468_1.fastq.gz	DNA	Frac_0.2	SRR15563468
RawFastqs/SRR15563468_2.fastq.gz	DNA	Frac_0.2	SRR15563468
RawFastqs/SRR15563469_1.fastq.gz	DNA	Frac_0.2	SRR15563469
RawFastqs/SRR15563469_2.fastq.gz	DNA	Frac_0.2	SRR15563469
RawFastqs/SRR15563470_1.fastq.gz	DNA	Frac_0.2	SRR15563470
RawFastqs/SRR15563470_2.fastq.gz	DNA	Frac_0.2	SRR15563470
RawFastqs/SRR15563471_1.fastq.gz	DNA	Frac_0.2	SRR15563471
RawFastqs/SRR15563471_2.fastq.gz	DNA	Frac_0.2	SRR15563471
RawFastqs/SRR15563472_1.fastq.gz	DNA	Frac_0.2	SRR15563472
RawFastqs/SRR15563472_2.fastq.gz	DNA	Frac_0.2	SRR15563472
RawFastqs/SRR15563473_1.fastq.gz	DNA	Frac_0.2	SRR15563473
RawFastqs/SRR15563473_2.fastq.gz	DNA	Frac_0.2	SRR15563473
RawFastqs/SRR15563474_1.fastq.gz	DNA	Frac_0.2	SRR15563474
RawFastqs/SRR15563474_2.fastq.gz	DNA	Frac_0.2	SRR15563474
RawFastqs/SRR15563475_1.fastq.gz	DNA	Frac_0.2	SRR15563475
RawFastqs/SRR15563475_2.fastq.gz	DNA	Frac_0.2	SRR15563475
RawFastqs/SRR15563476_1.fastq.gz	DNA	Frac_0.2	SRR15563476
RawFastqs/SRR15563476_2.fastq.gz	DNA	Frac_0.2	SRR15563476
RawFastqs/SRR15563477_1.fastq.gz	DNA	Frac_0.2	SRR15563477
RawFastqs/SRR15563477_2.fastq.gz	DNA	Frac_0.2	SRR15563477
RawFastqs/SRR15563478_1.fastq.gz	DNA	Frac_0.2	SRR15563478
RawFastqs/SRR15563478_2.fastq.gz	DNA	Frac_0.2	SRR15563478
RawFastqs/SRR15563479_1.fastq.gz	DNA	Frac_0.2	SRR15563479
RawFastqs/SRR15563479_2.fastq.gz	DNA	Frac_0.2	SRR15563479
RawFastqs/SRR15563480_1.fastq.gz	DNA	Frac_0.2	SRR15563480
RawFastqs/SRR15563480_2.fastq.gz	DNA	Frac_0.2	SRR15563480
RawFastqs/SRR15563481_1.fastq.gz	DNA	Frac_0.2	SRR15563481
RawFastqs/SRR15563481_2.fastq.gz	DNA	Frac_0.2	SRR15563481
RawFastqs/SRR15563482_1.fastq.gz	DNA	Frac_0.2	SRR15563482
RawFastqs/SRR15563482_2.fastq.gz	DNA	Frac_0.2	SRR15563482
RawFastqs/SRR15563483_1.fastq.gz	DNA	Frac_0.2	SRR15563483
RawFastqs/SRR15563483_2.fastq.gz	DNA	Frac_0.2	SRR15563483
RawFastqs/SRR15563484_1.fastq.gz	DNA	Frac_0.2	SRR15563484
RawFastqs/SRR15563484_2.fastq.gz	DNA	Frac_0.2	SRR15563484
RawFastqs/SRR15563485_1.fastq.gz	DNA	Frac_0.2	SRR15563485
RawFastqs/SRR15563485_2.fastq.gz	DNA	Frac_0.2	SRR15563485
RawFastqs/SRR15563486_1.fastq.gz	DNA	Frac_0.2	SRR15563486
RawFastqs/SRR15563486_2.fastq.gz	DNA	Frac_0.2	SRR15563486
RawFastqs/SRR15563487_1.fastq.gz	DNA	Frac_0.2	SRR15563487
RawFastqs/SRR15563487_2.fastq.gz	DNA	Frac_0.2	SRR15563487
RawFastqs/SRR15563488_1.fastq.gz	DNA	Frac_0.2	SRR15563488
RawFastqs/SRR15563488_2.fastq.gz	DNA	Frac_0.2	SRR15563488
RawFastqs/SRR15563489_1.fastq.gz	DNA	Frac_0.2	SRR15563489
RawFastqs/SRR15563489_2.fastq.gz	DNA	Frac_0.2	SRR15563489
RawFastqs/SRR15563490_1.fastq.gz	DNA	Frac_0.2	SRR15563490
RawFastqs/SRR15563490_2.fastq.gz	DNA	Frac_0.2	SRR15563490
RawFastqs/SRR15563491_1.fastq.gz	DNA	Frac_0.2	SRR15563491
