asvLen	totReads	numSamps
ASV.1	296	128519	39
ASV.2	328	102417	18
ASV.3	386	85782	36
ASV.4	295	73737	28
ASV.5	325	44377	3
ASV.6	328	36470	12
ASV.7	386	28370	25
ASV.8	328	24734	14
ASV.9	325	21846	5
ASV.10	386	17511	24
ASV.11	328	14977	11
ASV.12	328	13148	7
ASV.13	328	11800	3
ASV.14	287	9631	7
ASV.15	328	9587	10
ASV.16	328	8199	5
ASV.17	328	7890	15
ASV.18	328	7479	21
ASV.19	328	7303	8
ASV.20	328	7001	2
ASV.21	328	6497	6
ASV.22	386	6186	6
ASV.23	386	6160	21
ASV.24	386	5963	18
ASV.25	328	5905	7
ASV.26	328	5608	1
ASV.27	337	5487	21
ASV.28	328	5486	6
ASV.29	296	5451	11
ASV.30	374	4818	20
ASV.31	386	4745	20
ASV.32	386	4714	19
ASV.33	328	4639	5
ASV.34	328	4590	1
ASV.35	328	4103	1
ASV.37	328	4038	3
ASV.38	307	3962	29
ASV.39	328	3897	1
ASV.40	328	3893	11
ASV.41	328	3823	1
ASV.42	328	3600	1
ASV.43	296	3388	11
ASV.44	328	3388	2
ASV.45	328	3271	3
ASV.46	328	3218	3
ASV.47	328	3116	1
ASV.48	328	3036	1
ASV.49	386	3031	13
ASV.50	328	3025	3
ASV.51	328	3019	1
ASV.52	328	2953	4
ASV.53	386	2817	14
ASV.54	328	2711	2
ASV.55	328	2703	5
ASV.56	328	2692	3
ASV.57	328	2679	1
ASV.58	328	2646	1
ASV.59	328	2533	1
ASV.60	328	2498	3
ASV.61	328	2468	1
ASV.62	328	2453	1
ASV.63	328	2447	1
ASV.64	328	2395	3
ASV.65	328	2377	1
ASV.66	328	2359	3
ASV.67	328	2296	1
ASV.69	328	2262	3
ASV.70	328	2250	13
ASV.71	297	2237	2
ASV.72	328	2211	3
ASV.73	328	2126	1
ASV.74	328	2110	2
ASV.75	328	2072	4
ASV.76	328	2023	4
ASV.77	287	1994	4
ASV.78	386	1974	8
ASV.81	386	1879	15
ASV.82	328	1862	1
ASV.83	328	1853	1
ASV.84	358	1823	1
ASV.85	328	1796	1
ASV.86	328	1782	5
ASV.87	328	1765	14
ASV.88	328	1737	3
ASV.89	328	1722	3
ASV.90	287	1706	5
ASV.91	367	1702	18
ASV.92	328	1673	1
ASV.93	328	1654	5
ASV.94	328	1642	3
ASV.95	328	1610	1
ASV.96	328	1588	1
ASV.98	328	1549	5
ASV.99	328	1539	2
ASV.100	328	1484	1
ASV.101	386	1477	8
ASV.102	328	1475	5
ASV.103	386	1460	7
ASV.104	328	1447	1
ASV.105	328	1420	1
ASV.106	328	1415	3
ASV.107	328	1415	2
ASV.108	328	1396	1
ASV.109	328	1394	1
ASV.110	237	1391	11
ASV.111	328	1371	1
ASV.112	328	1360	5
ASV.113	386	1338	9
ASV.114	384	1317	7
ASV.115	328	1313	2
ASV.117	328	1278	3
ASV.118	328	1277	1
ASV.119	375	1266	7
ASV.120	328	1246	1
ASV.121	328	1236	1
ASV.122	328	1226	1
ASV.124	295	1190	11
ASV.125	328	1186	2
ASV.126	328	1183	3
ASV.127	328	1180	1
ASV.129	328	1179	1
ASV.130	328	1163	1
ASV.131	386	1152	10
ASV.133	375	1121	8
ASV.134	328	1112	3
ASV.135	374	1098	7
ASV.136	328	1090	2
ASV.137	287	1079	3
ASV.138	328	1075	1
ASV.139	320	1069	14
ASV.140	341	1069	12
ASV.142	325	1060	1
ASV.143	328	1036	1
ASV.144	364	1011	1
ASV.145	328	1005	1
ASV.146	296	996	8
ASV.148	386	990	13
ASV.149	328	989	1
ASV.150	328	986	2
ASV.151	328	983	1
ASV.152	328	973	3
ASV.153	328	972	1
ASV.154	328	971	1
ASV.155	328	970	1
ASV.156	328	963	2
ASV.157	328	953	5
ASV.158	328	950	1
ASV.159	328	942	2
ASV.160	328	931	1
ASV.161	328	908	1
ASV.162	328	907	1
ASV.164	337	896	9
ASV.165	328	895	1
ASV.166	287	891	7
ASV.168	328	879	1
ASV.169	328	865	1
ASV.171	328	861	1
ASV.172	328	858	1
ASV.174	328	853	1
ASV.177	328	841	1
ASV.179	328	839	2
ASV.180	328	835	6
ASV.181	287	833	4
ASV.182	328	831	2
