Harding138-63181	Harding140-63189	Harding142-63191	Harding144-63201	Harding146-63211	Harding148-63217	Harding150-63221	Harding152-63235	Harding154-63243	Harding157-64171	Harding159-64179	Harding162-64203	Harding164-64211	Harding166-64219	Harding168-64227	Harding170-64235	Harding171-64243	Harding172-64259	Harding173-64267	Harding175-64283	Harding178-64299	Harding180-64307	Harding182-65458	Harding184-65466	Harding186-65474	Harding189-65490	Harding191-65510	Harding194-65532	Harding196-65546	Harding198-65548	Harding199-65556	Harding201-65567	Harding203-65575	Harding205-65583	Harding207-65591	Harding210-65607	Harding212-65639	Harding214-65647	Harding222-66631	Harding223-66672	Harding225-66680	Harding228-66697	Harding230-66706
ASV.1	0	0	7227	1120	17331	63	2780	8919	1153	0	807	10547	4491	358	14431	3762	10692	957	15161	483	1024	505	3656	499	600	0	346	3739	83	26	78	3905	1301	4354	603	245	59	515	2847	1185	1602	753	312
ASV.2	0	9282	0	7747	0	0	0	0	0	3640	0	0	0	5	0	0	0	0	0	0	0	0	0	2085	4098	0	0	1154	8390	20530	5622	0	0	6965	955	6315	5841	1361	3127	0	7419	7881	0
ASV.3	0	4357	1245	72	990	6036	733	1422	955	0	0	1472	4770	451	1858	8346	0	612	0	1710	4019	4556	2500	11008	5209	1386	650	2397	1163	0	143	499	1031	2100	5114	318	45	259	3126	794	2428	2008	0
ASV.4	29	19571	5218	395	5369	20198	827	6250	4668	212	47	82	343	0	71	1663	0	0	0	44	120	0	289	4617	0	0	0	645	225	49	0	0	0	652	1589	0	0	0	305	163	56	0	40
ASV.5	31003	5143	8231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.6	239	0	0	859	0	0	836	0	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1624	0	664	0	1156	0	13553	0	0	4896	1507	0	0	0	4894	5868	0
ASV.7	0	0	1045	0	1236	0	0	657	154	0	0	1286	1694	0	1492	1941	0	0	0	0	583	0	2549	1102	0	1	1	3833	509	155	0	976	397	4062	1704	0	0	0	259	2182	240	265	47
ASV.8	622	0	0	419	0	0	1	0	0	51	0	0	0	0	0	0	0	0	0	4536	1157	0	0	0	1526	0	0	0	345	0	1171	0	0	0	0	601	1078	207	2014	0	0	0	11006
ASV.9	2593	0	0	0	0	0	0	107	0	961	18070	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.10	0	206	430	0	422	317	0	330	91	0	0	486	1464	0	684	2378	0	102	6	240	416	399	1270	1960	125	0	0	1937	392	0	0	368	0	2082	1147	0	0	0	0	259	0	0	0
ASV.11	1081	0	0	846	0	0	0	4911	1389	1051	0	0	1099	0	0	3857	0	0	0	0	0	0	0	0	143	0	266	0	0	0	140	0	0	0	0	0	194	0	0	0	0	0	0
ASV.12	0	0	0	267	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4417	1369	0	972	0	0	5535	0	0	0	0	238	0	0	0	0	0	0
ASV.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9107	1901	792	0
ASV.14	0	0	0	0	0	0	0	0	0	0	0	0	0	1817	0	0	0	4999	0	515	0	705	0	0	171	0	0	0	0	0	0	0	634	0	0	0	0	0	790	0	0	0	0
ASV.15	0	0	0	906	0	0	1452	0	0	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	811	0	684	0	1600	0	813	0	0	0	0	0	552	1034	1369	0	0	0	0
ASV.16	0	0	0	0	0	0	172	2246	0	287	5215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.17	0	0	0	441	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662	0	0	359	820	1290	24	717	0	549	0	0	0	209	1200	352	164	244	0	732	0	0
ASV.18	22	0	0	318	0	0	429	0	72	40	174	0	0	0	0	31	0	0	0	0	162	303	0	0	327	233	1344	0	605	0	761	0	218	0	69	577	409	127	0	0	1004	254	0
ASV.19	0	0	0	1172	0	0	0	0	303	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2051	0	955	0	0	0	0	0	0	0	222	86	0	0	0	2063	0
ASV.20	1408	0	0	0	0	0	0	5593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.21	0	0	0	678	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1875	2967	0	0	0	363	0	0	0	0	0	493	0	0	0	0	0	0
ASV.22	0	663	0	0	0	954	0	0	0	0	0	0	703	0	0	1384	0	0	0	0	0	0	0	1996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	0	0	0
