asvLen	totReads	numSamps
ASV.1	328	164163	27
ASV.2	325	145085	11
ASV.3	328	38313	21
ASV.4	295	32986	17
ASV.5	386	28231	30
ASV.6	328	24517	24
ASV.7	328	23060	1
ASV.8	328	22993	16
ASV.9	328	20156	35
ASV.10	328	19769	17
ASV.11	328	16874	24
ASV.12	296	15860	34
ASV.13	328	14705	16
ASV.14	328	14324	7
ASV.15	328	12510	16
ASV.16	328	11352	16
ASV.17	328	10761	16
ASV.18	328	9896	12
ASV.19	328	9754	4
ASV.20	386	9171	13
ASV.21	328	9168	16
ASV.22	328	8264	10
ASV.23	328	7907	4
ASV.24	328	7521	6
ASV.25	328	7195	12
ASV.26	328	6413	12
ASV.27	386	6336	7
ASV.28	328	6140	1
ASV.29	328	5929	9
ASV.30	328	5830	7
ASV.31	328	5760	1
ASV.32	325	5712	1
ASV.33	328	5337	7
ASV.34	328	4978	4
ASV.35	328	4931	3
ASV.36	328	4916	2
ASV.37	328	4773	8
ASV.38	328	4512	8
ASV.39	328	4224	8
ASV.40	328	4144	3
ASV.41	328	4073	7
ASV.42	328	4013	5
ASV.43	328	3921	7
ASV.44	328	3915	2
ASV.45	328	3883	4
ASV.46	328	3834	8
ASV.47	328	3701	4
ASV.48	328	3686	19
ASV.49	328	3681	1
ASV.50	384	3648	14
ASV.51	328	3641	3
ASV.52	328	3377	1
ASV.53	328	3365	1
ASV.54	328	3298	2
ASV.55	328	3224	7
ASV.56	328	3189	1
ASV.57	386	3079	5
ASV.58	328	3070	2
ASV.59	337	3039	18
ASV.60	386	3032	4
ASV.61	328	2997	9
ASV.62	328	2958	2
ASV.63	328	2948	1
ASV.64	328	2936	1
ASV.65	322	2748	1
ASV.66	328	2734	1
ASV.67	328	2637	2
ASV.68	328	2498	7
ASV.69	328	2434	9
ASV.70	328	2395	1
ASV.71	328	2394	21
ASV.72	328	2379	8
ASV.73	328	2359	13
ASV.74	328	2280	9
ASV.75	328	2266	1
ASV.76	328	2136	1
ASV.77	328	2112	2
ASV.78	386	2109	5
ASV.79	328	2092	2
ASV.80	271	2032	2
ASV.81	328	2027	1
ASV.83	328	1956	4
ASV.84	328	1940	3
ASV.85	328	1938	3
ASV.86	328	1889	1
ASV.87	328	1864	1
ASV.88	287	1839	7
ASV.89	328	1774	4
ASV.90	328	1758	2
ASV.92	328	1629	2
ASV.93	386	1627	7
ASV.94	328	1611	1
ASV.95	328	1607	2
ASV.97	328	1563	1
ASV.98	328	1554	1
ASV.99	328	1552	1
ASV.100	328	1547	4
ASV.101	328	1533	1
ASV.102	328	1508	2
ASV.103	328	1502	4
ASV.104	328	1486	2
ASV.105	386	1483	5
ASV.106	328	1465	2
ASV.107	328	1449	1
ASV.108	374	1439	5
ASV.109	328	1436	1
ASV.110	386	1435	6
ASV.111	328	1425	1
ASV.112	328	1423	2
ASV.114	328	1397	4
ASV.116	328	1382	6
ASV.118	328	1379	1
ASV.119	328	1376	1
ASV.120	328	1375	1
ASV.121	328	1374	2
ASV.122	328	1373	1
ASV.123	328	1361	3
ASV.124	328	1343	2
ASV.125	328	1321	4
ASV.126	328	1309	1
ASV.127	328	1303	11
ASV.128	328	1302	4
ASV.129	328	1282	1
ASV.130	328	1250	1
ASV.131	328	1244	8
ASV.132	328	1223	7
ASV.133	328	1217	1
ASV.134	328	1209	4
ASV.135	328	1203	4
ASV.136	328	1184	2
ASV.137	386	1166	9
ASV.138	328	1142	4
ASV.141	328	1107	2
ASV.142	295	1104	14
ASV.143	328	1084	6
ASV.144	328	1080	2
ASV.145	328	1075	1
ASV.146	328	1068	1
ASV.148	328	1040	3
ASV.149	328	1039	1
ASV.150	328	1034	1
ASV.153	328	986	4
ASV.156	328	977	1
ASV.157	328	976	4
ASV.158	328	958	1
ASV.162	328	927	1
ASV.163	328	923	1
ASV.164	260	915	1
ASV.165	328	913	5
ASV.168	328	905	6
ASV.169	328	904	1
ASV.170	307	902	10
ASV.171	328	899	1
ASV.173	328	873	1
ASV.174	328	870	1
ASV.175	328	868	1
ASV.177	328	853	2
ASV.179	328	839	5
ASV.180	328	828	1
ASV.181	328	822	4
ASV.182	328	820	3
ASV.183	328	818	1
ASV.184	325	812	1
ASV.186	328	803	1
ASV.187	328	803	1
ASV.188	325	792	1
ASV.189	328	791	4
ASV.191	328	788	3
ASV.192	328	788	1
ASV.193	328	786	1
ASV.195	328	777	5
ASV.196	328	776	2
ASV.197	328	773	1
ASV.198	328	769	1
ASV.199	328	758	1
ASV.201	328	752	1
ASV.202	328	751	3
ASV.203	328	743	1
ASV.205	328	724	1
ASV.206	295	720	12
ASV.207	328	717	1
ASV.208	328	717	1
ASV.209	328	716	2
ASV.211	328	714	1
ASV.212	328	711	1
ASV.213	328	709	3
ASV.214	328	705	1
ASV.215	328	697	1
ASV.216	328	695	1
ASV.217	328	684	1
ASV.218	328	683	1
ASV.219	328	683	1
ASV.220	328	674	3
ASV.221	328	673	1
ASV.222	328	671	1
ASV.223	328	665	1
ASV.224	374	659	9
ASV.225	328	652	1
ASV.226	328	650	1
ASV.227	328	642	2
ASV.229	328	630	1
ASV.231	325	628	1
ASV.232	328	627	1
ASV.233	328	626	4
ASV.237	328	618	1
ASV.238	328	618	1
ASV.239	386	615	4
ASV.240	328	611	6
ASV.241	328	607	1
ASV.242	328	605	5
ASV.243	328	599	1
ASV.244	328	598	1
ASV.245	328	594	2
ASV.246	328	592	1
ASV.247	328	587	1
ASV.250	328	567	1
ASV.251	386	565	6
ASV.252	328	564	1
ASV.253	328	563	1
ASV.255	328	557	1
ASV.256	328	556	5
ASV.257	384	556	4
ASV.259	328	543	1
ASV.260	328	542	3
ASV.261	328	527	1
ASV.263	328	520	1
ASV.265	328	519	2
ASV.266	328	518	4
ASV.267	328	517	1
ASV.268	390	516	6
ASV.269	386	514	6
ASV.270	328	512	1
ASV.271	328	512	1
ASV.272	328	508	1
ASV.274	328	507	3
ASV.275	295	502	7
ASV.276	328	501	1
ASV.277	386	501	2
ASV.278	328	496	1
ASV.279	328	496	3
ASV.280	328	493	2
ASV.281	328	491	2
ASV.283	328	490	1
ASV.284	295	489	18
ASV.285	328	489	3
ASV.287	328	487	1
ASV.289	328	484	2
ASV.290	328	484	1
ASV.291	328	475	4
ASV.292	337	475	5
ASV.293	328	473	1
ASV.294	328	471	2
ASV.295	328	470	2
ASV.296	328	461	1
ASV.297	244	460	5
ASV.298	328	459	2
ASV.299	328	457	2
ASV.300	328	455	1
ASV.301	328	454	3
ASV.302	328	452	4
ASV.303	328	447	2
ASV.304	328	446	2
ASV.306	328	443	1
ASV.308	328	442	1
ASV.311	328	437	1
ASV.312	328	434	1
ASV.313	328	433	1
ASV.314	328	431	2
ASV.315	328	431	1
ASV.316	328	428	1
ASV.318	328	427	1
ASV.319	328	422	1
ASV.320	328	419	1
ASV.321	328	417	1
ASV.322	328	414	1
ASV.323	328	412	1
ASV.324	325	411	1
ASV.325	328	406	1
ASV.326	328	401	3
ASV.328	328	400	5
ASV.329	328	400	3
ASV.332	325	398	1
ASV.333	328	398	1
ASV.334	328	397	1
ASV.335	328	394	1
ASV.336	328	394	1
ASV.338	328	392	1
ASV.339	328	392	1
ASV.340	237	390	3
ASV.341	328	389	1
ASV.342	328	388	1
ASV.343	328	384	1
