asvLen	totReads	numSamps
ASV.1	328	9096	5
ASV.2	328	5140	6
ASV.3	271	4347	2
ASV.4	328	4220	5
ASV.5	328	3634	5
ASV.6	328	2470	5
ASV.7	328	2368	4
ASV.8	328	1959	4
ASV.9	328	1717	3
ASV.10	328	1622	5
ASV.11	328	1464	3
ASV.12	328	1386	4
ASV.13	328	1159	4
ASV.14	328	1026	1
ASV.15	328	983	6
ASV.16	328	798	3
ASV.17	328	793	5
ASV.18	386	714	5
ASV.19	328	698	5
ASV.21	260	642	1
ASV.22	328	631	4
ASV.23	328	606	1
ASV.24	328	580	3
ASV.25	312	569	1
ASV.26	328	540	3
ASV.27	328	514	4
ASV.28	328	512	5
ASV.29	328	485	3
ASV.30	271	460	1
ASV.31	371	439	5
ASV.32	328	434	1
ASV.33	328	428	3
ASV.34	341	427	5
ASV.35	271	427	1
ASV.36	328	425	4
ASV.37	328	421	2
ASV.38	328	415	4
ASV.39	328	411	3
ASV.40	328	406	2
ASV.41	328	405	1
ASV.42	328	403	1
ASV.43	265	392	5
ASV.44	328	384	3
ASV.45	328	363	4
ASV.46	307	360	5
ASV.47	328	360	4
ASV.48	328	343	1
ASV.49	328	327	2
ASV.50	367	319	5
ASV.51	341	309	5
ASV.52	328	299	3
ASV.53	328	298	4
ASV.54	328	296	4
ASV.55	328	296	3
ASV.56	328	293	4
ASV.57	328	287	4
ASV.58	260	283	5
ASV.59	328	271	3
ASV.60	328	267	3
ASV.61	386	263	5
ASV.62	391	263	1
ASV.63	328	252	2
ASV.64	295	246	5
ASV.65	386	244	5
ASV.66	328	238	2
ASV.67	328	235	1
ASV.68	347	230	6
ASV.69	230	229	4
ASV.70	248	229	1
ASV.71	328	225	1
ASV.72	328	224	3
ASV.73	283	223	1
ASV.74	296	222	5
ASV.75	232	214	1
ASV.76	328	210	2
ASV.77	232	210	1
ASV.78	391	208	1
ASV.79	371	197	5
ASV.80	328	193	4
ASV.81	328	193	4
ASV.82	328	190	4
ASV.83	328	188	1
ASV.85	295	182	6
ASV.86	328	182	1
ASV.87	369	173	5
ASV.88	328	171	3
ASV.89	227	170	5
ASV.90	259	166	2
ASV.91	328	166	3
ASV.92	328	164	3
ASV.93	328	162	2
ASV.94	328	159	2
ASV.95	328	159	2
ASV.96	367	150	4
ASV.97	328	149	2
ASV.98	328	148	1
ASV.100	328	143	3
ASV.101	337	143	1
ASV.102	328	140	1
ASV.103	328	140	1
ASV.104	328	139	1
ASV.105	328	139	2
ASV.106	328	134	3
ASV.107	260	134	4
ASV.108	328	134	2
ASV.109	328	134	4
ASV.110	341	133	4
ASV.112	328	133	3
ASV.113	328	133	1
ASV.114	260	132	3
ASV.115	328	131	1
ASV.116	328	131	2
ASV.117	328	130	5
ASV.118	295	128	4
ASV.119	328	126	2
ASV.120	371	125	3
ASV.121	374	125	4
ASV.122	328	125	2
ASV.123	328	122	1
ASV.124	328	121	1
ASV.125	328	120	2
ASV.127	260	116	5
ASV.128	328	116	4
ASV.129	295	113	5
ASV.130	328	113	2
ASV.131	328	113	1
ASV.132	328	112	1
ASV.133	328	112	2
ASV.134	328	111	1
ASV.135	295	110	4
ASV.136	295	109	5
ASV.138	289	109	1
ASV.140	230	108	1
ASV.141	294	107	1
ASV.142	328	106	1
ASV.143	260	103	2
ASV.144	328	99	3
ASV.145	328	99	2
ASV.147	246	97	1
ASV.148	328	95	1
ASV.149	328	94	2
ASV.151	328	90	1
ASV.152	245	89	1
ASV.153	375	87	5
ASV.154	371	87	3
ASV.155	341	87	4
ASV.156	328	86	1
ASV.157	328	86	2
ASV.158	328	86	2
ASV.159	371	83	3
ASV.160	328	83	3
ASV.161	328	83	3
ASV.162	328	81	1
ASV.163	328	80	2
ASV.165	328	79	1
ASV.166	328	78	2
ASV.167	337	77	1
ASV.168	320	77	1
ASV.169	328	76	2
ASV.170	232	76	1
ASV.171	328	75	2
ASV.172	328	75	1
ASV.173	328	75	1
ASV.174	328	75	2
ASV.175	371	74	3
ASV.176	328	74	1
ASV.177	328	73	1
ASV.179	328	73	1
ASV.180	287	72	5
ASV.183	328	72	1
