Harding215-66541	Harding216-66543	Harding217-66560	Harding218-66564	Harding219-66566	Harding231-66709
ASV.1	1090	578	2549	2161	2718	0
ASV.2	464	1119	1614	834	1038	71
ASV.3	3	0	0	0	0	4344
ASV.4	2009	626	655	408	522	0
ASV.5	500	1542	644	462	486	0
ASV.6	359	553	736	467	355	0
ASV.7	0	63	1130	593	582	0
ASV.8	0	903	329	205	522	0
ASV.9	0	883	378	0	456	0
ASV.10	0	102	108	420	492	500
ASV.11	0	751	445	0	268	0
ASV.12	0	566	245	423	152	0
ASV.13	0	840	189	83	47	0
ASV.14	1026	0	0	0	0	0
ASV.15	299	44	353	65	77	145
ASV.16	0	0	199	458	141	0
ASV.17	12	206	221	164	190	0
ASV.18	248	160	96	110	100	0
ASV.19	247	5	43	362	41	0
ASV.21	0	0	0	0	0	642
ASV.22	325	0	86	55	165	0
ASV.23	606	0	0	0	0	0
ASV.24	0	0	317	143	120	0
ASV.25	0	0	0	0	0	569
ASV.26	0	0	293	206	41	0
ASV.27	0	291	15	112	96	0
ASV.28	102	135	220	27	28	0
ASV.29	0	437	13	0	35	0
ASV.30	0	0	0	0	0	460
ASV.31	99	198	33	87	22	0
ASV.32	434	0	0	0	0	0
ASV.33	0	0	387	35	6	0
ASV.34	107	162	31	112	15	0
ASV.35	0	0	0	0	0	427
ASV.36	0	80	84	158	103	0
ASV.37	0	0	341	0	80	0
ASV.38	0	150	157	50	58	0
ASV.39	0	163	0	141	107	0
ASV.40	393	0	0	0	13	0
ASV.41	0	405	0	0	0	0
ASV.42	0	0	0	0	0	403
ASV.43	123	87	31	112	39	0
ASV.44	0	170	178	0	36	0
ASV.45	0	0	37	62	43	221
ASV.46	74	94	68	62	62	0
ASV.47	0	264	36	41	19	0
ASV.48	0	343	0	0	0	0
ASV.49	325	0	2	0	0	0
ASV.50	124	103	29	44	19	0
ASV.51	51	138	23	84	13	0
ASV.52	255	0	33	0	11	0
ASV.53	0	6	206	14	72	0
ASV.54	4	0	98	117	77	0
ASV.55	0	0	45	150	101	0
ASV.56	0	13	34	230	16	0
ASV.57	47	0	96	68	76	0
ASV.58	51	50	42	103	37	0
ASV.59	0	0	96	116	59	0
ASV.60	0	0	63	105	99	0
ASV.61	66	42	32	78	45	0
ASV.62	0	0	0	0	0	263
ASV.63	0	0	203	0	49	0
ASV.64	111	31	43	25	36	0
ASV.65	66	65	37	37	39	0
ASV.66	219	0	19	0	0	0
ASV.67	0	235	0	0	0	0
ASV.68	12	103	45	28	33	9
ASV.69	15	164	32	0	0	18
ASV.70	0	0	0	0	0	229
ASV.71	0	225	0	0	0	0
ASV.72	0	149	37	0	38	0
ASV.73	0	0	0	0	0	223
ASV.74	74	50	0	36	28	34
ASV.75	0	0	0	0	0	214
ASV.76	0	197	0	0	13	0
ASV.77	0	0	0	0	0	210
ASV.78	0	0	0	0	0	208
ASV.79	37	91	0	31	28	10
ASV.80	0	45	10	114	24	0
ASV.81	0	30	32	63	68	0
ASV.82	0	81	71	15	23	0
ASV.83	188	0	0	0	0	0
ASV.85	26	28	12	46	29	41
ASV.86	182	0	0	0	0	0
ASV.87	27	60	24	41	21	0
ASV.88	0	0	9	63	99	0
ASV.89	31	72	12	36	19	0
ASV.90	37	129	0	0	0	0
ASV.91	0	0	64	45	57	0
ASV.92	0	0	143	2	19	0
ASV.93	0	0	128	0	34	0
ASV.94	144	0	0	0	15	0
ASV.95	0	0	0	149	10	0
ASV.96	62	44	17	27	0	0
ASV.97	0	0	125	24	0	0
ASV.98	0	0	0	148	0	0
ASV.100	0	0	38	38	67	0
ASV.101	0	0	0	0	0	143
ASV.102	140	0	0	0	0	0
ASV.103	0	0	0	140	0	0
ASV.104	0	0	139	0	0	0
ASV.105	0	0	0	80	59	0
ASV.106	79	0	18	0	37	0
ASV.107	0	23	69	27	15	0
ASV.108	0	122	0	0	12	0
ASV.109	0	0	22	29	45	38
ASV.110	15	62	14	42	0	0
ASV.112	0	0	36	80	17	0
ASV.113	0	0	0	133	0	0
ASV.114	0	74	0	29	29	0
ASV.115	0	131	0	0	0	0
ASV.116	0	128	0	3	0	0
ASV.117	16	6	40	28	40	0
ASV.118	0	5	76	16	31	0
ASV.119	0	0	78	0	48	0
ASV.120	27	55	0	43	0	0
ASV.121	0	70	16	24	15	0
ASV.122	0	0	117	0	8	0
ASV.123	0	0	0	122	0	0
ASV.124	121	0	0	0	0	0
ASV.125	0	4	116	0	0	0
ASV.127	17	40	8	30	21	0
ASV.128	0	18	38	42	18	0
ASV.129	16	57	15	10	15	0
ASV.130	0	0	67	46	0	0
ASV.131	0	0	0	113	0	0
ASV.132	0	0	112	0	0	0
ASV.133	0	0	0	102	10	0
ASV.134	0	0	111	0	0	0
ASV.135	0	29	39	17	25	0
ASV.136	8	28	33	25	15	0
ASV.138	0	0	0	0	0	109
ASV.140	0	0	0	0	0	108
ASV.141	0	0	0	0	0	107
ASV.142	0	0	106	0	0	0
ASV.143	0	42	0	61	0	0
ASV.144	0	0	17	36	46	0
ASV.145	0	0	0	76	23	0
ASV.147	0	0	0	0	0	97
ASV.148	0	0	0	95	0	0
ASV.149	0	0	43	0	51	0
ASV.151	0	0	0	0	90	0
ASV.152	0	89	0	0	0	0
ASV.153	16	21	19	18	13	0
ASV.154	36	30	0	21	0	0
ASV.155	0	41	9	21	0	16
ASV.156	86	0	0	0	0	0
ASV.157	0	0	18	68	0	0
ASV.158	0	0	0	55	31	0
ASV.159	20	29	0	34	0	0
ASV.160	0	42	28	0	13	0
ASV.161	0	0	35	16	32	0
ASV.162	0	0	0	0	81	0
ASV.163	0	0	0	62	18	0
ASV.165	0	0	79	0	0	0
ASV.166	0	0	50	0	28	0
ASV.167	0	0	0	0	0	77
ASV.168	0	0	0	0	0	77
ASV.169	0	0	61	0	15	0
ASV.170	0	0	0	0	0	76
ASV.171	62	0	0	0	13	0
ASV.172	0	75	0	0	0	0
ASV.173	0	0	0	75	0	0
ASV.174	0	0	0	22	53	0
ASV.175	26	37	0	11	0	0
ASV.176	0	0	74	0	0	0
ASV.177	0	0	73	0	0	0
ASV.179	0	0	0	0	73	0
ASV.180	7	18	0	20	8	19
ASV.183	0	0	0	72	0	0
ASV.186	0	0	0	71	0	0
ASV.188	0	68	0	0	0	0
ASV.189	0	0	0	0	68	0
ASV.190	5	16	23	10	13	0
ASV.191	0	0	67	0	0	0
ASV.192	0	0	0	0	67	0
ASV.193	0	0	0	0	0	67
ASV.194	13	27	0	26	0	0
ASV.195	0	0	0	36	30	0
ASV.196	0	0	0	0	65	0
ASV.197	0	0	0	0	0	65
ASV.198	23	41	0	0	0	0
ASV.200	0	0	64	0	0	0
ASV.201	0	0	0	0	64	0
ASV.202	0	0	0	63	0	0
ASV.203	0	0	0	63	0	0
ASV.205	0	0	62	0	0	0
ASV.206	0	0	21	0	41	0
ASV.207	0	0	0	48	14	0
ASV.208	0	0	0	62	0	0
