asvLen	totReads	numSamps
ASV.1	325	1043342	28
ASV.2	325	780423	26
ASV.3	325	268401	19
ASV.4	324	71983	2
ASV.5	328	52122	26
ASV.6	325	48738	1
ASV.7	227	40167	24
ASV.10	325	30615	21
ASV.13	329	20177	13
ASV.14	227	19043	27
ASV.15	325	17551	1
ASV.16	227	14131	3
ASV.19	329	12277	9
ASV.20	328	11863	8
ASV.21	328	11756	6
ASV.24	316	9804	11
ASV.33	307	8144	5
ASV.35	328	7249	1
ASV.39	325	6397	1
ASV.44	328	5335	4
ASV.45	322	5233	7
ASV.47	307	4878	7
ASV.48	227	4819	23
ASV.49	307	4791	4
ASV.50	228	4400	9
ASV.51	307	4133	4
ASV.53	325	4005	1
ASV.54	237	3772	1
ASV.57	227	3494	9
ASV.58	328	3419	1
ASV.59	328	3362	1
ASV.60	328	3288	2
ASV.61	198	3214	5
ASV.64	227	2997	8
ASV.65	328	2976	1
ASV.67	325	2685	1
ASV.69	316	2589	10
ASV.71	325	2455	2
ASV.77	307	2252	3
ASV.78	307	2215	3
ASV.79	328	2201	1
ASV.80	325	2192	1
ASV.83	325	2120	2
ASV.84	227	2059	7
ASV.86	328	1958	5
ASV.90	227	1830	4
ASV.91	238	1827	9
ASV.93	328	1758	1
ASV.94	362	1609	12
ASV.96	328	1536	4
ASV.99	328	1498	1
ASV.100	297	1493	3
ASV.105	227	1400	7
ASV.108	328	1377	5
ASV.109	325	1349	1
ASV.110	316	1343	5
ASV.111	325	1327	5
ASV.112	328	1274	1
ASV.113	294	1253	7
ASV.115	325	1252	2
ASV.117	217	1245	5
ASV.120	328	1188	1
ASV.122	325	1167	1
ASV.123	232	1144	4
ASV.124	227	1136	11
ASV.127	251	1112	3
ASV.128	325	1103	1
ASV.130	364	1096	1
ASV.132	307	1083	3
ASV.136	328	1056	2
ASV.138	323	1024	2
ASV.140	325	1009	2
ASV.141	295	977	2
ASV.142	297	976	3
ASV.144	227	960	7
ASV.145	290	933	8
ASV.148	229	904	6
ASV.149	246	892	8
ASV.150	272	889	6
ASV.151	227	889	2
ASV.153	328	881	1
ASV.155	201	857	6
ASV.156	201	849	8
ASV.157	227	844	2
ASV.161	365	823	3
ASV.162	288	817	1
ASV.164	329	809	9
ASV.166	232	799	5
ASV.167	272	795	3
ASV.168	362	792	9
ASV.170	201	782	6
ASV.171	325	777	2
ASV.172	280	775	9
ASV.173	201	774	6
ASV.174	328	773	1
ASV.176	325	756	4
ASV.178	217	744	4
ASV.181	328	735	1
ASV.182	328	731	1
ASV.184	328	724	3
ASV.185	355	698	17
ASV.186	341	691	13
ASV.187	262	683	1
ASV.189	328	657	5
ASV.190	280	650	1
ASV.191	325	647	1
ASV.192	316	640	6
ASV.193	319	639	2
ASV.195	325	628	1
ASV.199	322	619	8
ASV.200	280	619	1
ASV.203	274	613	8
ASV.204	227	610	7
ASV.208	352	604	8
ASV.209	325	597	1
ASV.210	325	588	1
ASV.211	325	582	2
ASV.212	280	581	2
ASV.213	217	579	12
ASV.214	325	572	1
ASV.215	362	569	4
ASV.216	329	568	4
ASV.217	322	564	6
ASV.218	325	563	1
ASV.222	217	556	4
ASV.223	325	554	1
ASV.224	259	551	10
ASV.226	227	542	2
ASV.227	280	539	1
ASV.230	328	535	1
ASV.231	328	524	4
ASV.236	218	515	4
ASV.237	201	515	6
ASV.238	328	514	3
ASV.239	322	514	3
ASV.240	328	514	3
ASV.241	328	510	3
ASV.242	328	507	2
ASV.243	302	506	4
ASV.245	328	503	1
ASV.248	201	498	5
ASV.249	328	489	3
ASV.252	341	484	9
ASV.253	325	475	2
ASV.255	262	472	2
ASV.257	325	466	2
ASV.258	341	461	11
ASV.259	328	458	4
ASV.261	325	441	3
ASV.262	328	441	1
ASV.267	253	424	2
ASV.268	325	422	1
ASV.270	328	421	1
ASV.274	201	416	5
ASV.275	298	416	1
ASV.276	208	414	4
ASV.277	246	413	4
ASV.278	201	412	4
ASV.279	362	409	8
ASV.280	244	404	4
ASV.281	286	403	3
ASV.282	243	402	1
ASV.283	244	401	4
ASV.284	346	395	1
