#Source	Type	SizeFrac	SampName
RawFastqs/SRR19399856_1.fastq.gz	DNA	Frac_0.2	SRR19399856
RawFastqs/SRR19399856_2.fastq.gz	DNA	Frac_0.2	SRR19399856
RawFastqs/SRR19399857_1.fastq.gz	DNA	Frac_0.2	SRR19399857
RawFastqs/SRR19399857_2.fastq.gz	DNA	Frac_0.2	SRR19399857
RawFastqs/SRR19399858_1.fastq.gz	DNA	Frac_0.2	SRR19399858
RawFastqs/SRR19399858_2.fastq.gz	DNA	Frac_0.2	SRR19399858
RawFastqs/SRR19399859_1.fastq.gz	DNA	Frac_0.2	SRR19399859
RawFastqs/SRR19399859_2.fastq.gz	DNA	Frac_0.2	SRR19399859
RawFastqs/SRR19399860_1.fastq.gz	DNA	Frac_0.2	SRR19399860
RawFastqs/SRR19399860_2.fastq.gz	DNA	Frac_0.2	SRR19399860
RawFastqs/SRR19399861_1.fastq.gz	DNA	Frac_0.2	SRR19399861
RawFastqs/SRR19399861_2.fastq.gz	DNA	Frac_0.2	SRR19399861
RawFastqs/SRR19399862_1.fastq.gz	DNA	Frac_0.2	SRR19399862
RawFastqs/SRR19399862_2.fastq.gz	DNA	Frac_0.2	SRR19399862
RawFastqs/SRR19399863_1.fastq.gz	DNA	Frac_0.2	SRR19399863
RawFastqs/SRR19399863_2.fastq.gz	DNA	Frac_0.2	SRR19399863
RawFastqs/SRR19399864_1.fastq.gz	DNA	Frac_0.2	SRR19399864
RawFastqs/SRR19399864_2.fastq.gz	DNA	Frac_0.2	SRR19399864
RawFastqs/SRR19399865_1.fastq.gz	DNA	Frac_0.2	SRR19399865
RawFastqs/SRR19399865_2.fastq.gz	DNA	Frac_0.2	SRR19399865
RawFastqs/SRR19399866_1.fastq.gz	DNA	Frac_0.2	SRR19399866
RawFastqs/SRR19399866_2.fastq.gz	DNA	Frac_0.2	SRR19399866
RawFastqs/SRR19399867_1.fastq.gz	DNA	Frac_0.2	SRR19399867
RawFastqs/SRR19399867_2.fastq.gz	DNA	Frac_0.2	SRR19399867
RawFastqs/SRR19399868_1.fastq.gz	DNA	Frac_0.2	SRR19399868
RawFastqs/SRR19399868_2.fastq.gz	DNA	Frac_0.2	SRR19399868
RawFastqs/SRR19399869_1.fastq.gz	DNA	Frac_0.2	SRR19399869
RawFastqs/SRR19399869_2.fastq.gz	DNA	Frac_0.2	SRR19399869
RawFastqs/SRR19399870_1.fastq.gz	DNA	Frac_0.2	SRR19399870
RawFastqs/SRR19399870_2.fastq.gz	DNA	Frac_0.2	SRR19399870
RawFastqs/SRR19399871_1.fastq.gz	DNA	Frac_0.2	SRR19399871
RawFastqs/SRR19399871_2.fastq.gz	DNA	Frac_0.2	SRR19399871
RawFastqs/SRR19399872_1.fastq.gz	DNA	Frac_0.2	SRR19399872
RawFastqs/SRR19399872_2.fastq.gz	DNA	Frac_0.2	SRR19399872
RawFastqs/SRR19399873_1.fastq.gz	DNA	Frac_0.2	SRR19399873
RawFastqs/SRR19399873_2.fastq.gz	DNA	Frac_0.2	SRR19399873
RawFastqs/SRR19399874_1.fastq.gz	DNA	Frac_0.2	SRR19399874
RawFastqs/SRR19399874_2.fastq.gz	DNA	Frac_0.2	SRR19399874
RawFastqs/SRR19399875_1.fastq.gz	DNA	Frac_0.2	SRR19399875
RawFastqs/SRR19399875_2.fastq.gz	DNA	Frac_0.2	SRR19399875
RawFastqs/SRR19399876_1.fastq.gz	DNA	Frac_0.2	SRR19399876
RawFastqs/SRR19399876_2.fastq.gz	DNA	Frac_0.2	SRR19399876
RawFastqs/SRR19399877_1.fastq.gz	DNA	Frac_0.2	SRR19399877
RawFastqs/SRR19399877_2.fastq.gz	DNA	Frac_0.2	SRR19399877
RawFastqs/SRR19399878_1.fastq.gz	DNA	Frac_0.2	SRR19399878
RawFastqs/SRR19399878_2.fastq.gz	DNA	Frac_0.2	SRR19399878
RawFastqs/SRR19399879_1.fastq.gz	DNA	Frac_0.2	SRR19399879
RawFastqs/SRR19399879_2.fastq.gz	DNA	Frac_0.2	SRR19399879
RawFastqs/SRR19399880_1.fastq.gz	DNA	Frac_0.2	SRR19399880
RawFastqs/SRR19399880_2.fastq.gz	DNA	Frac_0.2	SRR19399880
RawFastqs/SRR19399881_1.fastq.gz	DNA	Frac_0.2	SRR19399881
RawFastqs/SRR19399881_2.fastq.gz	DNA	Frac_0.2	SRR19399881
RawFastqs/SRR19399882_1.fastq.gz	DNA	Frac_0.2	SRR19399882
RawFastqs/SRR19399882_2.fastq.gz	DNA	Frac_0.2	SRR19399882
RawFastqs/SRR19399883_1.fastq.gz	DNA	Frac_0.2	SRR19399883
RawFastqs/SRR19399883_2.fastq.gz	DNA	Frac_0.2	SRR19399883
RawFastqs/SRR19399884_1.fastq.gz	DNA	Frac_0.2	SRR19399884
RawFastqs/SRR19399884_2.fastq.gz	DNA	Frac_0.2	SRR19399884
