asvLen	totReads	numSamps
ASV.1	325	1240394	102
ASV.2	328	939132	77
ASV.3	325	584004	62
ASV.4	328	523660	62
ASV.5	328	377872	72
ASV.6	325	322373	33
ASV.7	328	254068	25
ASV.8	325	203070	17
ASV.9	325	191142	5
ASV.10	328	169689	24
ASV.11	328	166206	21
ASV.13	325	143115	12
ASV.14	325	141965	20
ASV.15	328	124935	10
ASV.16	328	122448	28
ASV.17	328	88654	9
ASV.18	328	82637	11
ASV.19	328	76111	34
ASV.20	328	75048	12
ASV.21	328	71885	8
ASV.22	325	69982	20
ASV.23	325	56622	10
ASV.24	328	56061	8
ASV.25	328	51892	13
ASV.26	328	51736	11
ASV.27	328	50677	4
ASV.28	325	49364	9
ASV.29	328	48373	5
ASV.30	325	46627	3
ASV.31	328	46146	12
ASV.32	328	45753	6
ASV.33	328	39369	4
ASV.34	328	36696	11
ASV.35	328	31084	2
ASV.36	325	29140	7
ASV.37	328	27929	4
ASV.38	328	27590	6
ASV.39	325	27051	6
ASV.40	328	25132	3
ASV.42	328	21315	2
ASV.43	240	21217	1
ASV.44	328	20647	6
ASV.45	325	20213	1
ASV.47	227	20038	22
ASV.48	328	19708	1
ASV.49	328	19493	3
ASV.50	328	19027	3
ASV.51	328	19025	3
ASV.52	328	18543	2
ASV.53	328	17901	3
ASV.54	328	17590	2
ASV.55	328	17302	1
ASV.56	328	16939	4
ASV.57	328	16767	1
ASV.58	325	16573	9
ASV.59	328	16385	9
ASV.60	325	15991	1
ASV.61	325	15759	11
ASV.62	328	15662	15
ASV.63	325	14977	6
ASV.64	328	14909	3
ASV.65	328	14364	3
ASV.66	328	14244	2
ASV.67	328	12787	6
ASV.68	325	12784	1
ASV.69	221	12472	26
ASV.70	325	11769	1
ASV.71	328	11424	4
ASV.72	328	11065	1
ASV.73	325	10832	3
ASV.74	325	10733	2
ASV.75	328	10713	4
ASV.76	325	10395	6
ASV.77	325	9838	3
ASV.78	328	9471	2
ASV.79	328	9382	2
ASV.80	325	9216	3
ASV.81	328	9024	1
ASV.82	325	8588	5
ASV.83	325	8535	1
ASV.85	328	7820	1
ASV.86	325	7316	6
ASV.87	328	7277	2
ASV.88	325	7184	1
ASV.90	328	6641	1
ASV.91	325	6604	1
ASV.92	325	6529	3
ASV.93	325	6295	1
ASV.94	325	6179	1
ASV.95	325	6124	1
ASV.97	328	6066	1
ASV.98	325	5874	1
ASV.99	325	5622	1
ASV.100	325	5557	1
ASV.101	328	5526	1
ASV.102	325	5482	1
ASV.103	246	5411	13
ASV.104	328	5374	1
ASV.105	325	5370	1
ASV.106	328	5345	1
ASV.108	328	5297	1
ASV.110	328	5220	2
ASV.111	328	5184	1
ASV.112	328	5173	2
ASV.113	328	5090	1
ASV.114	328	5061	2
ASV.115	227	5048	22
ASV.116	328	4965	1
ASV.117	227	4895	23
ASV.118	328	4886	7
ASV.119	325	4710	1
ASV.120	328	4684	1
ASV.121	325	4669	5
ASV.122	328	4535	2
ASV.123	328	4513	2
ASV.125	328	4363	1
ASV.126	325	4231	1
ASV.127	328	4144	1
ASV.128	325	4110	1
ASV.130	325	4084	1
ASV.131	325	3953	1
ASV.132	328	3925	1
ASV.133	325	3918	1
ASV.134	328	3824	1
ASV.135	325	3793	1
ASV.136	328	3747	1
ASV.138	325	3669	2
ASV.140	254	3585	2
ASV.143	325	3504	1
ASV.145	328	3380	4
ASV.146	328	3379	1
ASV.147	325	3362	4
ASV.148	325	3356	2
ASV.149	325	3333	1
ASV.150	325	3316	1
ASV.151	328	3312	1
ASV.152	328	3302	3
ASV.154	325	3240	1
ASV.156	325	3184	1
ASV.158	285	3150	1
ASV.160	325	3033	1
ASV.161	328	3013	1
ASV.163	325	2925	1
ASV.165	328	2860	2
ASV.167	227	2827	17
ASV.168	325	2814	1
ASV.169	328	2787	1
ASV.170	328	2754	1
ASV.172	328	2729	4
ASV.173	328	2700	1
ASV.174	328	2698	1
ASV.176	328	2500	2
ASV.177	328	2480	1
ASV.178	325	2472	1
ASV.179	328	2457	1
ASV.180	325	2456	1
ASV.181	325	2424	3
ASV.182	260	2420	6
ASV.183	325	2409	1
ASV.184	325	2381	1
ASV.186	325	2348	1
ASV.187	328	2307	2
ASV.188	328	2304	1
ASV.189	325	2297	1
ASV.190	325	2268	1
ASV.191	325	2266	1
ASV.192	262	2229	17
ASV.194	325	2193	4
ASV.195	328	2176	1
ASV.196	325	2174	1
ASV.197	328	2150	1
ASV.198	328	2148	1
ASV.199	328	2124	1
ASV.200	325	2097	4
ASV.201	328	2055	1
ASV.202	328	2050	1
ASV.203	328	2045	2
ASV.204	328	2042	3
ASV.205	325	2028	1
ASV.207	325	1989	1
ASV.209	325	1962	1
ASV.210	325	1961	3
ASV.211	325	1958	1
ASV.214	328	1920	1
ASV.215	325	1918	2
ASV.216	328	1918	1
ASV.217	328	1900	1
ASV.218	328	1868	1
ASV.220	325	1850	1
ASV.221	325	1833	1
ASV.222	322	1815	1
ASV.223	331	1811	2
ASV.225	325	1794	2
ASV.226	325	1770	3
ASV.228	276	1761	1
ASV.229	325	1760	2
ASV.230	328	1751	1
ASV.231	246	1748	1
ASV.233	328	1732	8
ASV.234	328	1732	3
ASV.235	325	1727	2
ASV.237	328	1708	1
ASV.238	325	1708	2
ASV.240	328	1699	1
ASV.241	328	1684	8
ASV.243	328	1671	1
ASV.244	328	1661	2
ASV.245	260	1659	8
ASV.246	328	1653	1
ASV.247	325	1653	1
ASV.249	255	1628	1
ASV.250	302	1619	1
ASV.251	328	1617	2
ASV.252	325	1612	6
ASV.253	325	1601	1
ASV.254	325	1601	1
ASV.256	328	1599	1
ASV.257	325	1596	2
ASV.259	328	1541	1
ASV.260	325	1538	1
ASV.261	248	1528	9
ASV.262	328	1520	1
ASV.263	328	1517	1
ASV.264	325	1516	1
ASV.265	322	1515	1
ASV.266	328	1504	1
ASV.267	325	1489	1
ASV.268	328	1483	1
ASV.270	325	1474	1
ASV.271	325	1469	2
ASV.273	340	1460	1
ASV.275	328	1427	1
ASV.277	311	1416	4
ASV.278	325	1413	1
ASV.279	328	1411	1
ASV.280	328	1405	1
ASV.281	328	1401	1
ASV.282	262	1381	8
ASV.283	328	1380	1
ASV.285	328	1348	1
ASV.287	325	1300	1
ASV.290	325	1280	1
ASV.291	325	1270	1
ASV.292	245	1270	7
ASV.293	328	1263	1
ASV.294	325	1241	1
ASV.295	325	1240	1
ASV.296	325	1239	1
ASV.298	328	1225	1
ASV.299	328	1221	1
ASV.301	328	1219	1
ASV.302	325	1218	3
ASV.303	328	1209	1
ASV.305	296	1197	1
ASV.306	325	1194	1
ASV.307	328	1193	2
ASV.309	328	1186	1
ASV.310	328	1175	2
ASV.311	325	1169	1
ASV.313	325	1164	1
ASV.314	328	1159	1
ASV.315	328	1158	1
ASV.316	328	1156	1
ASV.319	328	1150	1
ASV.321	253	1145	1
ASV.322	328	1142	1
ASV.323	328	1141	1
ASV.324	328	1140	2
ASV.325	328	1137	1
ASV.326	328	1136	1
ASV.327	328	1134	2
ASV.329	339	1131	5
ASV.330	328	1126	2
ASV.331	328	1121	1
ASV.333	224	1111	1
ASV.334	328	1109	1
ASV.335	328	1105	1
ASV.336	325	1103	1
ASV.337	325	1100	1
ASV.339	317	1093	4
ASV.340	328	1090	2
ASV.342	224	1078	4
ASV.344	325	1073	1
ASV.345	325	1065	1
ASV.346	325	1059	2
ASV.347	325	1052	1
ASV.348	325	1045	1
ASV.349	325	1044	1
ASV.350	325	1030	1
ASV.351	328	1028	4
ASV.352	328	1022	1
ASV.353	325	1018	1
ASV.356	340	1014	1
ASV.357	335	1012	16
ASV.358	328	1010	1
ASV.361	325	1005	2
ASV.364	325	994	1
ASV.365	325	989	1
ASV.366	322	987	1
ASV.367	328	979	1
ASV.368	328	979	1
ASV.369	328	974	1
ASV.370	325	973	1
ASV.371	328	970	1
ASV.373	328	965	1
ASV.374	325	965	2
ASV.375	328	958	1
ASV.376	328	955	2
ASV.378	325	942	2
ASV.379	325	934	2
ASV.380	328	932	1
ASV.382	328	927	2
ASV.383	325	922	2
ASV.384	224	919	1
ASV.385	325	919	1
ASV.386	329	915	1
ASV.387	328	912	2
ASV.388	325	910	1
ASV.389	325	909	1
ASV.391	328	895	1
ASV.392	325	890	1
ASV.393	328	887	1
ASV.394	328	883	1
ASV.395	328	883	1
ASV.396	328	882	2
ASV.397	328	880	1
ASV.398	227	878	4
ASV.399	227	874	15
ASV.400	328	871	1
ASV.401	325	869	1
ASV.402	328	868	1
ASV.404	328	868	1
ASV.405	325	866	1
ASV.407	328	861	1
ASV.408	328	858	1
ASV.409	325	856	1
ASV.410	337	855	2
ASV.411	328	854	2
ASV.412	328	854	1
ASV.413	325	852	1
ASV.414	325	851	2
ASV.415	328	850	1
ASV.416	328	849	1
ASV.417	328	849	1
ASV.420	325	836	11
ASV.421	328	832	1
ASV.422	325	829	2
ASV.423	325	826	2
ASV.424	317	825	12
ASV.425	328	822	1
ASV.427	325	820	1
ASV.429	328	816	1
ASV.430	328	814	1
ASV.431	261	808	6
ASV.432	328	802	1
ASV.435	325	799	1
ASV.436	325	798	1
ASV.437	325	797	2
ASV.438	328	796	1
ASV.439	328	792	1
ASV.441	231	791	2
ASV.442	325	790	1
ASV.444	328	783	1
ASV.445	325	781	2
ASV.446	241	779	7
ASV.447	328	778	1
ASV.448	328	771	1
ASV.449	322	771	1
ASV.450	325	770	1
ASV.452	328	762	1
ASV.453	328	760	2
ASV.454	325	756	8
ASV.455	248	755	1
ASV.456	328	753	1
ASV.457	321	753	1
ASV.458	325	751	1
ASV.459	328	746	1
ASV.460	324	746	1
ASV.461	328	745	1
ASV.462	328	743	1
ASV.466	328	731	1
ASV.467	304	729	7
ASV.468	227	727	16
ASV.469	325	727	1
ASV.470	328	725	1
ASV.471	328	721	1
ASV.472	328	720	1
ASV.473	325	719	1
ASV.474	328	719	1
ASV.475	328	718	1
ASV.476	325	715	2
ASV.477	325	714	1
ASV.478	328	710	1
ASV.479	214	707	1
ASV.480	325	705	1
ASV.481	328	701	1
ASV.482	328	698	1
ASV.483	328	698	1
ASV.484	283	696	1
ASV.485	328	695	1
ASV.486	325	694	1
ASV.488	325	687	1
ASV.489	328	679	1
ASV.491	325	677	3
ASV.492	328	676	1
ASV.493	325	676	1
ASV.494	328	674	1
ASV.495	328	673	1
ASV.497	322	670	1
ASV.498	328	669	1
ASV.499	328	663	2
ASV.500	325	663	1
ASV.501	227	660	12
ASV.502	328	660	1
ASV.503	328	657	1
ASV.504	328	655	1
ASV.505	325	655	2
ASV.506	328	654	1
ASV.507	325	653	1
ASV.509	325	651	1
ASV.510	325	650	2
ASV.512	270	643	2
ASV.513	325	642	1
ASV.514	325	641	1
ASV.518	328	634	1
ASV.520	328	631	1
ASV.521	325	631	1
ASV.522	328	630	1
ASV.523	325	630	1
ASV.524	232	629	1
ASV.525	325	629	1
ASV.526	325	628	2
ASV.527	263	627	1
ASV.529	328	624	1
ASV.530	325	623	1
ASV.531	280	622	1
ASV.533	322	619	12
ASV.534	248	618	8
ASV.535	328	617	2
ASV.536	328	616	1
ASV.539	325	610	1
ASV.540	325	606	1
ASV.541	325	605	1
ASV.542	328	603	1
ASV.543	328	602	1
ASV.544	286	601	31
ASV.545	316	601	1
ASV.546	259	600	11
ASV.547	325	599	1
ASV.548	325	599	1
ASV.550	322	594	4
ASV.551	322	594	7
ASV.552	325	593	1
ASV.553	325	592	2
ASV.554	325	592	1
ASV.555	325	592	1
ASV.556	234	590	1
ASV.557	322	587	1
ASV.558	325	586	1
ASV.561	290	584	6
ASV.564	274	581	1
ASV.565	325	580	1
ASV.566	328	579	1
ASV.567	304	577	7
ASV.569	214	576	1
ASV.570	328	572	1
ASV.571	328	571	1
ASV.572	325	568	1
ASV.573	328	568	1
ASV.575	328	566	2
ASV.579	328	554	3
ASV.580	328	553	1
ASV.581	325	549	1
ASV.582	328	546	1
ASV.583	328	544	1
ASV.584	245	544	6
ASV.585	298	544	1
ASV.587	279	543	5
ASV.588	275	542	1
ASV.589	250	542	1
ASV.591	328	540	1
