#Source	Type	SizeFrac	SampName
RawFastqs/DRR256248_1.fastq.gz	DNA	Frac_0.2	DRR256248
RawFastqs/DRR256248_2.fastq.gz	DNA	Frac_0.2	DRR256248
RawFastqs/DRR256249_1.fastq.gz	DNA	Frac_0.2	DRR256249
RawFastqs/DRR256249_2.fastq.gz	DNA	Frac_0.2	DRR256249
RawFastqs/DRR256250_1.fastq.gz	DNA	Frac_0.2	DRR256250
RawFastqs/DRR256250_2.fastq.gz	DNA	Frac_0.2	DRR256250
RawFastqs/DRR256251_1.fastq.gz	DNA	Frac_0.2	DRR256251
RawFastqs/DRR256251_2.fastq.gz	DNA	Frac_0.2	DRR256251
RawFastqs/DRR256252_1.fastq.gz	DNA	Frac_0.2	DRR256252
RawFastqs/DRR256252_2.fastq.gz	DNA	Frac_0.2	DRR256252
RawFastqs/DRR256253_1.fastq.gz	DNA	Frac_0.2	DRR256253
RawFastqs/DRR256253_2.fastq.gz	DNA	Frac_0.2	DRR256253
RawFastqs/DRR256254_1.fastq.gz	DNA	Frac_0.2	DRR256254
RawFastqs/DRR256254_2.fastq.gz	DNA	Frac_0.2	DRR256254
RawFastqs/DRR256255_1.fastq.gz	DNA	Frac_0.2	DRR256255
RawFastqs/DRR256255_2.fastq.gz	DNA	Frac_0.2	DRR256255
RawFastqs/DRR256256_1.fastq.gz	DNA	Frac_0.2	DRR256256
RawFastqs/DRR256256_2.fastq.gz	DNA	Frac_0.2	DRR256256
RawFastqs/DRR256257_1.fastq.gz	DNA	Frac_0.2	DRR256257
RawFastqs/DRR256257_2.fastq.gz	DNA	Frac_0.2	DRR256257
RawFastqs/DRR256258_1.fastq.gz	DNA	Frac_0.2	DRR256258
RawFastqs/DRR256258_2.fastq.gz	DNA	Frac_0.2	DRR256258
RawFastqs/DRR256259_1.fastq.gz	DNA	Frac_0.2	DRR256259
RawFastqs/DRR256259_2.fastq.gz	DNA	Frac_0.2	DRR256259
RawFastqs/DRR256260_1.fastq.gz	DNA	Frac_0.2	DRR256260
RawFastqs/DRR256260_2.fastq.gz	DNA	Frac_0.2	DRR256260
RawFastqs/DRR256261_1.fastq.gz	DNA	Frac_0.2	DRR256261
RawFastqs/DRR256261_2.fastq.gz	DNA	Frac_0.2	DRR256261
RawFastqs/DRR256262_1.fastq.gz	DNA	Frac_0.2	DRR256262
RawFastqs/DRR256262_2.fastq.gz	DNA	Frac_0.2	DRR256262
RawFastqs/DRR256263_1.fastq.gz	DNA	Frac_0.2	DRR256263
RawFastqs/DRR256263_2.fastq.gz	DNA	Frac_0.2	DRR256263
RawFastqs/DRR256264_1.fastq.gz	DNA	Frac_0.2	DRR256264
RawFastqs/DRR256264_2.fastq.gz	DNA	Frac_0.2	DRR256264
RawFastqs/DRR256265_1.fastq.gz	DNA	Frac_0.2	DRR256265
RawFastqs/DRR256265_2.fastq.gz	DNA	Frac_0.2	DRR256265
RawFastqs/DRR256266_1.fastq.gz	DNA	Frac_0.2	DRR256266
RawFastqs/DRR256266_2.fastq.gz	DNA	Frac_0.2	DRR256266
RawFastqs/DRR256267_1.fastq.gz	DNA	Frac_0.2	DRR256267
RawFastqs/DRR256267_2.fastq.gz	DNA	Frac_0.2	DRR256267
RawFastqs/DRR256268_1.fastq.gz	DNA	Frac_0.2	DRR256268
RawFastqs/DRR256268_2.fastq.gz	DNA	Frac_0.2	DRR256268
RawFastqs/DRR256269_1.fastq.gz	DNA	Frac_0.2	DRR256269
RawFastqs/DRR256269_2.fastq.gz	DNA	Frac_0.2	DRR256269
RawFastqs/DRR256270_1.fastq.gz	DNA	Frac_0.2	DRR256270
RawFastqs/DRR256270_2.fastq.gz	DNA	Frac_0.2	DRR256270
RawFastqs/DRR256271_1.fastq.gz	DNA	Frac_0.2	DRR256271
RawFastqs/DRR256271_2.fastq.gz	DNA	Frac_0.2	DRR256271
RawFastqs/DRR256272_1.fastq.gz	DNA	Frac_0.2	DRR256272
RawFastqs/DRR256272_2.fastq.gz	DNA	Frac_0.2	DRR256272
RawFastqs/DRR256273_1.fastq.gz	DNA	Frac_0.2	DRR256273
RawFastqs/DRR256273_2.fastq.gz	DNA	Frac_0.2	DRR256273
RawFastqs/DRR256274_1.fastq.gz	DNA	Frac_0.2	DRR256274
RawFastqs/DRR256274_2.fastq.gz	DNA	Frac_0.2	DRR256274
RawFastqs/DRR256275_1.fastq.gz	DNA	Frac_0.2	DRR256275
RawFastqs/DRR256275_2.fastq.gz	DNA	Frac_0.2	DRR256275
