#Source	Type	SizeFrac	SampName
RawFastqs/SRR13240302_1.fastq.gz	DNA	Frac_0.2	SRR13240302
RawFastqs/SRR13240302_2.fastq.gz	DNA	Frac_0.2	SRR13240302
RawFastqs/SRR13240303_1.fastq.gz	DNA	Frac_0.2	SRR13240303
RawFastqs/SRR13240303_2.fastq.gz	DNA	Frac_0.2	SRR13240303
RawFastqs/SRR13240304_1.fastq.gz	DNA	Frac_0.2	SRR13240304
RawFastqs/SRR13240304_2.fastq.gz	DNA	Frac_0.2	SRR13240304
RawFastqs/SRR13240305_1.fastq.gz	DNA	Frac_0.2	SRR13240305
RawFastqs/SRR13240305_2.fastq.gz	DNA	Frac_0.2	SRR13240305
RawFastqs/SRR13240306_1.fastq.gz	DNA	Frac_0.2	SRR13240306
RawFastqs/SRR13240306_2.fastq.gz	DNA	Frac_0.2	SRR13240306
RawFastqs/SRR13240307_1.fastq.gz	DNA	Frac_0.2	SRR13240307
RawFastqs/SRR13240307_2.fastq.gz	DNA	Frac_0.2	SRR13240307
RawFastqs/SRR13240308_1.fastq.gz	DNA	Frac_0.2	SRR13240308
RawFastqs/SRR13240308_2.fastq.gz	DNA	Frac_0.2	SRR13240308
RawFastqs/SRR13240309_1.fastq.gz	DNA	Frac_0.2	SRR13240309
RawFastqs/SRR13240309_2.fastq.gz	DNA	Frac_0.2	SRR13240309
RawFastqs/SRR13240310_1.fastq.gz	DNA	Frac_0.2	SRR13240310
RawFastqs/SRR13240310_2.fastq.gz	DNA	Frac_0.2	SRR13240310
RawFastqs/SRR13240311_1.fastq.gz	DNA	Frac_0.2	SRR13240311
RawFastqs/SRR13240311_2.fastq.gz	DNA	Frac_0.2	SRR13240311
