DRR075661	DRR075662	DRR075664	DRR075667	DRR075670	DRR075673	DRR075654	DRR075657
ASV.01	0	0	4705	4652	2387	9306	93	0
ASV.02	1745	8375	54	0	0	0	0	0
ASV.03	0	11	2060	0	196	5416	0	8
ASV.04	0	0	976	739	1053	4227	0	0
ASV.05	0	3397	0	0	0	0	0	0
ASV.06	16	252	1187	170	100	284	598	13
ASV.07	7	9	824	1630	11	3	0	0
ASV.08	1734	0	494	0	0	0	0	0
ASV.09	0	1894	0	0	0	0	0	0
ASV.010	0	0	1809	0	0	0	0	0
ASV.011	1523	0	0	0	0	0	0	0
ASV.012	0	1227	0	0	0	0	0	0
ASV.013	0	1059	0	7	0	0	0	0
ASV.014	0	0	1050	0	0	0	0	0
ASV.015	0	0	0	0	0	0	0	773
ASV.016	0	750	0	0	0	7	0	0
ASV.017	0	0	0	0	0	0	637	0
ASV.018	0	0	0	0	0	0	0	474
ASV.019	0	21	327	0	0	63	58	0
ASV.020	0	0	0	388	68	0	0	0
ASV.021	453	0	0	0	0	0	0	0
ASV.022	0	0	381	0	0	0	0	0
ASV.023	0	309	0	0	0	0	0	0
ASV.024	0	0	0	0	251	0	0	0
ASV.025	0	249	0	0	0	0	0	0
ASV.026	0	0	0	0	99	133	0	0
ASV.027	0	0	218	0	0	0	0	0
ASV.028	0	0	215	0	0	0	0	0
ASV.029	0	178	0	0	0	0	0	0
ASV.030	0	0	0	0	174	0	0	0
ASV.031	0	0	0	0	0	157	0	0
ASV.032	0	157	0	0	0	0	0	0
ASV.033	0	0	147	0	0	0	0	0
ASV.034	0	0	0	0	0	147	0	0
ASV.035	0	0	0	0	0	0	138	0
ASV.036	125	0	0	0	0	0	0	0
ASV.037	0	0	0	0	0	0	125	0
ASV.038	100	0	0	0	0	0	0	0
ASV.039	0	0	0	0	0	99	0	0
ASV.040	0	96	0	0	0	0	0	0
ASV.041	0	83	0	0	0	0	0	0
ASV.042	0	81	0	0	0	0	0	0
ASV.043	0	0	0	0	0	0	77	0
ASV.044	0	0	0	0	0	73	0	0
ASV.045	0	0	0	0	0	47	0	24
ASV.046	0	0	0	0	0	66	0	0
ASV.047	0	63	0	0	0	0	0	0
ASV.048	0	0	0	63	0	0	0	0
ASV.049	0	0	0	0	0	0	62	0
ASV.050	0	62	0	0	0	0	0	0
ASV.051	0	0	0	0	0	0	61	0
ASV.052	0	0	0	0	0	0	60	0
ASV.053	0	0	0	0	0	0	52	7
ASV.054	0	0	0	0	0	8	50	0
ASV.055	0	0	0	56	0	0	0	0
ASV.056	0	0	0	0	0	0	55	0
ASV.057	0	0	0	0	0	0	54	0
ASV.058	0	0	0	0	0	0	53	0
ASV.059	0	0	0	0	0	0	52	0
ASV.060	0	0	51	0	0	0	0	0
ASV.061	0	0	0	0	0	0	51	0
ASV.062	0	48	0	0	0	0	0	0
ASV.063	0	0	0	0	0	0	0	48
ASV.064	0	46	0	0	0	0	0	0
ASV.065	0	0	0	0	0	0	46	0
ASV.066	0	0	0	0	0	0	45	0
ASV.067	0	44	0	0	0	0	0	0
ASV.068	0	0	0	0	0	0	44	0
ASV.069	0	42	0	0	0	0	0	0
ASV.070	0	42	0	0	0	0	0	0
ASV.071	0	0	0	0	0	0	42	0
ASV.072	0	0	0	0	0	0	39	0
ASV.073	0	0	0	0	0	0	0	39
ASV.074	0	0	0	0	0	0	0	39
ASV.075	0	38	0	0	0	0	0	0
ASV.076	0	0	0	0	0	0	37	0
ASV.077	0	0	0	0	0	0	0	37
ASV.078	0	0	0	0	35	0	0	0
ASV.079	0	0	0	0	0	0	30	0
ASV.080	0	0	0	0	0	3	25	0
ASV.081	0	0	0	0	0	0	28	0
ASV.082	27	0	0	0	0	0	0	0
ASV.083	0	0	0	0	0	21	6	0
ASV.084	0	0	0	0	0	0	27	0
ASV.085	0	0	0	0	0	0	0	27
ASV.086	0	26	0	0	0	0	0	0
ASV.087	26	0	0	0	0	0	0	0
ASV.088	0	0	0	0	0	0	25	0
ASV.089	0	25	0	0	0	0	0	0
ASV.090	0	0	0	0	0	0	0	24
ASV.091	0	0	0	0	0	24	0	0
ASV.092	0	0	0	0	0	23	0	0
ASV.093	0	0	0	0	0	0	0	22
ASV.094	0	0	0	0	0	12	10	0
ASV.095	0	0	0	0	0	0	21	0
ASV.096	0	21	0	0	0	0	0	0
ASV.097	0	0	0	0	0	0	21	0
ASV.098	0	0	0	0	0	0	0	20
ASV.099	0	20	0	0	0	0	0	0
ASV.0100	0	20	0	0	0	0	0	0
ASV.0101	0	19	0	0	0	0	0	0
ASV.0102	0	0	0	0	0	0	19	0
ASV.0103	0	0	0	0	0	0	0	19
ASV.0104	0	0	0	0	0	0	19	0
ASV.0105	0	18	0	0	0	0	0	0
ASV.0106	0	18	0	0	0	0	0	0
ASV.0107	0	0	0	0	0	0	18	0
ASV.0108	0	0	0	0	0	18	0	0
ASV.0109	0	16	0	0	0	0	0	0
ASV.0110	0	0	0	0	0	0	16	0
ASV.0111	0	16	0	0	0	0	0	0
ASV.0112	0	0	0	0	0	0	16	0
ASV.0113	0	0	0	0	0	0	16	0
ASV.0114	0	16	0	0	0	0	0	0
ASV.0115	0	16	0	0	0	0	0	0
ASV.0116	0	0	0	0	0	0	16	0
ASV.0117	0	15	0	0	0	0	0	0
ASV.0118	0	0	0	0	0	0	15	0
ASV.0119	0	0	0	15	0	0	0	0
ASV.0120	0	15	0	0	0	0	0	0
ASV.0121	0	0	0	0	0	0	0	14
ASV.0122	0	0	0	0	0	14	0	0
ASV.0123	0	0	0	0	0	0	14	0
ASV.0124	0	0	0	13	0	0	0	0
ASV.0125	0	0	0	0	0	0	13	0
ASV.0126	0	0	0	0	0	0	13	0
ASV.0127	0	0	0	0	0	0	4	9
ASV.0128	0	13	0	0	0	0	0	0
ASV.0129	0	0	0	0	0	0	0	13
ASV.0130	0	0	0	0	0	0	12	0
ASV.0131	0	12	0	0	0	0	0	0
ASV.0132	0	12	0	0	0	0	0	0
ASV.0133	0	0	0	0	0	0	12	0
ASV.0134	0	11	0	0	0	0	0	0
ASV.0135	0	0	0	0	0	0	11	0
ASV.0136	0	0	0	0	0	0	11	0
ASV.0137	0	11	0	0	0	0	0	0
ASV.0138	0	0	0	0	0	0	11	0
ASV.0139	0	0	0	0	0	10	0	0
ASV.0140	0	10	0	0	0	0	0	0
ASV.0141	0	10	0	0	0	0	0	0
ASV.0142	0	10	0	0	0	0	0	0
ASV.0143	0	0	0	0	0	0	10	0
ASV.0144	0	10	0	0	0	0	0	0
ASV.0145	0	0	0	0	0	0	10	0
ASV.0146	0	0	0	0	0	0	10	0
ASV.0147	0	0	0	0	0	0	10	0
ASV.0148	0	0	0	0	0	0	10	0
ASV.0149	0	9	0	0	0	0	0	0
ASV.0150	0	9	0	0	0	0	0	0
ASV.0151	0	0	0	0	0	0	9	0
ASV.0152	0	0	0	0	0	0	9	0
ASV.0153	0	9	0	0	0	0	0	0
ASV.0154	0	0	0	0	0	0	9	0
ASV.0155	0	9	0	0	0	0	0	0
ASV.0156	0	0	0	0	0	0	9	0
ASV.0157	0	0	0	0	0	9	0	0
ASV.0158	0	0	0	0	0	9	0	0
ASV.0159	0	0	0	0	0	9	0	0
ASV.0160	0	0	0	0	0	9	0	0
ASV.0161	0	0	0	0	0	0	9	0
ASV.0162	0	0	0	0	0	0	9	0
ASV.0163	0	0	0	0	0	0	9	0
ASV.0164	0	0	0	0	0	0	9	0
ASV.0165	0	8	0	0	0	0	0	0
ASV.0166	0	0	0	0	0	0	8	0
ASV.0167	0	0	0	0	0	0	8	0
ASV.0168	0	0	0	0	0	0	8	0
ASV.0169	0	0	0	0	0	0	0	8
ASV.0170	0	0	0	0	0	0	0	8
ASV.0171	0	0	0	0	0	0	8	0
ASV.0172	0	8	0	0	0	0	0	0
ASV.0173	0	0	0	0	0	0	8	0
ASV.0174	0	8	0	0	0	0	0	0
ASV.0175	0	8	0	0	0	0	0	0
ASV.0176	0	8	0	0	0	0	0	0
ASV.0177	0	8	0	0	0	0	0	0
ASV.0178	0	8	0	0	0	0	0	0
ASV.0179	0	0	0	0	0	8	0	0
ASV.0180	0	0	0	0	0	0	8	0
ASV.0181	0	0	0	0	0	0	8	0
ASV.0182	0	0	0	0	0	0	8	0
ASV.0183	0	0	0	0	0	0	8	0
ASV.0184	0	0	0	0	0	0	8	0
ASV.0185	0	0	0	0	0	0	0	8
ASV.0186	0	0	0	0	0	0	0	8
ASV.0187	0	7	0	0	0	0	0	0
ASV.0188	0	7	0	0	0	0	0	0
ASV.0189	0	0	0	0	0	0	7	0
ASV.0190	0	0	0	0	0	0	7	0
ASV.0191	0	7	0	0	0	0	0	0
