#Source	Type	SizeFrac	SampName
../RawFastqs/DRR119299_1.fastq.gz	DNA	Frac_0.2	KH_11_10_E15_100per
../RawFastqs/DRR119299_2.fastq.gz	DNA	Frac_0.2	KH_11_10_E15_100per
../RawFastqs/DRR119300_1.fastq.gz	DNA	Frac_0.2	KH_11_10_E15_1per
../RawFastqs/DRR119300_2.fastq.gz	DNA	Frac_0.2	KH_11_10_E15_1per
../RawFastqs/DRR119301_1.fastq.gz	DNA	Frac_0.2	KH_11_10_E16_100per
../RawFastqs/DRR119301_2.fastq.gz	DNA	Frac_0.2	KH_11_10_E16_100per
../RawFastqs/DRR119302_1.fastq.gz	DNA	Frac_0.2	KH_11_10_E16_25per
../RawFastqs/DRR119302_2.fastq.gz	DNA	Frac_0.2	KH_11_10_E16_25per
../RawFastqs/DRR119303_1.fastq.gz	DNA	Frac_0.2	KH_11_10_E17_100per
../RawFastqs/DRR119303_2.fastq.gz	DNA	Frac_0.2	KH_11_10_E17_100per
../RawFastqs/DRR119304_1.fastq.gz	DNA	Frac_0.2	KH_11_10_E17_25per
../RawFastqs/DRR119304_2.fastq.gz	DNA	Frac_0.2	KH_11_10_E17_25per
../RawFastqs/DRR119305_1.fastq.gz	DNA	Frac_0.2	KH_11_10_E18_100per
../RawFastqs/DRR119305_2.fastq.gz	DNA	Frac_0.2	KH_11_10_E18_100per
../RawFastqs/DRR119307_1.fastq.gz	DNA	Frac_0.2	KH_13_7_W05_100per
../RawFastqs/DRR119307_2.fastq.gz	DNA	Frac_0.2	KH_13_7_W05_100per
../RawFastqs/DRR119308_1.fastq.gz	DNA	Frac_0.2	KH_13_7_W05_25per
../RawFastqs/DRR119308_2.fastq.gz	DNA	Frac_0.2	KH_13_7_W05_25per
../RawFastqs/DRR119309_1.fastq.gz	DNA	Frac_0.2	KH_13_7_W05_1per
../RawFastqs/DRR119309_2.fastq.gz	DNA	Frac_0.2	KH_13_7_W05_1per
../RawFastqs/DRR119311_1.fastq.gz	DNA	Frac_0.2	KH_13_7_W06_100per
../RawFastqs/DRR119311_2.fastq.gz	DNA	Frac_0.2	KH_13_7_W06_100per
../RawFastqs/DRR119312_1.fastq.gz	DNA	Frac_0.2	KH_13_7_W06_25per
../RawFastqs/DRR119312_2.fastq.gz	DNA	Frac_0.2	KH_13_7_W06_25per
../RawFastqs/DRR119314_1.fastq.gz	DNA	Frac_0.2	KH_13_7_W07_100per
../RawFastqs/DRR119314_2.fastq.gz	DNA	Frac_0.2	KH_13_7_W07_100per
../RawFastqs/DRR119315_1.fastq.gz	DNA	Frac_0.2	KH_13_7_W07_25per
../RawFastqs/DRR119315_2.fastq.gz	DNA	Frac_0.2	KH_13_7_W07_25per
../RawFastqs/DRR119316_1.fastq.gz	DNA	Frac_0.2	KH_13_7_W08_100per
../RawFastqs/DRR119316_2.fastq.gz	DNA	Frac_0.2	KH_13_7_W08_100per
../RawFastqs/DRR119317_1.fastq.gz	DNA	Frac_0.2	KH_13_7_W08_25per
../RawFastqs/DRR119317_2.fastq.gz	DNA	Frac_0.2	KH_13_7_W08_25per
../RawFastqs/DRR119318_1.fastq.gz	DNA	Frac_0.2	KH_13_7_W08_1per
../RawFastqs/DRR119318_2.fastq.gz	DNA	Frac_0.2	KH_13_7_W08_1per

../RawFastqs/DRR119306_1.fastq.gz	RNA	Frac_0.2	KH_13_7_W05_100per
../RawFastqs/DRR119306_2.fastq.gz	RNA	Frac_0.2	KH_13_7_W05_100per
../RawFastqs/DRR119310_1.fastq.gz	RNA	Frac_0.2	KH_13_7_W06_100per
../RawFastqs/DRR119310_2.fastq.gz	RNA	Frac_0.2	KH_13_7_W06_100per
../RawFastqs/DRR119313_1.fastq.gz	RNA	Frac_0.2	KH_13_7_W07_100per
../RawFastqs/DRR119313_2.fastq.gz	RNA	Frac_0.2	KH_13_7_W07_100per
