DRR090493	DRR090494	DRR090495	DRR090496	DRR090497	DRR090498	DRR090499	DRR090500	DRR090501	DRR090502	DRR090503	DRR090504	DRR090505	DRR090506	DRR090507	DRR090508	DRR090509	DRR090510	DRR090511	DRR090512
ASV.1	0	0	0	0	0	0	3	0	0	89	2073	5556	0	0	0	57896	0	0	0	42
ASV.2	0	0	0	2219	947	0	0	0	0	14538	778	0	13710	0	31797	0	1448	0	0	0
ASV.3	8557	8303	149	106	1885	0	0	0	0	0	0	3	0	0	0	8	9939	9729	9051	12629
ASV.4	0	0	0	0	0	0	0	0	42461	0	0	0	0	0	0	0	0	0	0	0
ASV.5	0	0	0	0	0	0	0	0	0	0	7059	9962	0	0	24806	0	0	0	0	0
ASV.6	0	0	0	0	0	0	0	41259	0	0	0	0	0	0	0	0	0	0	0	0
ASV.7	0	3150	1567	0	0	23308	0	0	0	0	15	0	0	0	4247	0	445	639	537	445
ASV.8	0	0	0	0	0	26233	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.9	1632	0	2513	5317	3322	0	0	0	0	0	0	0	0	0	0	0	2681	856	2084	2806
ASV.10	408	0	4521	1296	3771	0	0	0	0	0	0	0	5	0	0	0	2480	1705	2978	3408
ASV.11	2017	0	0	0	0	0	17631	0	0	0	0	0	0	0	0	0	336	0	0	0
ASV.12	0	0	0	0	0	0	19712	70	0	0	0	0	0	0	0	0	0	32	0	0
ASV.13	360	0	552	941	555	696	9359	0	4225	1898	376	0	0	0	0	0	77	9	0	0
ASV.14	2394	0	0	4290	332	0	0	0	0	5683	0	0	0	0	0	0	0	1813	2296	1934
ASV.15	0	0	0	0	0	0	0	17732	0	0	0	0	0	0	0	0	0	0	0	0
ASV.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15417	0	0	0	0	0
ASV.17	0	0	0	0	0	0	0	0	0	0	0	0	15390	0	0	0	0	0	0	0
ASV.18	632	2559	1073	985	379	0	0	0	0	0	289	0	0	3841	0	0	1096	1224	577	1504
ASV.19	0	0	0	0	0	0	0	0	0	0	0	12940	0	0	0	0	0	0	0	0
ASV.20	2156	0	0	0	2502	0	0	0	0	0	0	0	0	0	0	0	1450	1062	3226	1885
ASV.21	0	0	3098	0	0	0	0	0	0	542	988	0	0	0	6532	0	0	0	0	350
ASV.22	1280	1596	0	272	0	0	0	0	0	0	0	0	5725	0	0	0	235	49	571	40
ASV.23	0	0	0	0	0	0	7052	0	0	0	0	0	0	1029	0	0	0	269	0	179
ASV.24	0	0	0	6	0	0	0	0	0	0	0	8522	0	0	0	0	0	0	0	0
ASV.25	0	0	7744	275	298	0	0	17	0	0	0	0	0	0	0	0	0	0	0	179
ASV.26	0	3507	570	1242	1364	0	0	0	0	0	206	0	0	0	0	0	418	233	211	270
ASV.27	0	0	0	0	0	0	0	0	0	0	0	0	7699	0	0	0	0	0	0	0
ASV.28	1980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2119	1072	67	1709
ASV.29	1785	0	3370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	939	388
ASV.30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6259	0
ASV.31	0	0	0	0	0	0	0	0	0	0	0	0	6231	0	0	0	0	0	0	0
ASV.32	984	2868	105	52	40	0	0	0	0	0	2	0	0	0	0	0	397	637	319	260
ASV.33	0	3474	0	565	0	0	0	0	0	0	0	0	0	0	0	0	429	535	494	165
ASV.34	0	0	0	0	0	0	0	0	0	0	0	0	0	5542	0	0	0	0	0	0
ASV.35	151	1020	754	749	1002	0	0	0	0	0	325	0	345	0	0	0	220	158	173	278
ASV.36	0	0	0	0	0	0	5103	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.37	0	0	0	0	0	0	4922	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.38	13	19	7	26	13	0	0	0	0	4243	0	0	0	0	0	0	37	53	9	228
ASV.39	0	0	0	0	0	0	0	0	0	0	3636	0	0	0	0	0	0	199	670	0
ASV.40	197	204	142	546	677	0	376	0	889	1209	210	0	0	0	0	0	0	0	0	0
ASV.41	0	4422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.42	0	0	0	0	0	0	0	0	0	0	4359	0	0	0	0	0	0	0	0	0
ASV.43	0	0	0	2	0	0	0	0	0	0	0	4341	0	0	0	0	0	0	0	0
ASV.45	893	0	649	579	0	0	0	0	0	0	875	0	0	0	0	0	463	156	165	396
ASV.46	0	0	0	0	0	0	0	0	0	0	0	4016	0	0	0	0	0	0	0	0
ASV.49	0	0	0	0	0	0	0	0	0	0	3602	0	0	0	0	0	0	0	0	0
ASV.50	0	0	0	0	0	0	0	3426	0	0	0	0	0	0	0	0	21	0	51	47
ASV.54	707	0	0	0	1635	0	0	0	0	0	0	0	0	0	0	0	273	628	56	0
ASV.55	0	0	0	0	0	3255	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.56	0	2943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0
ASV.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1144	785	0	1187
ASV.58	0	0	0	0	1765	0	0	0	0	0	0	0	0	0	0	0	0	956	0	378
ASV.59	0	0	0	0	0	0	0	0	0	0	551	0	0	0	2481	0	0	0	0	0
ASV.60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3032
ASV.62	0	0	0	0	0	0	0	0	0	0	1017	0	0	0	0	0	494	333	449	562
ASV.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2850	0	0	0
ASV.64	0	0	0	2085	0	0	0	0	0	0	0	0	0	0	0	0	742	0	0	0
ASV.65	0	0	0	0	0	0	0	0	0	2819	0	0	0	0	0	0	0	0	0	0
ASV.66	0	0	2326	0	0	0	0	13	0	0	0	0	0	0	0	0	225	0	133	0
ASV.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2697	0	0	0	0	0
ASV.68	0	0	0	0	0	0	0	0	2678	0	0	0	0	0	0	0	0	0	0	0
ASV.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1737	0	471	469
ASV.70	672	0	606	0	0	0	0	0	0	0	1108	0	0	0	0	0	0	0	112	169
ASV.71	0	0	0	2573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.72	1313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	285	641	0
ASV.73	0	0	0	661	625	0	0	0	0	259	835	0	0	0	0	0	0	0	0	0
ASV.74	0	0	1867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	285	0
ASV.75	0	0	0	0	0	0	0	0	2307	0	0	0	0	0	0	0	0	0	0	0
ASV.76	0	0	0	0	0	0	0	0	0	0	0	0	0	2218	0	0	0	0	0	0
