asvLen	totReads	numSamps
ASV.1	328	382268	8
ASV.2	328	279953	3
ASV.3	328	179299	3
ASV.4	328	83513	2
ASV.5	328	53942	3
ASV.6	328	52312	3
ASV.7	328	42882	3
ASV.8	328	41187	1
ASV.9	328	40647	3
ASV.10	328	40137	1
ASV.11	328	34691	3
ASV.12	325	33836	3
ASV.13	328	32513	2
ASV.14	325	31463	1
ASV.15	328	31063	1
ASV.16	328	29633	1
ASV.17	328	28242	1
ASV.18	328	26365	7
ASV.19	328	24160	2
ASV.20	328	23726	2
ASV.21	328	19856	1
ASV.22	328	19754	6
ASV.23	328	18238	1
ASV.24	328	16652	1
ASV.25	328	16466	1
ASV.26	328	15148	1
ASV.27	328	14597	8
ASV.28	328	13841	1
ASV.29	328	13419	1
ASV.30	328	12873	1
ASV.31	328	11612	1
ASV.32	328	10981	1
ASV.33	328	10922	3
ASV.34	328	10900	1
ASV.35	328	10204	1
ASV.36	328	10173	1
ASV.37	325	10145	1
ASV.38	328	10038	1
ASV.39	328	9625	1
ASV.41	328	7317	1
ASV.43	328	6975	1
ASV.44	325	6772	1
ASV.46	325	6681	4
ASV.48	328	6476	1
ASV.49	328	6119	1
ASV.50	227	5894	3
ASV.52	328	5742	1
ASV.53	328	5728	1
ASV.54	328	5693	4
ASV.55	328	5641	1
ASV.58	328	5031	1
ASV.59	328	4471	4
ASV.60	328	4438	1
ASV.61	328	4177	1
ASV.62	328	4164	1
ASV.64	325	3876	2
ASV.65	328	3840	1
ASV.66	328	3635	1
ASV.67	328	3467	1
ASV.68	328	3080	3
ASV.70	328	3033	3
ASV.71	325	3021	3
ASV.72	328	3019	1
ASV.73	328	2986	1
ASV.74	328	2898	1
ASV.75	328	2897	1
ASV.77	328	2801	1
ASV.79	328	2734	2
ASV.80	328	2726	1
ASV.81	328	2541	1
ASV.82	328	2467	1
ASV.83	325	2440	2
ASV.84	247	2364	1
ASV.86	328	2274	1
ASV.87	325	2213	11
ASV.88	328	2201	2
ASV.89	328	2196	1
ASV.90	328	2114	1
ASV.91	328	2087	4
ASV.93	328	2068	1
ASV.95	328	2007	3
ASV.98	328	1958	2
ASV.99	328	1947	1
ASV.102	328	1820	1
ASV.103	328	1818	1
ASV.104	238	1818	6
ASV.114	328	1550	1
ASV.115	328	1532	1
ASV.116	328	1512	1
ASV.117	328	1488	1
ASV.118	328	1487	1
ASV.123	328	1407	1
ASV.125	328	1349	1
ASV.128	328	1304	1
ASV.131	328	1275	1
ASV.132	328	1263	1
ASV.137	328	1111	1
ASV.139	328	1073	1
ASV.140	328	1073	1
ASV.143	328	1041	1
ASV.145	328	1023	1
ASV.146	328	1011	1
ASV.148	328	958	1
ASV.150	328	935	3
ASV.152	328	921	1
ASV.154	328	868	1
ASV.156	328	853	1
ASV.157	328	848	1
ASV.161	328	814	9
ASV.162	247	811	1
ASV.165	328	794	1
ASV.168	322	788	2
ASV.169	328	787	1
ASV.170	325	782	2
ASV.171	328	767	1
ASV.176	328	736	1
ASV.179	328	726	1
ASV.190	196	650	1
ASV.192	328	649	1
ASV.197	328	612	1
ASV.201	328	588	2
ASV.208	328	578	1
ASV.209	328	574	1
ASV.227	328	500	2
ASV.234	328	480	1
ASV.235	328	477	1
ASV.247	328	449	1
ASV.248	328	446	1
ASV.253	328	438	1
ASV.255	328	430	1
ASV.256	328	426	1
ASV.262	328	414	1
ASV.264	287	407	1
ASV.267	328	402	1
ASV.271	328	398	1
ASV.273	328	391	1
ASV.276	328	384	1
ASV.280	328	382	1
ASV.284	328	377	1
ASV.298	328	356	1
ASV.299	325	355	1
ASV.306	328	350	1
ASV.313	328	340	1
ASV.322	328	325	1
ASV.323	328	324	1
ASV.327	325	319	2
ASV.329	328	318	1
ASV.332	328	316	1
ASV.335	328	315	1
ASV.346	224	304	1
ASV.348	332	302	2
ASV.349	328	300	1
ASV.361	328	289	1
ASV.364	328	284	1
ASV.371	328	281	1
ASV.373	328	280	1
ASV.392	328	263	1
ASV.395	328	261	1
ASV.406	328	254	1
ASV.420	328	245	1
ASV.424	228	243	1
ASV.430	328	239	1
ASV.440	328	232	1
ASV.444	328	229	1
ASV.461	328	223	1
ASV.466	328	221	2
ASV.469	328	220	1
ASV.470	328	219	1
ASV.472	328	218	1
ASV.475	328	217	1
ASV.501	328	204	1
ASV.502	328	204	1
ASV.504	328	203	1
ASV.519	328	197	1
ASV.527	328	193	1
ASV.536	325	189	1
ASV.543	328	188	1
ASV.554	325	185	1
ASV.557	328	184	1
ASV.559	337	184	1
ASV.561	328	183	1
ASV.577	328	179	1
ASV.583	328	177	1
ASV.601	328	171	1
ASV.617	328	165	1
ASV.621	325	163	1
ASV.629	328	161	2
ASV.633	328	160	1
ASV.642	322	159	1
ASV.655	328	156	1
ASV.672	328	153	1
ASV.673	328	152	1
ASV.677	328	151	1
ASV.683	328	150	1
ASV.687	329	149	1
ASV.691	328	149	1
ASV.698	328	148	1
ASV.709	328	146	1
ASV.710	328	146	1
ASV.743	328	140	1
ASV.747	328	139	2
ASV.763	325	136	2
ASV.783	323	134	1
ASV.787	325	133	1
ASV.792	328	132	1
ASV.805	328	129	1
ASV.831	328	126	1
ASV.837	328	126	1
ASV.841	322	125	1
ASV.842	328	124	1
ASV.850	328	124	1
ASV.854	328	123	1
ASV.859	328	123	1
ASV.910	328	117	1
ASV.927	328	114	1
ASV.932	326	114	1
ASV.970	328	109	1
ASV.994	328	107	1
ASV.1004	328	106	1
ASV.1012	295	105	1
ASV.1023	208	104	1
ASV.1029	328	103	1
ASV.1032	199	103	1
ASV.1033	328	102	1
ASV.1085	328	99	1
ASV.1116	239	96	1
ASV.1130	328	94	1
ASV.1156	328	91	1
ASV.1157	328	91	1
ASV.1158	328	91	1
ASV.1159	328	91	1
ASV.1188	227	89	1
ASV.1202	223	88	2
ASV.1244	328	84	1
ASV.1315	328	79	1
ASV.1321	328	79	2
ASV.1324	227	79	1
ASV.1331	328	78	2
ASV.1344	328	77	1
ASV.1421	328	73	1
ASV.1422	328	73	1
ASV.1465	328	71	1
ASV.1555	325	68	3
ASV.1557	207	68	1
ASV.1570	328	67	1
ASV.1575	296	67	1
ASV.1576	325	67	1
ASV.1577	227	67	1
ASV.1599	328	66	1
ASV.1629	328	65	2
ASV.1650	328	64	1
ASV.1658	328	64	1
ASV.1709	236	62	1
ASV.1711	328	61	1
ASV.1760	212	60	1
ASV.1761	328	60	1
ASV.1786	328	59	1
ASV.1823	328	58	1
ASV.1884	322	56	1
ASV.1928	268	55	1
ASV.1929	328	55	1
ASV.2001	328	53	1
ASV.2035	328	52	1
ASV.2044	232	52	1
ASV.2045	328	51	1
ASV.2054	328	51	1
ASV.2080	249	51	1
ASV.2081	231	51	1
ASV.2163	296	49	1
ASV.2224	328	47	1
ASV.2244	249	47	1
ASV.2295	328	46	1
ASV.2296	325	46	1
ASV.2369	314	44	1
ASV.2380	328	43	1
ASV.2425	328	43	1
ASV.2478	223	42	1
ASV.2480	328	42	1
ASV.2540	323	40	1
ASV.2630	338	39	1
ASV.2632	199	39	1
ASV.2685	328	38	1
ASV.2737	331	37	1
ASV.2853	328	35	1
ASV.2857	287	35	1
ASV.2858	328	35	1
ASV.2860	328	35	1
ASV.2881	328	34	1
ASV.2909	328	34	1
ASV.2918	328	34	1
ASV.2923	304	34	1
ASV.2940	328	33	1
ASV.2988	284	33	1
ASV.2989	302	33	1
ASV.3059	282	32	1
ASV.3062	205	32	1
ASV.3063	328	32	2
ASV.3216	202	30	1
ASV.3217	325	30	1
ASV.3227	328	29	1
ASV.3277	346	29	1
ASV.3291	241	29	1
ASV.3292	302	29	1
ASV.3366	325	28	1
ASV.3397	327	27	1
ASV.3475	329	26	1
ASV.3503	325	26	1
ASV.3512	235	26	1
ASV.3513	305	26	1
ASV.3514	236	26	1
ASV.3603	215	25	1
ASV.3605	204	25	1
ASV.3702	241	24	1
ASV.3703	328	24	1
ASV.3705	322	24	1
ASV.3708	329	24	1
ASV.3721	328	23	1
ASV.3819	296	23	1
ASV.3820	196	23	1
ASV.3825	328	23	1
ASV.3827	268	23	1
ASV.3828	328	23	1
ASV.3829	328	23	1
ASV.3830	335	23	1
ASV.3897	328	22	1
ASV.3935	272	22	1
ASV.3998	328	21	1
ASV.4006	328	21	1
ASV.4008	328	21	1
ASV.4034	328	21	1
ASV.4054	223	21	1
ASV.4055	308	21	1
ASV.4057	307	21	1
ASV.4058	239	21	1
ASV.4059	207	21	1
ASV.4063	325	21	1
ASV.4157	325	20	1
ASV.4160	325	20	1
ASV.4164	328	20	1
ASV.4287	346	19	1
ASV.4294	313	19	1
ASV.4295	328	19	1
ASV.4298	328	19	1
ASV.4380	328	18	1
ASV.4415	328	18	1
ASV.4416	305	18	1
ASV.4417	295	18	1
ASV.4418	220	18	1
ASV.4419	228	18	1
ASV.4420	207	18	1
ASV.4421	198	18	1
ASV.4422	328	18	2
ASV.4423	325	18	1
ASV.4427	328	18	1
ASV.4428	196	18	1
ASV.4429	328	18	1
ASV.4490	328	17	1
ASV.4501	328	17	1
ASV.4528	346	17	1
ASV.4555	328	17	1
ASV.4557	328	17	1
ASV.4558	328	17	1
ASV.4664	328	16	1
ASV.4670	328	16	1
ASV.4695	321	16	1
ASV.4696	235	16	1
ASV.4707	328	15	1
ASV.4825	328	15	1
ASV.4852	336	15	1
ASV.4853	221	15	1
ASV.4854	335	15	1
ASV.4855	234	15	1
ASV.4859	227	15	1
ASV.4860	328	15	1
ASV.4861	328	15	1
ASV.4982	329	14	1
ASV.5025	223	14	1
ASV.5057	325	13	1
ASV.5136	322	13	1
ASV.5190	240	13	2
ASV.5191	326	13	1
ASV.5195	308	13	1
ASV.5196	230	13	1
ASV.5200	223	13	1
ASV.5202	328	13	1
ASV.5203	327	13	1
ASV.5263	329	12	1
ASV.5264	329	12	1
ASV.5341	328	12	1
ASV.5355	325	12	1
ASV.5384	266	12	1
ASV.5385	280	12	1
ASV.5389	331	12	1
ASV.5395	328	12	1
ASV.5396	325	12	1
ASV.5450	322	11	1
ASV.5495	346	11	1
ASV.5613	328	11	1
ASV.5614	229	11	1
ASV.5615	328	11	1
ASV.5617	325	11	1
ASV.5630	328	11	1
ASV.5631	328	11	1
ASV.5632	235	11	1
ASV.5633	328	11	1
ASV.5672	329	10	1
ASV.5697	328	10	1
ASV.5816	328	10	1
ASV.5856	208	10	1
ASV.5857	250	10	2
ASV.5858	328	10	1
ASV.5864	232	10	1
ASV.5865	248	10	1
ASV.5866	278	10	1
ASV.5867	325	10	1
ASV.5868	315	10	1
ASV.5875	331	10	1
ASV.5877	319	10	1
ASV.5878	325	10	1
ASV.5879	328	10	1
ASV.5880	328	10	1
ASV.5920	328	9	1
ASV.6004	329	9	1
ASV.6133	250	9	1
ASV.6138	300	9	1
ASV.6139	250	9	1
ASV.6140	221	9	1
ASV.6141	232	9	1
ASV.6149	328	9	1
ASV.6150	328	9	1
ASV.6151	329	9	1
ASV.6152	328	9	1
ASV.6218	325	8	1
ASV.6313	328	8	1
ASV.6372	328	8	1
ASV.6394	328	8	1
ASV.6445	328	8	1
ASV.6461	328	8	1
ASV.6499	328	8	1
ASV.6500	328	8	1
