asvLen	totReads	numSamps
ASV.1	325	66308	5
ASV.2	325	60031	6
ASV.3	328	13990	3
ASV.4	322	8220	1
ASV.5	328	6588	1
ASV.6	328	6026	1
ASV.7	325	5335	3
ASV.8	328	3901	3
ASV.9	322	3247	1
ASV.10	328	2697	2
ASV.11	325	2551	3
ASV.12	325	2206	2
ASV.13	325	2198	3
ASV.14	319	2068	5
ASV.15	325	1926	2
ASV.16	325	1686	3
ASV.17	325	1226	2
ASV.18	328	1171	1
ASV.19	325	1134	2
ASV.20	325	1118	2
ASV.21	325	1019	2
ASV.26	325	683	1
ASV.28	325	623	1
ASV.29	325	620	2
ASV.31	325	581	2
ASV.41	328	408	1
ASV.44	325	377	1
ASV.49	325	368	1
ASV.55	325	315	1
ASV.58	328	294	1
ASV.64	328	264	1
ASV.67	325	244	2
ASV.71	328	241	1
ASV.74	325	226	1
ASV.75	328	222	1
ASV.76	322	221	1
ASV.81	325	206	3
ASV.84	325	189	1
ASV.85	328	182	1
ASV.95	325	160	1
ASV.98	328	155	1
ASV.105	325	146	2
ASV.106	325	143	1
ASV.111	328	134	1
ASV.129	328	106	1
ASV.137	322	101	1
ASV.147	328	91	1
ASV.155	325	85	2
ASV.160	328	83	1
ASV.168	325	75	2
ASV.185	325	66	1
ASV.189	325	65	1
ASV.190	325	62	2
ASV.230	328	49	1
ASV.252	328	44	1
ASV.276	325	37	2
ASV.312	325	30	1
ASV.326	325	28	1
ASV.329	325	27	1
ASV.421	233	17	1
ASV.422	325	17	1
ASV.424	328	17	1
ASV.448	328	15	1
ASV.457	352	14	1
ASV.462	325	14	1
ASV.475	325	13	1
ASV.480	334	13	1
ASV.506	325	11	1
ASV.507	325	11	1
ASV.518	328	11	1
ASV.565	325	9	1
ASV.568	243	9	2
ASV.606	328	8	1
ASV.632	328	7	1
ASV.684	322	6	1
ASV.727	328	5	1
ASV.728	334	5	1
ASV.729	334	5	1
ASV.756	328	4	1
ASV.795	199	4	1
ASV.813	202	4	1
ASV.825	201	4	1
ASV.861	325	3	1
ASV.878	328	3	1
ASV.881	328	3	1
ASV.988	236	2	1
ASV.1004	193	2	1
ASV.1082	220	2	1
ASV.1152	282	2	1
ASV.1249	328	1	1
