asvLen	totReads	numSamps
ASV.1	328	154062	13
ASV.2	328	118201	14
ASV.3	325	58996	9
ASV.4	328	55214	8
ASV.5	328	44719	9
ASV.6	328	26633	6
ASV.7	325	26613	8
ASV.10	325	10961	4
ASV.11	325	9246	3
ASV.12	328	9212	2
ASV.13	328	7668	9
ASV.14	325	7668	1
ASV.15	328	7515	2
ASV.16	328	7060	1
ASV.17	328	6926	1
ASV.18	328	6615	4
ASV.19	325	6493	2
ASV.20	328	5824	5
ASV.21	325	5276	2
ASV.22	325	4977	10
ASV.23	328	4254	2
ASV.24	328	4161	1
ASV.26	328	3376	1
ASV.27	328	3204	1
ASV.28	325	3059	2
ASV.29	325	3015	2
ASV.31	328	2686	5
ASV.32	325	2625	3
ASV.33	325	2594	3
ASV.34	328	2343	7
ASV.36	325	2139	3
ASV.37	328	1929	3
ASV.38	325	1852	8
ASV.39	328	1825	5
ASV.40	325	1806	6
ASV.41	325	1656	1
ASV.43	325	1557	7
ASV.45	325	1543	2
ASV.46	322	1534	2
ASV.47	325	1518	5
ASV.48	325	1442	1
ASV.49	325	1418	4
ASV.50	328	1418	2
ASV.51	325	1301	3
ASV.52	325	1299	4
ASV.53	325	1298	2
ASV.54	325	1270	1
ASV.55	322	1267	1
ASV.56	325	1252	1
ASV.57	325	1238	4
ASV.58	328	1107	1
ASV.59	328	1089	3
ASV.60	328	1087	2
ASV.61	325	1086	2
ASV.62	328	1051	1
ASV.63	328	1031	1
ASV.64	325	1025	1
ASV.65	325	1022	3
ASV.66	328	987	1
ASV.67	328	983	1
ASV.68	328	961	1
ASV.69	325	948	2
ASV.70	364	926	1
ASV.71	328	902	2
ASV.72	328	896	2
ASV.73	328	895	4
ASV.74	328	868	7
ASV.75	328	838	1
ASV.76	325	817	1
ASV.77	328	779	1
ASV.78	325	734	1
ASV.80	325	710	6
ASV.81	328	690	1
ASV.82	325	676	2
ASV.83	325	666	4
ASV.84	328	618	1
ASV.86	325	597	1
ASV.87	328	593	1
ASV.89	328	563	1
ASV.91	328	550	3
ASV.92	328	544	1
ASV.93	325	534	2
ASV.94	325	531	1
ASV.95	364	527	2
ASV.96	325	518	1
ASV.97	328	496	1
ASV.98	325	493	1
ASV.100	328	475	1
ASV.101	322	468	2
ASV.102	325	468	2
ASV.105	325	444	2
ASV.106	328	444	1
ASV.108	325	434	1
ASV.109	328	434	1
ASV.110	328	422	2
ASV.111	325	422	1
ASV.112	328	388	1
ASV.113	325	385	1
ASV.114	328	379	1
ASV.115	328	374	2
ASV.117	328	365	1
ASV.118	328	363	1
ASV.119	309	361	3
ASV.120	328	361	1
ASV.121	364	356	2
ASV.122	328	353	2
ASV.123	328	337	1
ASV.124	325	337	1
ASV.125	328	330	1
ASV.127	325	321	1
ASV.128	325	321	1
ASV.129	265	319	7
ASV.130	328	315	2
ASV.131	325	313	3
ASV.132	328	313	2
ASV.133	325	313	3
ASV.134	325	306	1
ASV.135	328	303	1
ASV.136	325	297	2
ASV.137	322	294	1
ASV.138	328	290	1
ASV.139	328	289	1
ASV.141	328	288	2
ASV.142	325	280	1
ASV.143	325	279	1
ASV.144	325	279	1
ASV.146	322	268	2
ASV.147	325	264	2
ASV.148	328	263	2
ASV.149	328	260	1
ASV.150	325	259	1
ASV.151	276	258	3
ASV.152	328	258	2
ASV.153	328	257	4
ASV.154	328	255	1
ASV.155	328	250	3
ASV.156	328	248	1
ASV.157	328	247	3
ASV.158	328	244	1
ASV.159	328	244	1
ASV.161	328	243	1
ASV.162	328	242	1
ASV.163	343	240	5
ASV.165	325	239	1
ASV.167	328	238	3
ASV.168	364	238	1
ASV.170	328	236	1
ASV.172	328	235	1
ASV.174	328	234	1
ASV.176	328	231	1
ASV.177	328	230	1
ASV.178	328	230	1
