SRR11948576	SRR11948577	SRR11948578	SRR11948579	SRR11948580	SRR11948581	SRR11948582	SRR11948583	SRR11948584	SRR11948585	SRR11948586	SRR11948587	SRR11948588	SRR11948589
ASV.1	21607	45	22469	1011	1231	7	33689	110	18415	63	30012	85	25318	0
ASV.2	3510	30950	29	11978	497	21	151	729	18960	23984	1789	25575	8	20
ASV.3	3815	0	2307	0	423	0	9102	15534	0	0	6574	16516	1790	2935
ASV.4	8249	0	9441	418	524	0	4043	0	4256	0	5814	0	22469	0
ASV.5	0	163	16407	1216	25065	13	0	0	918	0	921	11	0	5
ASV.6	0	0	0	6	23316	18	0	0	0	0	3163	111	0	19
ASV.7	6614	0	1409	0	0	0	3082	5600	0	0	915	7027	690	1276
ASV.10	0	0	0	3757	0	5830	0	932	0	0	0	0	0	442
ASV.11	0	0	0	0	0	0	32	817	0	0	0	0	0	8397
ASV.12	0	0	0	0	0	2240	0	0	0	0	0	0	0	6972
ASV.13	1518	40	20	0	1436	33	0	0	2092	0	1937	543	0	49
ASV.14	0	0	0	0	0	0	0	0	0	0	0	0	0	7668
ASV.15	0	0	0	0	0	1864	0	0	0	0	0	0	0	5651
ASV.16	0	0	0	7060	0	0	0	0	0	0	0	0	0	0
ASV.17	0	6926	0	0	0	0	0	0	0	0	0	0	0	0
ASV.18	0	31	0	0	5694	0	34	0	0	0	856	0	0	0
ASV.19	578	0	0	0	0	0	0	0	0	5915	0	0	0	0
ASV.20	0	0	0	4980	0	103	0	607	0	0	0	35	0	99
ASV.21	0	0	0	0	0	2760	0	0	0	0	0	0	0	2516
ASV.22	595	1058	0	1098	19	58	52	0	675	488	334	600	0	0
ASV.23	0	0	0	0	0	173	0	0	0	4081	0	0	0	0
ASV.24	0	0	0	0	0	4161	0	0	0	0	0	0	0	0
ASV.26	0	0	0	0	0	3376	0	0	0	0	0	0	0	0
ASV.27	0	0	0	0	0	0	0	3204	0	0	0	0	0	0
ASV.28	0	0	0	0	0	3035	0	0	0	0	0	0	0	24
ASV.29	0	1874	0	1141	0	0	0	0	0	0	0	0	0	0
ASV.31	0	2053	0	545	0	47	0	4	0	37	0	0	0	0
