#Source	Type	SizeFrac	SampName
RawFastqs/SRR6834172_1.fastq.gz	DNA	Frac_0.2	SRR6834172
RawFastqs/SRR6834172_2.fastq.gz	DNA	Frac_0.2	SRR6834172
RawFastqs/SRR6834173_1.fastq.gz	DNA	Frac_0.2	SRR6834173
RawFastqs/SRR6834173_2.fastq.gz	DNA	Frac_0.2	SRR6834173
RawFastqs/SRR6834174_1.fastq.gz	DNA	Frac_0.2	SRR6834174
RawFastqs/SRR6834174_2.fastq.gz	DNA	Frac_0.2	SRR6834174
RawFastqs/SRR6834175_1.fastq.gz	DNA	Frac_0.2	SRR6834175
RawFastqs/SRR6834175_2.fastq.gz	DNA	Frac_0.2	SRR6834175
RawFastqs/SRR6834176_1.fastq.gz	DNA	Frac_0.2	SRR6834176
RawFastqs/SRR6834176_2.fastq.gz	DNA	Frac_0.2	SRR6834176
RawFastqs/SRR6834177_1.fastq.gz	DNA	Frac_0.2	SRR6834177
RawFastqs/SRR6834177_2.fastq.gz	DNA	Frac_0.2	SRR6834177
RawFastqs/SRR6834178_1.fastq.gz	DNA	Frac_0.2	SRR6834178
RawFastqs/SRR6834178_2.fastq.gz	DNA	Frac_0.2	SRR6834178
RawFastqs/SRR6834179_1.fastq.gz	DNA	Frac_0.2	SRR6834179
RawFastqs/SRR6834179_2.fastq.gz	DNA	Frac_0.2	SRR6834179
RawFastqs/SRR6834180_1.fastq.gz	DNA	Frac_0.2	SRR6834180
RawFastqs/SRR6834180_2.fastq.gz	DNA	Frac_0.2	SRR6834180
RawFastqs/SRR6834181_1.fastq.gz	DNA	Frac_0.2	SRR6834181
RawFastqs/SRR6834181_2.fastq.gz	DNA	Frac_0.2	SRR6834181
RawFastqs/SRR6834182_1.fastq.gz	DNA	Frac_0.2	SRR6834182
RawFastqs/SRR6834182_2.fastq.gz	DNA	Frac_0.2	SRR6834182
RawFastqs/SRR6834183_1.fastq.gz	DNA	Frac_0.2	SRR6834183
RawFastqs/SRR6834183_2.fastq.gz	DNA	Frac_0.2	SRR6834183
RawFastqs/SRR6834184_1.fastq.gz	DNA	Frac_0.2	SRR6834184
RawFastqs/SRR6834184_2.fastq.gz	DNA	Frac_0.2	SRR6834184
RawFastqs/SRR6834185_1.fastq.gz	DNA	Frac_0.2	SRR6834185
RawFastqs/SRR6834185_2.fastq.gz	DNA	Frac_0.2	SRR6834185
RawFastqs/SRR6834186_1.fastq.gz	DNA	Frac_0.2	SRR6834186
RawFastqs/SRR6834186_2.fastq.gz	DNA	Frac_0.2	SRR6834186
RawFastqs/SRR6834187_1.fastq.gz	DNA	Frac_0.2	SRR6834187
RawFastqs/SRR6834187_2.fastq.gz	DNA	Frac_0.2	SRR6834187
RawFastqs/SRR6834188_1.fastq.gz	DNA	Frac_0.2	SRR6834188
RawFastqs/SRR6834188_2.fastq.gz	DNA	Frac_0.2	SRR6834188
RawFastqs/SRR6834189_1.fastq.gz	DNA	Frac_0.2	SRR6834189
RawFastqs/SRR6834189_2.fastq.gz	DNA	Frac_0.2	SRR6834189
