SRR13612895	SRR13612896	SRR13612898
ASV.1	34438	30169	38743
ASV.2	462	6507	6333
ASV.3	1315	1221	1203
ASV.4	3704	0	0
ASV.5	1277	1112	662
ASV.6	1013	1071	966
ASV.9	0	1654	0
ASV.12	332	599	186
ASV.16	0	0	642
ASV.20	281	115	146
ASV.21	257	140	116
ASV.22	398	0	0
ASV.24	88	138	120
ASV.25	0	341	0
ASV.29	135	55	61
ASV.30	178	59	0
ASV.31	94	46	69
ASV.35	0	0	185
ASV.38	64	52	52
ASV.39	0	168	0
ASV.42	135	0	0
ASV.46	35	35	43
ASV.49	20	44	30
ASV.50	0	0	94
ASV.51	36	56	0
ASV.54	0	0	78
ASV.56	0	44	26
ASV.57	49	20	0
ASV.59	0	65	0
ASV.67	22	25	5
ASV.68	51	0	0
ASV.69	19	9	23
ASV.70	0	49	0
ASV.73	0	0	42
ASV.74	21	15	5
ASV.78	0	39	0
ASV.83	0	32	0
ASV.86	0	0	30
ASV.90	27	0	0
ASV.91	15	12	0
ASV.92	0	26	0
ASV.93	25	0	0
ASV.97	2	13	8
ASV.99	20	0	0
ASV.101	0	2	18
ASV.102	19	0	0
ASV.103	11	0	8
ASV.107	0	0	19
ASV.108	0	10	8
ASV.109	0	18	0
ASV.110	0	18	0
ASV.111	0	0	18
ASV.112	17	0	0
ASV.113	17	0	0
ASV.114	0	9	8
ASV.116	0	0	17
ASV.117	0	16	0
ASV.119	0	15	0
ASV.124	0	13	0
ASV.125	0	13	0
ASV.132	10	0	0
ASV.134	0	10	0
ASV.137	0	0	10
ASV.140	0	9	0
ASV.142	0	0	9
ASV.143	0	0	9
ASV.144	8	0	0
ASV.145	8	0	0
ASV.146	0	8	0
ASV.147	0	8	0
ASV.148	0	8	0
ASV.152	7	0	0
ASV.153	4	0	3
ASV.154	7	0	0
ASV.155	7	0	0
ASV.158	0	0	7
ASV.159	0	0	7
ASV.160	6	0	0
ASV.162	6	0	0
ASV.163	0	6	0
ASV.164	0	6	0
ASV.165	0	6	0
ASV.166	0	6	0
ASV.169	0	0	6
ASV.171	0	0	6
ASV.172	0	0	6
ASV.173	5	0	0
ASV.174	5	0	0
ASV.175	5	0	0
ASV.176	5	0	0
ASV.178	0	5	0
ASV.183	0	0	5
ASV.184	0	0	5
ASV.185	4	0	0
ASV.186	4	0	0
ASV.187	4	0	0
ASV.188	4	0	0
ASV.189	4	0	0
ASV.190	4	0	0
ASV.191	4	0	0
ASV.192	4	0	0
ASV.193	4	0	0
ASV.194	4	0	0
ASV.195	0	4	0
ASV.196	0	4	0
ASV.197	0	4	0
ASV.200	0	4	0
ASV.201	0	0	4
ASV.202	0	0	4
ASV.203	0	0	4
ASV.204	0	0	4
ASV.207	0	0	4
ASV.208	3	0	0
ASV.209	3	0	0
ASV.210	3	0	0
ASV.211	3	0	0
ASV.212	3	0	0
ASV.213	3	0	0
ASV.214	3	0	0
ASV.215	3	0	0
ASV.216	3	0	0
ASV.219	0	3	0
ASV.220	0	3	0
ASV.221	0	3	0
ASV.223	0	3	0
ASV.224	0	3	0
ASV.231	0	0	3
ASV.232	0	0	3
ASV.233	0	0	3
ASV.234	0	0	3
ASV.235	0	0	3
ASV.237	2	0	0
ASV.238	2	0	0
ASV.239	2	0	0
ASV.240	2	0	0
ASV.241	2	0	0
ASV.242	2	0	0
ASV.243	2	0	0
ASV.245	2	0	0
ASV.246	2	0	0
ASV.247	2	0	0
ASV.248	2	0	0
ASV.249	2	0	0
ASV.250	2	0	0
ASV.251	2	0	0
ASV.252	2	0	0
ASV.253	2	0	0
ASV.254	2	0	0
ASV.255	2	0	0
ASV.256	2	0	0
ASV.257	2	0	0
ASV.258	2	0	0
ASV.262	0	2	0
ASV.263	0	2	0
ASV.264	0	2	0
ASV.265	0	2	0
ASV.266	0	2	0
ASV.267	0	2	0
ASV.268	0	2	0
ASV.270	0	2	0
ASV.271	0	2	0
ASV.272	0	2	0
ASV.273	0	2	0
ASV.274	0	2	0
ASV.275	0	2	0
ASV.276	0	2	0
ASV.277	0	2	0
ASV.278	0	2	0
ASV.279	0	2	0
ASV.280	0	2	0
ASV.281	0	2	0
ASV.293	0	2	0
ASV.294	0	0	2
ASV.295	0	0	2
ASV.296	0	0	2
ASV.297	0	0	2
ASV.298	0	0	2
ASV.299	0	0	2
ASV.300	0	0	2
ASV.301	0	0	2
ASV.302	0	0	2
ASV.303	0	0	2
ASV.304	0	0	2
ASV.305	0	0	2
ASV.322	0	0	1
ASV.323	0	0	1
