SRR13612797	SRR13612808	SRR13612849	SRR13612860	SRR13612885	SRR13612887	SRR13612888	SRR13612889
ASV.1	14175	31998	20990	30479	37794	29093	30683	44755
ASV.2	17	3682	10550	13149	153	74	106	131
ASV.3	1530	0	0	184	806	1947	1453	1166
ASV.4	1022	0	26	71	684	1273	824	1394
ASV.5	0	0	0	0	1719	0	1738	0
ASV.6	0	0	0	0	604	895	659	876
ASV.11	0	0	0	114	165	896	190	253
ASV.16	0	218	398	289	0	56	0	53
ASV.17	0	121	183	125	93	118	121	166
ASV.18	0	0	0	0	184	172	276	279
ASV.20	0	20	0	23	118	246	179	207
ASV.22	0	0	0	0	368	0	372	0
ASV.23	0	0	0	0	510	0	120	54
ASV.25	0	144	217	199	0	0	45	0
ASV.27	0	0	0	0	540	0	0	0
ASV.29	0	0	0	0	99	78	146	167
ASV.32	0	82	153	133	0	0	0	14
ASV.33	0	0	0	0	108	0	139	130
ASV.35	0	30	25	0	54	37	65	84
ASV.37	0	0	0	0	0	282	0	0
ASV.38	0	0	0	0	51	53	73	73
ASV.39	0	0	0	0	32	65	70	80
ASV.44	0	44	85	66	0	0	0	0
ASV.45	0	35	69	86	0	0	0	0
ASV.48	0	47	51	62	0	0	0	0
ASV.49	0	40	53	54	0	0	0	0
ASV.51	0	0	0	0	0	16	76	54
ASV.54	0	0	0	0	60	0	73	4
ASV.56	0	0	0	0	0	66	61	0
ASV.59	0	0	0	0	28	0	48	36
ASV.60	109	0	0	0	0	0	0	0
ASV.61	0	39	40	28	0	0	0	0
ASV.65	0	0	0	101	0	0	0	0
ASV.66	0	0	0	99	0	0	0	0
ASV.68	0	0	0	0	19	15	32	27
ASV.73	0	23	16	33	0	10	0	0
ASV.74	81	0	0	0	0	0	0	0
ASV.75	0	31	21	28	0	0	0	0
ASV.76	0	0	0	0	75	0	0	0
ASV.77	0	0	0	0	19	12	20	23
ASV.78	0	0	0	0	12	0	30	30
ASV.79	0	21	20	30	0	0	0	0
ASV.80	0	64	0	0	0	0	0	0
ASV.81	0	0	64	0	0	0	0	0
ASV.82	0	38	24	0	0	0	0	0
ASV.84	61	0	0	0	0	0	0	0
ASV.85	0	48	13	0	0	0	0	0
ASV.88	60	0	0	0	0	0	0	0
ASV.89	0	22	26	12	0	0	0	0
ASV.90	0	16	21	23	0	0	0	0
ASV.91	0	0	37	21	0	0	0	0
ASV.94	0	0	0	57	0	0	0	0
ASV.95	0	0	29	25	0	0	0	0
ASV.100	48	0	0	0	0	0	0	0
ASV.101	0	48	0	0	0	0	0	0
ASV.102	0	0	0	48	0	0	0	0
ASV.108	0	7	37	0	0	0	0	0
ASV.109	0	0	7	22	0	0	15	0
ASV.111	0	0	0	42	0	0	0	0
ASV.114	0	0	0	0	39	0	0	0
ASV.115	0	0	0	0	0	27	0	12
ASV.116	38	0	0	0	0	0	0	0
ASV.119	0	0	0	0	0	38	0	0
ASV.122	0	0	0	0	0	37	0	0
ASV.123	0	11	25	0	0	0	0	0
ASV.124	0	0	0	8	0	0	10	17
ASV.125	0	0	34	0	0	0	0	0
ASV.126	0	0	0	0	0	25	0	9
ASV.127	0	0	0	0	0	0	27	7
ASV.128	0	0	33	0	0	0	0	0
ASV.129	0	0	8	4	8	8	5	0
ASV.130	0	0	0	0	0	33	0	0
ASV.131	32	0	0	0	0	0	0	0
ASV.132	0	32	0	0	0	0	0	0
ASV.133	0	0	0	0	32	0	0	0
ASV.134	31	0	0	0	0	0	0	0
ASV.136	0	0	0	31	0	0	0	0
ASV.137	0	0	0	0	31	0	0	0
ASV.139	29	0	0	0	0	0	0	0
ASV.140	29	0	0	0	0	0	0	0
ASV.141	0	29	0	0	0	0	0	0
ASV.142	0	0	0	0	7	8	0	14
ASV.143	0	15	13	0	0	0	0	0
ASV.144	0	0	0	6	0	5	7	10
ASV.145	0	0	0	0	28	0	0	0
ASV.146	0	0	0	27	0	0	0	0
ASV.147	0	0	0	0	7	0	9	11
ASV.149	0	0	0	0	0	0	27	0
ASV.150	26	0	0	0	0	0	0	0
ASV.151	0	0	0	4	5	0	10	7
