asvLen	totReads	numSamps
ASV.1	325	80908	4
ASV.2	325	20902	4
ASV.3	328	9803	4
ASV.4	328	8234	4
ASV.5	328	8011	4
ASV.6	328	7733	4
ASV.7	325	4926	4
ASV.11	325	1859	4
ASV.16	322	983	4
ASV.18	328	974	1
ASV.19	328	892	4
ASV.22	322	683	4
ASV.30	328	369	1
ASV.32	325	323	1
ASV.33	328	303	4
ASV.38	322	264	4
ASV.41	296	238	2
ASV.42	328	218	1
ASV.43	282	210	3
ASV.46	328	191	1
ASV.49	248	173	1
ASV.51	328	170	1
ASV.57	255	136	3
ASV.60	255	126	2
ASV.61	328	125	1
ASV.65	328	108	1
ASV.69	261	96	3
ASV.71	325	95	1
ASV.72	328	94	1
ASV.75	262	86	3
ASV.76	262	81	4
ASV.80	328	63	1
ASV.92	262	48	3
ASV.98	199	44	1
ASV.100	328	43	1
ASV.104	325	40	2
ASV.106	196	39	2
ASV.108	325	38	3
ASV.110	328	37	2
ASV.112	299	36	3
ASV.113	263	34	2
ASV.115	310	32	3
ASV.116	199	32	1
ASV.119	196	31	1
ASV.122	205	28	1
ASV.126	212	27	1
ASV.128	348	25	2
ASV.131	226	24	2
ASV.132	279	23	2
ASV.133	199	23	1
ASV.135	202	22	2
ASV.137	258	20	2
ASV.139	295	20	1
ASV.140	328	20	1
ASV.142	247	19	2
ASV.143	284	19	2
ASV.145	262	19	1
ASV.146	235	18	2
ASV.149	344	18	1
ASV.156	340	17	1
ASV.157	338	16	2
ASV.159	340	16	1
ASV.161	210	15	1
ASV.165	216	14	2
ASV.166	204	14	1
ASV.167	335	14	1
ASV.168	295	14	1
ASV.172	328	14	1
ASV.173	256	13	1
ASV.176	280	13	2
ASV.177	221	13	1
ASV.178	201	13	1
ASV.181	313	12	2
ASV.182	325	12	1
ASV.183	216	12	1
ASV.185	214	12	2
ASV.186	254	12	1
ASV.188	335	11	1
ASV.189	198	11	1
ASV.190	340	11	1
ASV.191	295	11	1
ASV.192	252	11	1
ASV.193	269	11	1
ASV.194	235	11	1
ASV.195	328	11	1
ASV.196	292	10	2
ASV.197	337	10	1
ASV.202	215	10	1
ASV.203	272	10	1
ASV.205	279	10	1
ASV.206	335	10	1
ASV.208	200	9	1
ASV.209	275	9	1
ASV.211	253	9	2
ASV.212	201	9	1
ASV.214	224	8	1
ASV.216	313	8	1
ASV.217	206	8	2
ASV.218	287	8	1
ASV.220	229	8	1
ASV.226	223	7	1
ASV.227	299	7	1
ASV.228	223	7	1
ASV.229	339	7	1
ASV.231	337	7	1
ASV.232	267	7	1
ASV.233	362	7	1
ASV.235	272	7	1
ASV.237	322	7	1
ASV.238	258	6	1
ASV.239	298	6	1
ASV.240	355	6	1
ASV.246	332	6	1
ASV.247	247	6	1
ASV.249	328	6	1
ASV.250	197	5	1
ASV.251	239	5	1
ASV.252	340	5	1
ASV.253	238	5	1
ASV.254	360	5	1
ASV.255	244	5	1
ASV.258	205	5	1
ASV.259	314	5	1
ASV.260	196	5	1
ASV.263	299	5	1
ASV.264	286	5	1
ASV.265	206	5	1
ASV.268	235	5	1
ASV.269	330	4	1
ASV.270	286	4	1
ASV.271	230	4	1
ASV.272	345	4	1
ASV.273	287	4	1
ASV.274	207	4	1
ASV.275	252	4	1
ASV.276	322	4	1
ASV.277	312	4	1
ASV.279	232	4	1
ASV.280	314	4	1
ASV.281	216	4	1
ASV.282	307	4	1
ASV.283	336	4	1
ASV.284	208	4	1
ASV.285	237	4	1
ASV.289	348	4	1
ASV.290	328	4	1
ASV.291	295	4	1
ASV.300	314	4	1
ASV.301	208	3	1
ASV.302	259	3	1
ASV.303	322	3	1
ASV.304	227	3	1
ASV.305	233	3	1
ASV.306	268	3	1
ASV.307	218	3	1
ASV.308	256	3	1
ASV.312	259	3	1
ASV.313	290	3	1
ASV.314	253	3	1
ASV.315	196	3	1
ASV.316	311	3	1
ASV.317	351	3	1
ASV.318	360	3	1
ASV.325	328	3	1
ASV.328	232	3	1
ASV.329	195	3	1
ASV.330	208	3	1
ASV.331	320	3	1
ASV.332	278	3	1
ASV.344	309	3	1
ASV.345	218	3	1
ASV.346	250	3	1
ASV.347	208	3	1
ASV.352	216	2	1
ASV.353	208	2	1
ASV.354	247	2	1
ASV.355	217	2	1
ASV.356	315	2	1
ASV.357	334	2	1
ASV.358	226	2	1
ASV.359	196	2	1
ASV.360	204	2	1
ASV.361	325	2	1
ASV.362	277	2	1
ASV.363	226	2	1
ASV.364	217	2	1
ASV.365	241	2	1
ASV.366	241	2	1
ASV.367	262	2	1
ASV.368	280	2	1
ASV.369	289	2	1
ASV.370	279	2	1
ASV.371	208	2	1
ASV.372	256	2	1
ASV.373	336	2	1
ASV.374	235	2	1
ASV.375	331	2	1
ASV.376	234	2	1
ASV.377	270	2	1
ASV.378	280	2	1
ASV.379	222	2	1
ASV.383	326	2	1
ASV.384	199	2	1
ASV.385	238	2	1
ASV.386	257	2	1
ASV.387	246	2	1
ASV.388	244	2	1
ASV.389	237	2	1
ASV.390	351	2	1
ASV.391	232	2	1
ASV.392	222	2	1
ASV.393	294	2	1
ASV.394	344	2	1
ASV.395	326	2	1
ASV.396	256	2	1
ASV.397	220	2	1
ASV.398	211	2	1
ASV.399	197	2	1
ASV.400	227	2	1
ASV.401	268	2	1
ASV.402	256	2	1
ASV.403	198	2	1
ASV.404	304	2	1
ASV.408	328	2	1
ASV.413	205	2	1
ASV.414	304	2	1
ASV.415	235	2	1
ASV.416	207	2	1
ASV.417	204	2	1
ASV.418	292	2	1
ASV.419	309	2	1
ASV.420	245	2	1
ASV.421	290	2	1
ASV.422	201	2	1
ASV.423	255	2	1
ASV.424	268	2	1
ASV.425	196	2	1
ASV.426	332	2	1
ASV.427	308	2	1
ASV.428	292	2	1
ASV.429	218	2	1
ASV.430	269	2	1
ASV.431	247	2	1
ASV.432	239	2	1
ASV.433	349	2	1
ASV.438	259	2	1
ASV.439	294	2	1
ASV.440	346	2	1
ASV.441	262	2	1
ASV.442	251	2	1
ASV.443	232	2	1
ASV.444	303	2	1
ASV.445	229	2	1
ASV.446	209	2	1
