SAMPLEID,coastal.200km
71513,FALSE
71525,FALSE
71512,FALSE
71544,FALSE
71510,FALSE
71511,FALSE
71509,FALSE
71536,FALSE
71508,FALSE
71524,FALSE
71523,FALSE
71543,FALSE
71534,FALSE
71535,FALSE
71507,FALSE
71542,FALSE
71506,FALSE
71533,FALSE
71522,FALSE
71521,FALSE
71505,FALSE
71541,FALSE
71531,FALSE
71532,FALSE
71530,FALSE
71540,FALSE
71504,FALSE
71520,FALSE
71529,FALSE
71538,FALSE
71539,FALSE
71518,FALSE
71519,FALSE
71517,FALSE
71528,FALSE
71515,FALSE
71516,FALSE
71537,FALSE
71514,FALSE
71527,FALSE
71503,FALSE
71502,FALSE
71526,FALSE
