Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1178396,2014-03-15 00:00:00,2014-03-03 21:23:50,6937,3476115,6937,501,1,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1178396/SRR1178396.1,SRX477416,,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP038933,PRJNA239310,,239310,SRS561392,SAMN02649558,simple,1169740,aquatic metagenome,RD6,,,,,,,no,,,,,UNIVERSITY OF COPENHAGEN,SRA142803,,public,1576887790EFB5B0E6F1DC4F6895623A,80CF09ED01ECCDF4A055BF05082BCC7A
SRR1178395,2014-03-15 00:00:00,2014-03-03 21:23:50,11078,5547775,11078,500,3,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1178395/SRR1178395.1,SRX477415,,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP038933,PRJNA239310,,239310,SRS561393,SAMN02649557,simple,1169740,aquatic metagenome,RD5,,,,,,,no,,,,,UNIVERSITY OF COPENHAGEN,SRA142803,,public,0021DA6F74F6BF7E0F9AC9488104984D,2F3A77378819997DF3228847876EE5EB
SRR1178393,2014-03-15 00:00:00,2014-03-03 21:23:51,17399,8713881,17399,500,4,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1178393/SRR1178393.1,SRX477413,,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP038933,PRJNA239310,,239310,SRS561394,SAMN02649553,simple,1169740,aquatic metagenome,RD3,,,,,,,no,,,,,UNIVERSITY OF COPENHAGEN,SRA142803,,public,C94BAB6A8F3ED6BB34FB4E59F390333D,CA953C5205E88BE748FEC1CE09AB2E76
SRR1178394,2014-03-15 00:00:00,2014-03-03 21:23:50,12112,6065790,12112,500,3,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1178394/SRR1178394.1,SRX477414,,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP038933,PRJNA239310,,239310,SRS561395,SAMN02649556,simple,1169740,aquatic metagenome,RD4,,,,,,,no,,,,,UNIVERSITY OF COPENHAGEN,SRA142803,,public,91610977B13ABDAA16470C58FC6A29F6,621FBBB74361FE52BD6F46EFBB2FAB6D
SRR1178397,2014-03-15 00:00:00,2014-03-03 21:24:53,6986,3498046,6986,500,1,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1178397/SRR1178397.1,SRX477417,,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP038933,PRJNA239310,,239310,SRS561396,SAMN02649569,simple,1169740,aquatic metagenome,RD7,,,,,,,no,,,,,UNIVERSITY OF COPENHAGEN,SRA142803,,public,6D79C8047F589A3FB79109E8B7C20DCA,7882F8F9D3B9BAF27E2471CAE9D8AF2F
SRR1178398,2014-03-15 00:00:00,2014-03-03 21:25:54,3803,1905053,3803,500,1,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1178398/SRR1178398.1,SRX477418,,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP038933,PRJNA239310,,239310,SRS561397,SAMN02649571,simple,1169740,aquatic metagenome,RD8,,,,,,,no,,,,,UNIVERSITY OF COPENHAGEN,SRA142803,,public,047EBD5470027DD9FBCF00AEEEEEB59C,84DFE1F2286D0BF6E611DBC8F47011E5
SRR1178399,2014-03-15 00:00:00,2014-03-03 21:23:50,8873,4443703,8873,500,2,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1178399/SRR1178399.1,SRX477419,,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP038933,PRJNA239310,,239310,SRS561479,SAMN02649572,simple,1169740,aquatic metagenome,RD11,,,,,,,no,,,,,UNIVERSITY OF COPENHAGEN,SRA142803,,public,D353B23436AB7FF9469B7158B030C279,022864063EF75D9FC0FBE83BF0BC47FA
SRR1178406,2014-03-15 00:00:00,2014-03-03 21:23:50,4811,2409160,4811,500,1,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1178406/SRR1178406.1,SRX477420,,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP038933,PRJNA239310,,239310,SRS561480,SAMN02649574,simple,1169740,aquatic metagenome,RD12,,,,,,,no,,,,,UNIVERSITY OF COPENHAGEN,SRA142803,,public,94C223AC7885006C7D261F7B7BFE6836,98254DFCF2F1B2974692311E7EF2AC7F
SRR1178373,2014-03-15 00:00:00,2014-03-03 21:23:49,9167,4591638,9167,500,2,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1178373/SRR1178373.1,SRX477421,,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP038933,PRJNA239310,,239310,SRS561481,SAMN02649576,simple,1169740,aquatic metagenome,RD13,,,,,,,no,,,,,UNIVERSITY OF COPENHAGEN,SRA142803,,public,7F43B263EDE9335AEE52C27E1275AB99,D40671001C1C43DE53A9F6ABE6ABD469
SRR1178374,2014-03-15 00:00:00,2014-03-03 21:23:49,13762,6891796,13762,500,3,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1178374/SRR1178374.1,SRX477422,,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP038933,PRJNA239310,,239310,SRS561482,SAMN02649577,simple,1169740,aquatic metagenome,RD14,,,,,,,no,,,,,UNIVERSITY OF COPENHAGEN,SRA142803,,public,EDD56E5117B8EA4AFBAE801FA6C8BB00,C9AA1963C72EC7E78EE3D832EF0971EC
