Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	Isolation_Source	Lat_Lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	Depth
SRR11784070	AMPLICON	534	23184144	PRJNA631575	SAMN14884240	Metagenome or environmental	12343220	TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY	4/20/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX8336524	uncalculated	uncalculated	Pacific Ocean: South China Sea	Illumina MiSeq	seawater sample	18.01 N 110.76 E	AWGBNHAA24309-36-40	PAIRED	PCR	GENOMIC	marine metagenome	ILLUMINA	2020-05-13T00:00:00Z	MSCS-10	SRP261427	5
SRR11784071	AMPLICON	534	30564024	PRJNA631575	SAMN14884239	Metagenome or environmental	16519379	TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY	4/28/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX8336523	uncalculated	uncalculated	Pacific Ocean: South China Sea	Illumina MiSeq	seawater sample	16.15 N 115.01 E	AWGBNHAA24308-36-39	PAIRED	PCR	GENOMIC	marine metagenome	ILLUMINA	2020-05-13T00:00:00Z	MSCS-9	SRP261427	5
SRR11784072	AMPLICON	534	30239886	PRJNA631575	SAMN14884238	Metagenome or environmental	15612236	TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY	4/9/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX8336522	uncalculated	uncalculated	Pacific Ocean: South China Sea	Illumina MiSeq	seawater sample	13.19 N 115.01 E	AWGBNHAA24307-36-38	PAIRED	PCR	GENOMIC	marine metagenome	ILLUMINA	2020-05-13T00:00:00Z	MSCS-8	SRP261427	5
SRR11784073	AMPLICON	534	38501400	PRJNA631575	SAMN14884237	Metagenome or environmental	20196538	TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY	4/5/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX8336521	uncalculated	uncalculated	Pacific Ocean: South China Sea	Illumina MiSeq	seawater sample	12.06 N 117.51 E	AWGBNHAA24306-36-37	PAIRED	PCR	GENOMIC	marine metagenome	ILLUMINA	2020-05-13T00:00:00Z	MSCS-7	SRP261427	5
SRR11784074	AMPLICON	534	27779748	PRJNA631575	SAMN14884236	Metagenome or environmental	14731001	TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY	4/15/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX8336520	uncalculated	uncalculated	Pacific Ocean: South China Sea	Illumina MiSeq	seawater sample	14.20 N 118.24 E	AWGBNHAA24305-36-36	PAIRED	PCR	GENOMIC	marine metagenome	ILLUMINA	2020-05-13T00:00:00Z	MSCS-6	SRP261427	5
SRR11784075	AMPLICON	534	31069188	PRJNA631575	SAMN14884235	Metagenome or environmental	16447775	TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY	4/16/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX8336519	uncalculated	uncalculated	Pacific Ocean: South China Sea	Illumina MiSeq	seawater sample	14.24 N 116.11 E	AWGBNHAA24304-36-35	PAIRED	PCR	GENOMIC	marine metagenome	ILLUMINA	2020-05-13T00:00:00Z	MSCS-5	SRP261427	5
SRR11784076	AMPLICON	534	31079334	PRJNA631575	SAMN14884262	Metagenome or environmental	15357283	TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY	11/6/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX8336518	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater sample	2.01 N 130.00 E	AWGBNHAA18795-39-36	PAIRED	PCR	GENOMIC	marine metagenome	ILLUMINA	2020-05-13T00:00:00Z	WPO-10-nifH	SRP261427	5
SRR11784077	AMPLICON	534	57512868	PRJNA631575	SAMN14884261	Metagenome or environmental	28715805	TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY	11/4/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX8336517	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater sample	4.51 N 130.00 E	AWGBNHAA18794-39-35	PAIRED	PCR	GENOMIC	marine metagenome	ILLUMINA	2020-05-13T00:00:00Z	WPO-9-nifH	SRP261427	5
SRR11784078	AMPLICON	534	17770986	PRJNA631575	SAMN14884234	Metagenome or environmental	9626678	TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY	4/7/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX8336516	uncalculated	uncalculated	Pacific Ocean: South China Sea	Illumina MiSeq	seawater sample	13.24 N 118.01 E	AWGBNHAA24303-35-40	PAIRED	PCR	GENOMIC	marine metagenome	ILLUMINA	2020-05-13T00:00:00Z	MSCS-4	SRP261427	5
SRR11784079	AMPLICON	534	28706238	PRJNA631575	SAMN14884260	Metagenome or environmental	16044965	TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY	11/3/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX8336515	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater sample	5.50 N 130.00 E	AWGBNHAA18793-38-40	PAIRED	PCR	GENOMIC	marine metagenome	ILLUMINA	2020-05-13T00:00:00Z	WPO-8-nifH	SRP261427	5
