SAMPLEID,coastal.200km
SRR11784076,TRUE
SRR11784077,FALSE
SRR11784079,FALSE
SRR11784080,FALSE
SRR11784082,FALSE
SRR11784099,TRUE
SRR11784095,TRUE
SRR11784093,TRUE
SRR11784094,TRUE
SRR11784084,FALSE
SRR11784091,TRUE
SRR11784073,TRUE
SRR11784089,TRUE
SRR11784092,TRUE
SRR11784072,TRUE
SRR11784078,TRUE
SRR11784074,TRUE
SRR11784097,TRUE
SRR11784075,TRUE
SRR11784085,FALSE
SRR11784086,FALSE
SRR11784071,TRUE
SRR11784096,TRUE
SRR11784098,TRUE
SRR11784083,FALSE
SRR11784081,FALSE
SRR11784070,TRUE
SRR11784100,TRUE
SRR11784101,TRUE
SRR11784088,TRUE
SRR11784090,TRUE
SRR11784087,TRUE
