Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Chlorophyll,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,diss_oxygen,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,salinity,Sample Name,SRA Study,temp,nitrate,phosphate,silicate
SRR12432956,AMPLICON,602,539727916,PRJNA656687,SAMN15795524,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",351238681,UNIVERSITY OF COPENHAGEN,0,2017-06-28,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1 m,5.71,estuarine biome [ENVO:01000020],estuarine coastal upper water column [ENVO:01001312],estuarine water [ENVO:01000301],SRX8928795,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.67 N 71.42 W,S19,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,27.28,N3_B14 S,SRP277143,22.51,,,
SRR12432957,AMPLICON,602,271716312,PRJNA656687,SAMN15795523,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",187291012,UNIVERSITY OF COPENHAGEN,0,2017-06-28,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1 m,8.82,estuarine biome [ENVO:01000020],estuarine coastal upper water column [ENVO:01001312],estuarine water [ENVO:01000301],SRX8928794,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.74 N 71.37 W,S17,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,13.74,N3_B4 S,SRP277143,21.47,4.63,1.1,30.01
SRR12432958,AMPLICON,602,53707430,PRJNA656687,SAMN15795522,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",36695396,UNIVERSITY OF COPENHAGEN,6.7,2017-06-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1 m,8.37,estuarine biome [ENVO:01000020],estuarine coastal upper water column [ENVO:01001312],estuarine water [ENVO:01000301],SRX8928793,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.58 N 71.38 W,S15,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,28.5,N2_B7 S,SRP277143,15.73,1.57,0.46,21.57
SRR12432959,AMPLICON,602,66799124,PRJNA656687,SAMN15795521,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",46397953,UNIVERSITY OF COPENHAGEN,3.9,2017-06-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1 m,8.23,estuarine biome [ENVO:01000020],estuarine coastal upper water column [ENVO:01001312],estuarine water [ENVO:01000301],SRX8928792,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.63 N 71.38 W,S13,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,28.24,N2_B6 S,SRP277143,16,2.49,0.59,21.26
SRR12432960,AMPLICON,602,48152776,PRJNA656687,SAMN15795568,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",32458284,UNIVERSITY OF COPENHAGEN,6.7,2017-08-29,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,5.32,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928791,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.58 N 71.38 W,S54,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,31.18,N7_B7 D,SRP277143,21.31,,,
SRR12432961,AMPLICON,602,114053716,PRJNA656687,SAMN15795567,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",77961352,UNIVERSITY OF COPENHAGEN,7.4,2017-08-29,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,6.73,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928790,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.63 N 71.38 W,S52,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,30.45,N7_B6 D,SRP277143,22.27,,,
SRR12432962,AMPLICON,602,51177224,PRJNA656687,SAMN15795566,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",35667447,UNIVERSITY OF COPENHAGEN,8.5,2017-08-29,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,6.06,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928789,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.67 N 71.42 W,S50,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,30.18,N7_B14 D,SRP277143,22.54,,,
SRR12432963,AMPLICON,602,149351384,PRJNA656687,SAMN15795565,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",96862458,UNIVERSITY OF COPENHAGEN,2.5,2017-08-29,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,4.26,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928788,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.74 N 71.37 W,S48,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,30.84,N7_B4 D,SRP277143,21.09,,,
SRR12432964,AMPLICON,602,60482338,PRJNA656687,SAMN15795520,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",42929083,UNIVERSITY OF COPENHAGEN,11.8,2017-06-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1 m,11.13,estuarine biome [ENVO:01000020],estuarine coastal upper water column [ENVO:01001312],estuarine water [ENVO:01000301],SRX8928787,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.67 N 71.42 W,S11,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,27.22,N2_B14 S,SRP277143,17.72,,,
SRR12432965,AMPLICON,602,29483552,PRJNA656687,SAMN15795564,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",19249339,UNIVERSITY OF COPENHAGEN,3.7,2017-08-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,5.4,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928786,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.58 N 71.38 W,S46,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,30.98,N6_B7 D,SRP277143,20,,,
SRR12432966,AMPLICON,602,31911418,PRJNA656687,SAMN15795563,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",20981906,UNIVERSITY OF COPENHAGEN,3.1,2017-08-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,5.27,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928785,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.63 N 71.38 W,S44,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,30.35,N6_B6 D,SRP277143,20.96,,,
SRR12432967,AMPLICON,602,12781062,PRJNA656687,SAMN15795562,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",8824171,UNIVERSITY OF COPENHAGEN,10.9,2017-08-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,4.58,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928784,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.67 N 71.42 W,S42,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,29.19,N6_B14 D,SRP277143,22.57,,,
SRR12432968,AMPLICON,602,40659080,PRJNA656687,SAMN15795561,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",27636045,UNIVERSITY OF COPENHAGEN,7,2017-08-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,6.25,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928783,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.74 N 71.37 W,S40,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,29.3,N6_B4 D,SRP277143,21.2,,,
SRR12432969,AMPLICON,602,69556284,PRJNA656687,SAMN15795560,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",48353845,UNIVERSITY OF COPENHAGEN,2.4,2017-07-26,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,6.59,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928782,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.58 N 71.38 W,S38,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,29.84,N5_B7 D,SRP277143,0.07,,,
SRR12432970,AMPLICON,602,150133984,PRJNA656687,SAMN15795559,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",100684394,UNIVERSITY OF COPENHAGEN,3.2,2017-07-26,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,5.84,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928781,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.63 N 71.38 W,S36,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,29.09,N5_B6 D,SRP277143,20.71,,,
SRR12432971,AMPLICON,602,21653940,PRJNA656687,SAMN15795558,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",15308922,UNIVERSITY OF COPENHAGEN,5.7,2017-07-26,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,5.39,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928780,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.67 N 71.42 W,S34,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,28.18,N5_B14 D,SRP277143,21.25,,,
SRR12432972,AMPLICON,602,157321262,PRJNA656687,SAMN15795557,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",104428302,UNIVERSITY OF COPENHAGEN,2.3,2017-07-26,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,5.01,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928779,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.74 N 71.37 W,S32,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,29.27,N5_B4 D,SRP277143,20.23,,,
SRR12432973,AMPLICON,602,79954028,PRJNA656687,SAMN15795556,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",56726127,UNIVERSITY OF COPENHAGEN,4.3,2017-07-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,5.96,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928778,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.58 N 71.38 W,S30,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,30.44,N4_B7 D,SRP277143,19.4,,,
SRR12432974,AMPLICON,602,610165528,PRJNA656687,SAMN15795555,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",406589825,UNIVERSITY OF COPENHAGEN,5.3,2017-07-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,5.31,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928777,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.63 N 71.38 W,S28,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,29.2,N4_B6 D,SRP277143,21.77,,,
SRR12432975,AMPLICON,602,445230772,PRJNA656687,SAMN15795519,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",298451982,UNIVERSITY OF COPENHAGEN,20.4,2017-06-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1 m,9.18,estuarine biome [ENVO:01000020],estuarine coastal upper water column [ENVO:01001312],estuarine water [ENVO:01000301],SRX8928776,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.74 N 71.37 W,S9,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,21.54,N2_B4 S,SRP277143,16.57,18.76,1.61,45.09
SRR12432976,AMPLICON,602,53472048,PRJNA656687,SAMN15795554,"MIGS/MIMS/MIMARKS.water,MIMARKS.survey",38224043,UNIVERSITY OF COPENHAGEN,8.9,2017-07-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,5.48,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928775,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.67 N 71.42 W,S26,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,28.27,N4_B14 D,SRP277143,23,,,
