SAMPLEID,coastal.200km
SRR12432956,TRUE
SRR12432957,TRUE
SRR12432958,TRUE
SRR12432959,TRUE
SRR12432960,TRUE
SRR12432961,TRUE
SRR12432962,TRUE
SRR12432963,TRUE
SRR12432964,TRUE
SRR12432965,TRUE
SRR12432966,TRUE
SRR12432967,TRUE
SRR12432968,TRUE
SRR12432969,TRUE
SRR12432970,TRUE
SRR12432971,TRUE
SRR12432972,TRUE
SRR12432973,TRUE
SRR12432974,TRUE
SRR12432975,TRUE
SRR12432976,TRUE
SRR12432977,TRUE
SRR12432978,TRUE
SRR12432979,TRUE
SRR12432980,TRUE
SRR12432981,TRUE
SRR12432982,TRUE
SRR12432983,TRUE
SRR12432984,TRUE
SRR12432985,TRUE
SRR12432986,TRUE
SRR12432987,TRUE
SRR12432988,TRUE
SRR12432989,TRUE
SRR12432990,TRUE
SRR12432991,TRUE
SRR12432992,TRUE
SRR12432993,TRUE
SRR12432994,TRUE
SRR12432995,TRUE
SRR12432996,TRUE
SRR12432997,TRUE
SRR12432998,TRUE
SRR12432999,TRUE
SRR12433000,TRUE
SRR12433001,TRUE
SRR12433002,TRUE
SRR12433003,TRUE
SRR12433004,TRUE
SRR12433005,TRUE
SRR12433006,TRUE
SRR12433007,TRUE
SRR12433008,TRUE
SRR12433009,TRUE
SRR12726924_transcriptomic,TRUE
SRR12726925_transcriptomic,TRUE
SRR12726926_transcriptomic,TRUE
SRR12726927_transcriptomic,TRUE
SRR12726928_transcriptomic,TRUE
SRR12726929_transcriptomic,TRUE
SRR12726930_transcriptomic,TRUE
SRR12726931_transcriptomic,TRUE
SRR12726932_transcriptomic,TRUE
SRR12726933_transcriptomic,TRUE
SRR12726934_transcriptomic,TRUE
SRR12726935_transcriptomic,TRUE
SRR12726936_transcriptomic,TRUE
SRR12726937_transcriptomic,TRUE
SRR12726938_transcriptomic,TRUE
SRR12726939_transcriptomic,TRUE
SRR12726940_transcriptomic,TRUE
SRR12726941_transcriptomic,TRUE
SRR12726942_transcriptomic,TRUE
SRR12726943_transcriptomic,TRUE
SRR12726944_transcriptomic,TRUE
SRR12726945_transcriptomic,TRUE
SRR12726946_transcriptomic,TRUE
SRR12726947_transcriptomic,TRUE
SRR12726948_transcriptomic,TRUE
SRR12726949_transcriptomic,TRUE
SRR12726950_transcriptomic,TRUE
SRR12726951_transcriptomic,TRUE
