Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Depth	env_broad_scale	env_local_scale	env_medium	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	Lat_Lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study
SRR15563446	AMPLICON	602	527216550	PRJNA756869	SAMN20928569	"MIMS.me,MIGS/MIMS/MIMARKS.water"	339420606	UNIVERSITY OF COPENHAGEN	7/16/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	5	marine biome [ENVO:00000447]	tropical marine upwelling biome [ENVO:01000859]	mesotrophic water [ENVO:00002225]	SRX11861621	uncalculated	uncalculated	"Atlantic Ocean: Subtropical Norteast\, Cape Verde Frontal Zone"	Illumina MiSeq	23.00 N 19.31 W	S10	PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	2022-05-30T00:00:00Z	F4.1	SRP333639
SRR15563447	AMPLICON	602	2855286	PRJNA756869	SAMN20928568	"MIMS.me,MIGS/MIMS/MIMARKS.water"	1941986	UNIVERSITY OF COPENHAGEN	7/15/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1500	marine biome [ENVO:00000447]	tropical marine upwelling biome [ENVO:01000859]	mesotrophic water [ENVO:00002225]	SRX11861620	uncalculated	uncalculated	"Atlantic Ocean: Subtropical Norteast\, Cape Verde Frontal Zone"	Illumina MiSeq	22.99 N 18.47 W	S9	PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	2022-05-30T00:00:00Z	F3.6	SRP333639
SRR15563448	AMPLICON	602	303408	PRJNA756869	SAMN20928567	"MIMS.me,MIGS/MIMS/MIMARKS.water"	287802	UNIVERSITY OF COPENHAGEN	7/15/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	750	marine biome [ENVO:00000447]	tropical marine upwelling biome [ENVO:01000859]	mesotrophic water [ENVO:00002225]	SRX11861619	uncalculated	uncalculated	"Atlantic Ocean: Subtropical Norteast\, Cape Verde Frontal Zone"	Illumina MiSeq	22.99 N 18.47 W	S8	PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	2022-05-30T00:00:00Z	F3.5	SRP333639
SRR15563449	AMPLICON	602	195650	PRJNA756869	SAMN20928566	"MIMS.me,MIGS/MIMS/MIMARKS.water"	221589	UNIVERSITY OF COPENHAGEN	7/15/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	300	marine biome [ENVO:00000447]	tropical marine upwelling biome [ENVO:01000859]	mesotrophic water [ENVO:00002225]	SRX11861618	uncalculated	uncalculated	"Atlantic Ocean: Subtropical Norteast\, Cape Verde Frontal Zone"	Illumina MiSeq	22.99 N 18.47 W	S7	PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	2022-05-30T00:00:00Z	F3.4	SRP333639
SRR15563450	AMPLICON	602	55449618	PRJNA756869	SAMN20928616	"MIMS.me,MIGS/MIMS/MIMARKS.water"	38427695	UNIVERSITY OF COPENHAGEN	8/6/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	2200	marine biome [ENVO:00000447]	tropical marine upwelling biome [ENVO:01000859]	mesotrophic water [ENVO:00002225]	SRX11861617	uncalculated	uncalculated	"Atlantic Ocean: Subtropical Norteast\, Cape Verde Frontal Zone"	Illumina MiSeq	20.69 N 18.56 W	S57	PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	2022-05-30T00:00:00Z	F33.7	SRP333639
SRR15563451	AMPLICON	602	1095640	PRJNA756869	SAMN20928615	"MIMS.me,MIGS/MIMS/MIMARKS.water"	840529	UNIVERSITY OF COPENHAGEN	8/6/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1500	marine biome [ENVO:00000447]	tropical marine upwelling biome [ENVO:01000859]	mesotrophic water [ENVO:00002225]	SRX11861616	uncalculated	uncalculated	"Atlantic Ocean: Subtropical Norteast\, Cape Verde Frontal Zone"	Illumina MiSeq	20.69 N 18.56 W	S56	PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	2022-05-30T00:00:00Z	F33.6	SRP333639
SRR15563452	AMPLICON	602	185416	PRJNA756869	SAMN20928614	"MIMS.me,MIGS/MIMS/MIMARKS.water"	215091	UNIVERSITY OF COPENHAGEN	8/6/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	750	marine biome [ENVO:00000447]	tropical marine upwelling biome [ENVO:01000859]	mesotrophic water [ENVO:00002225]	SRX11861615	uncalculated	uncalculated	"Atlantic Ocean: Subtropical Norteast\, Cape Verde Frontal Zone"	Illumina MiSeq	20.69 N 18.56 W	S55	PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	2022-05-30T00:00:00Z	F33.5	SRP333639
SRR15563453	AMPLICON	602	1135372	PRJNA756869	SAMN20928613	"MIMS.me,MIGS/MIMS/MIMARKS.water"	899729	UNIVERSITY OF COPENHAGEN	8/6/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	300	marine biome [ENVO:00000447]	tropical marine upwelling biome [ENVO:01000859]	mesotrophic water [ENVO:00002225]	SRX11861614	uncalculated	uncalculated	"Atlantic Ocean: Subtropical Norteast\, Cape Verde Frontal Zone"	Illumina MiSeq	20.69 N 18.56 W	S54	PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	2022-05-30T00:00:00Z	F33.4	SRP333639
SRR15563454	AMPLICON	602	283542	PRJNA756869	SAMN20928612	"MIMS.me,MIGS/MIMS/MIMARKS.water"	278377	UNIVERSITY OF COPENHAGEN	8/6/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	5	marine biome [ENVO:00000447]	tropical marine upwelling biome [ENVO:01000859]	mesotrophic water [ENVO:00002225]	SRX11861613	uncalculated	uncalculated	"Atlantic Ocean: Subtropical Norteast\, Cape Verde Frontal Zone"	Illumina MiSeq	20.69 N 18.56 W	S53	PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	2022-05-30T00:00:00Z	F33.1	SRP333639
SRR15563455	AMPLICON	602	119153258	PRJNA756869	SAMN20928611	"MIMS.me,MIGS/MIMS/MIMARKS.water"	82678890	UNIVERSITY OF COPENHAGEN	8/4/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	3000	marine biome [ENVO:00000447]	tropical marine upwelling biome [ENVO:01000859]	mesotrophic water [ENVO:00002225]	SRX11861612	uncalculated	uncalculated	"Atlantic Ocean: Subtropical Norteast\, Cape Verde Frontal Zone"	Illumina MiSeq	18.30 N 18.57 W	S52	PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	2022-05-30T00:00:00Z	F30.7	SRP333639
SRR15563456	AMPLICON	602	867215314	PRJNA756869	SAMN20928610	"MIMS.me,MIGS/MIMS/MIMARKS.water"	604005101	UNIVERSITY OF COPENHAGEN	8/4/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	300	marine biome [ENVO:00000447]	tropical marine upwelling biome [ENVO:01000859]	mesotrophic water [ENVO:00002225]	SRX11861611	uncalculated	uncalculated	"Atlantic Ocean: Subtropical Norteast\, Cape Verde Frontal Zone"	Illumina MiSeq	18.30 N 18.57 W	S51	PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	2022-05-30T00:00:00Z	F30.4	SRP333639
SRR15563457	AMPLICON	602	366618	PRJNA756869	SAMN20928565	"MIMS.me,MIGS/MIMS/MIMARKS.water"	334570	UNIVERSITY OF COPENHAGEN	7/15/17	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	80	marine biome [ENVO:00000447]	tropical marine upwelling biome [ENVO:01000859]	mesotrophic water [ENVO:00002225]	SRX11861610	uncalculated	uncalculated	"Atlantic Ocean: Subtropical Norteast\, Cape Verde Frontal Zone"	Illumina MiSeq	22.99 N 18.47 W	S6	PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	2022-05-30T00:00:00Z	F3.3	SRP333639
