Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	Isolation_Source	Lat_Lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ref_biomaterial	rel_to_oxygen	ReleaseDate	samp_collect_device	samp_mat_process	samp_size	SampleName	SRA Study	Depth
SRR19399856	AMPLICON	598	216864985	PRJNA841982	SAMN28636479	Metagenome or environmental	110247319	OLD DOMINION UNIVERSITY	6/8/11	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX15454487	uncalculated	uncalculated	Atlantic Ocean:Southern New Englan Shelf	Illumina MiSeq	30.43 m seawater	40.1499 N 69.9286 W	CV_R19	PAIRED	RT-PCR	TRANSCRIPTOMIC	seawater metagenome	ILLUMINA	Mulholland et al. 2019 GBC	aerobe	2022-05-25T00:00:00Z	Niskin bottles on CTD rosette	nifH amplification	~4 L	CV2011_6_30m	SRP377046	30
SRR19399857	AMPLICON	595	105944982	PRJNA841982	SAMN28636490	Metagenome or environmental	57667987	OLD DOMINION UNIVERSITY	6/3/11	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX15454486	uncalculated	uncalculated	Atlantic Ocean:Southern New Englan Shelf	Illumina MiSeq	32.13 m seawater	40.4755 N 71.7846 W	CV_R18	PAIRED	RT-PCR	TRANSCRIPTOMIC	seawater metagenome	ILLUMINA	Mulholland et al. 2019 GBC	aerobe	2022-05-25T00:00:00Z	Niskin bottles on CTD rosette	nifH amplification	~4 L	CV2011_6_33m	SRP377046	33
SRR19399858	AMPLICON	599	79850398	PRJNA841982	SAMN28636489	Metagenome or environmental	40192313	OLD DOMINION UNIVERSITY	6/3/11	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX15454485	uncalculated	uncalculated	Atlantic Ocean:Southern New Englan Shelf	Illumina MiSeq	18.13 m seawater	40.4755 N 71.7846 W	CV_R17	PAIRED	RT-PCR	TRANSCRIPTOMIC	seawater metagenome	ILLUMINA	Mulholland et al. 2019 GBC	aerobe	2022-05-25T00:00:00Z	Niskin bottles on CTD rosette	nifH amplification	~4 L	CV2011_6_19m	SRP377046	19
SRR19399859	AMPLICON	600	86927809	PRJNA841982	SAMN28636478	Metagenome or environmental	43540346	OLD DOMINION UNIVERSITY	8/18/12	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX15454484	uncalculated	uncalculated	Atlantic Ocean:Southern New Englan Shelf	Illumina MiSeq	22.74 m seawater	42.0191 N 67.6672 W	CV_R15	PAIRED	RT-PCR	TRANSCRIPTOMIC	seawater metagenome	ILLUMINA	Mulholland et al. 2019 GBC	aerobe	2022-05-25T00:00:00Z	Niskin bottles on CTD rosette	nifH amplification	~4 L	CV2012_8_24m	SRP377046	24
SRR19399860	AMPLICON	593	112820736	PRJNA841982	SAMN28636488	Metagenome or environmental	59636978	OLD DOMINION UNIVERSITY	11/16/10	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX15454483	uncalculated	uncalculated	Atlantic Ocean:Southern New Englan Shelf	Illumina MiSeq	34.73 m seawater	41.68 N 65.7746 W	CV_R11	PAIRED	RT-PCR	TRANSCRIPTOMIC	seawater metagenome	ILLUMINA	Mulholland et al. 2019 GBC	aerobe	2022-05-25T00:00:00Z	Niskin bottles on CTD rosette	nifH amplification	~4 L	CV2010_11_36m	SRP377046	36
SRR19399861	AMPLICON	600	50086188	PRJNA841982	SAMN28636477	Metagenome or environmental	30671698	OLD DOMINION UNIVERSITY	5/30/10	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX15454482	uncalculated	uncalculated	Atlantic Ocean:Southern New Englan Shelf	Illumina MiSeq	19.83 m seawater	36.4831 N 75.6318 W	CV_R10	PAIRED	RT-PCR	TRANSCRIPTOMIC	seawater metagenome	ILLUMINA	Mulholland et al. 2019 GBC	aerobe	2022-05-25T00:00:00Z	Niskin bottles on CTD rosette	nifH amplification	~4 L	CV2010_5_21m	SRP377046	21
SRR19399862	AMPLICON	599	111751319	PRJNA841982	SAMN28636487	Metagenome or environmental	56885438	OLD DOMINION UNIVERSITY	5/30/10	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX15454481	uncalculated	uncalculated	Atlantic Ocean:Southern New Englan Shelf	Illumina MiSeq	9.73 m seawater	36.4831 N 75.6318 W	CV_R9	PAIRED	RT-PCR	TRANSCRIPTOMIC	seawater metagenome	ILLUMINA	Mulholland et al. 2019 GBC	aerobe	2022-05-25T00:00:00Z	Niskin bottles on CTD rosette	nifH amplification	~4 L	CV2010_5_11m	SRP377046	11
SRR19399863	AMPLICON	408	113709237	PRJNA841982	SAMN28636484	Metagenome or environmental	64847487	OLD DOMINION UNIVERSITY	11/13/10	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX15454480	uncalculated	uncalculated	Atlantic Ocean:Southern New Englan Shelf	Illumina MiSeq	0 m seawater	40.0255 N 70.146 W	CV_D32	PAIRED	PCR	GENOMIC	seawater metagenome	ILLUMINA	Mulholland et al. 2019 GBC	aerobe	2022-05-25T00:00:00Z	Niskin bottles on CTD rosette	nifH amplification	~4 L	CV2010_11_0m	SRP377046	0
SRR19399864	AMPLICON	368	59612372	PRJNA841982	SAMN28636483	Metagenome or environmental	35128108	OLD DOMINION UNIVERSITY	5/28/10	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX15454479	uncalculated	uncalculated	Atlantic Ocean:Southern New Englan Shelf	Illumina MiSeq	21.43 m seawater	38.4427 N 74.4451 W	CV_D31	PAIRED	PCR	GENOMIC	seawater metagenome	ILLUMINA	Mulholland et al. 2019 GBC	aerobe	2022-05-25T00:00:00Z	Niskin bottles on CTD rosette	nifH amplification	~4 L	CV2010_5_22m	SRP377046	22
SRR19399865	AMPLICON	442	140891167	PRJNA841982	SAMN28636482	Metagenome or environmental	81448307	OLD DOMINION UNIVERSITY	5/28/10	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX15454478	uncalculated	uncalculated	Atlantic Ocean:Southern New Englan Shelf	Illumina MiSeq	2.43 m seawater	38.4427 N 74.4451 W	CV_D29	PAIRED	PCR	GENOMIC	seawater metagenome	ILLUMINA	Mulholland et al. 2019 GBC	aerobe	2022-05-25T00:00:00Z	Niskin bottles on CTD rosette	nifH amplification	~4 L	CV2010_5_3m_A	SRP377046	3
SRR19399866	AMPLICON	593	145072169	PRJNA841982	SAMN28636481	Metagenome or environmental	74148282	OLD DOMINION UNIVERSITY	6/3/11	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX15454477	uncalculated	uncalculated	Atlantic Ocean:Southern New Englan Shelf	Illumina MiSeq	22.53 m seawater	39.7254 N 72.4950 W	CV_D21	PAIRED	PCR	GENOMIC	seawater metagenome	ILLUMINA	Mulholland et al. 2019 GBC	aerobe	2022-05-25T00:00:00Z	Niskin bottles on CTD rosette	nifH amplification	~4 L	CV2011_6_23m	SRP377046	23
