Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR19399879,2022-05-25 13:58:22,2022-05-25 13:55:12,191990,114472735,191990,596,57,,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/018945/SRR19399879,SRX15454464,CV_R24,AMPLICON,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP377046,PRJNA841982,,841982,SRS13176007,SAMN28636492,simple,1561972,seawater metagenome,CV2009_11_20m,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1426331,,public,DBE0700585CB4C8DB6E22AA6646E15EE,36FAB32EFEC4D5B99DBFAF37AED556FD
SRR19399880,2022-05-25 14:25:43,2022-05-25 13:55:06,160238,96286719,160238,600,48,,https://sra-download.ncbi.nlm.nih.gov/traces/sra48/SRR/018945/SRR19399880,SRX15454463,CV_R23,AMPLICON,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP377046,PRJNA841982,,841982,SRS13176006,SAMN28636491,simple,1561972,seawater metagenome,CV2009_11_3m,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1426331,,public,174C960FE2621651228E83C0C81D5718,FFC649B7886E747B53A9680F1E4DA53C
SRR19399876,2022-05-25 13:58:22,2022-05-25 13:55:15,198468,113704971,198468,572,57,,https://sra-download.ncbi.nlm.nih.gov/traces/sra30/SRR/018945/SRR19399876,SRX15454467,CV_R32,AMPLICON,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP377046,PRJNA841982,,841982,SRS13176010,SAMN28636484,simple,1561972,seawater metagenome,CV2010_11_0m,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1426331,,public,92EE5E65E62441FD52490FBB22BCD2F0,F7272D9E468A53CE565C6EE042C413C3
SRR19399863,2022-05-25 13:58:23,2022-05-25 13:55:13,278540,113709237,278540,408,61,,https://sra-download.ncbi.nlm.nih.gov/traces/sra77/SRR/018945/SRR19399863,SRX15454480,CV_D32,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP377046,PRJNA841982,,841982,SRS13176010,SAMN28636484,simple,1561972,seawater metagenome,CV2010_11_0m,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1426331,,public,58A3EA02A0E83BAFD81DECE496C5E502,7A88E039C83D44C4F32A2DFD3DAD64D0
SRR19399860,2022-05-25 13:58:23,2022-05-25 13:55:20,190002,112820736,190002,593,56,,https://sra-download.ncbi.nlm.nih.gov/traces/sra79/SRR/018945/SRR19399860,SRX15454483,CV_R11,AMPLICON,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP377046,PRJNA841982,,841982,SRS13176016,SAMN28636488,simple,1561972,seawater metagenome,CV2010_11_36m,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1426331,,public,19B042F30508A26E202F13E16503F49E,886CE4C265AA6C83049A0ACC9609F1F6
SRR19399874,2022-05-25 13:58:22,2022-05-25 13:55:00,143629,62970740,143629,438,35,,https://sra-download.ncbi.nlm.nih.gov/traces/sra45/SRR/018945/SRR19399874,SRX15454469,CV_D7,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP377046,PRJNA841982,,841982,SRS13176003,SAMN28636485,simple,1561972,seawater metagenome,CV2010_2_3m,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1426331,,public,3A05F6EAFB49CE7AD98CDD8992708909,AAFB8F50DD5C79526A73B6DC34C2AD93
SRR19399883,2022-05-25 13:58:22,2022-05-25 13:55:05,131306,72611508,131306,552,38,,https://sra-download.ncbi.nlm.nih.gov/traces/sra34/SRR/018945/SRR19399883,SRX15454460,CV_R7,AMPLICON,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP377046,PRJNA841982,,841982,SRS13176003,SAMN28636485,simple,1561972,seawater metagenome,CV2010_2_3m,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1426331,,public,596BF64EF7D2E34C0B42FE10A74D794B,A39AB188B32DA139D879C773D0E4E284
SRR19399862,2022-05-25 13:58:23,2022-05-25 13:55:15,186398,111751319,186398,599,54,,https://sra-download.ncbi.nlm.nih.gov/traces/sra40/SRR/018945/SRR19399862,SRX15454481,CV_R9,AMPLICON,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP377046,PRJNA841982,,841982,SRS13176012,SAMN28636487,simple,1561972,seawater metagenome,CV2010_5_11m,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1426331,,public,9FCB921C6D3FA5079C43A103259C4165,A95712C07056403BF2D7AD67A0D25510
SRR19399871,2022-05-25 13:58:22,2022-05-25 13:55:12,289723,119672473,289723,413,70,,https://sra-download.ncbi.nlm.nih.gov/traces/sra60/SRR/018945/SRR19399871,SRX15454472,CV_D9,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP377046,PRJNA841982,,841982,SRS13176012,SAMN28636487,simple,1561972,seawater metagenome,CV2010_5_11m,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1426331,,public,8403290D952494B20D22B0C688AC4371,B45DC53784FFEAE55ADB35EDBAE73CB3
SRR19399870,2022-05-25 13:58:22,2022-05-25 13:54:39,216,123744,216,572,0,,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/018945/SRR19399870,SRX15454473,CV_D10,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP377046,PRJNA841982,,841982,SRS13176013,SAMN28636477,simple,1561972,seawater metagenome,CV2010_5_21m,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1426331,,public,357E67E9475760897B09357C5AAD4F1C,47163373503E55635D9AB77BE211703D
