"SampleID","SRA.Study","BioProject","BioSample","LibrarySource","userID","NewID","Collection_Date","Time","Station","Cast","Niskin","Bottle","Depth","Latitude","Longitude","Volume..ml.","Size_fraction","Start.filter","End.filter","Category1","Region"
"Turk001-60663","NEMO","PRJNA1062391","SAMN39296932","METAGENOMIC",60663,"Turk001.60663","8/19/14","6:40:00",2,1,"23",3,5,33.118,-120.064,1000,"20","8:00:00","8:10:00","Transect Zehr NEMO","Transect"
"Turk010-60665","NEMO","PRJNA1062391","SAMN39296933","METAGENOMIC",60665,"Turk010.60665","8/19/14","6:40:00",2,1,"20",6,25,33.118,-120.064,1000,"20","8:00:00","8:10:00","Transect Zehr NEMO","Transect"
"Turk019-60667","NEMO","PRJNA1062391","SAMN39296934","METAGENOMIC",60667,"Turk019.60667","8/19/14","6:40:00",2,1,"17",9,48,33.118,-120.064,1500,"20","8:00:00","8:10:00","Transect Zehr NEMO","Transect"
"Turk028-60690","NEMO","PRJNA1062391","SAMN39296935","METAGENOMIC",60690,"Turk028.60690","8/19/14","21:00:00",3,1,"20",6,25,33.68,-122.525,1000,"0.22",NA,NA,"Transect Zehr NEMO","Transect"
"Turk037-60692","NEMO","PRJNA1062391","SAMN39296936","METAGENOMIC",60692,"Turk037.60692","8/19/14","21:00:00",3,1,"17",9,48,33.68,-122.525,1500,"0.22",NA,NA,"Transect Zehr NEMO","Transect"
"Turk045-64121","NEMO","PRJNA1062391","SAMN39296937","METAGENOMIC",64121,"Turk045.64121","8/20/14","21:00:00",5,1,"20/21",22,25,34.3993,-125.7,4000,"Sterivex","22:40:00","23:01:00","Transect MA NEMO","CCS eddies"
"Turk053-64125","NEMO","PRJNA1062391","SAMN39296938","METAGENOMIC",64125,"Turk053.64125","8/20/14","21:00:00",5,1,"13/14",26,75,34.3993,-125.7,4000,"Sterivex","22:40:00","23:20:00","Transect MA NEMO","CCS eddies"
"Turk061-64126","NEMO","PRJNA1062391","SAMN39296939","METAGENOMIC",64126,"Turk061.64126","8/20/14","21:00:00",5,1,"13/14",27,75,34.3993,-125.7,4000,"Sterivex","22:40:00","23:03:00","Transect MA NEMO","CCS eddies"
"Turk002-60836","NEMO","PRJNA1062391","SAMN39296940","METAGENOMIC",60836,"Turk002.60836","8/22/14","6:30:00",20,1,"15 and 16",20,25,34.9088,-127.259,2000,"0.2","7:50:00","8:40:00","Transect Zehr NEMO","CCS eddies"
"Turk011-60838","NEMO","PRJNA1062391","SAMN39296941","METAGENOMIC",60838,"Turk011.60838","8/22/14","6:30:00",20,1,"15 and 16",20,25,34.9088,-127.259,2000,"0.2","7:50:00","8:40:00","Transect Zehr NEMO","CCS eddies"
