Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,salinity,Sample Name,SRA Study,temperature,oxygen
SRR10759561,WGA,484,29223824,PRJNA385736,SAMN13671191,Metagenome or environmental,18332115,CSIRO,2016-05-31,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433896,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,38.6346 S 171.8062 W,102.100.100/34422,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.3,34422_nifH,SRP114822,16.774,
SRR10759569,WGA,493,74237362,PRJNA385736,SAMN13671184,Metagenome or environmental,46692690,CSIRO,2016-05-29,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433888,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,41.7277 S 173.9514 W,102.100.100/34415,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.1533,34415_nifH,SRP114822,15.565,
SRR10759574,WGA,433,25639949,PRJNA385736,SAMN13671179,Metagenome or environmental,16654055,CSIRO,2016-05-23,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433883,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,44.15345 S 173.9402 W,102.100.100/34410,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.9,34410_nifH,SRP114822,13.3675,
SRR10759575,WGA,498,51169197,PRJNA385736,SAMN13671178,Metagenome or environmental,28728359,CSIRO,2016-05-23,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433882,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,44.3277 S 173.7481 W,102.100.100/34409,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.8,34409_nifH,SRP114822,12.373,
SRR10759652,WGA,499,66056310,PRJNA385736,SAMN13671213,Metagenome or environmental,34429745,CSIRO,2016-06-08,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7433805,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,27.266 S 169.9974 W,102.100.100/34444,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.6,34444_nifH,SRP114822,22.051,
SRR10759546,WGA,498,63124373,PRJNA385736,SAMN13671205,Metagenome or environmental,33013719,CSIRO,2016-06-04,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7433911,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,32.0013 S 169.9936 W,102.100.100/34436,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.857,34436_nifH,SRP114822,20.894,221.8
SRR10759547,WGA,477,31916979,PRJNA385736,SAMN13671204,Metagenome or environmental,17304561,CSIRO,2016-06-04,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433910,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,32.4948 S 169.9904 W,102.100.100/34435,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.815,34435_nifH,SRP114822,20.016,225.4
SRR10759548,WGA,482,53699756,PRJNA385736,SAMN13671203,Metagenome or environmental,29210986,CSIRO,2016-06-03,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433909,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,32.9951 S 170.0026 W,102.100.100/34434,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.8066,34434_nifH,SRP114822,19.872,226.2
SRR10759549,WGA,453,25458445,PRJNA385736,SAMN13671202,Metagenome or environmental,16389859,CSIRO,2016-06-03,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7433908,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,33.5016 S 170.0018 W,102.100.100/34433,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.7313,34433_nifH,SRP114822,19.252,227.6
SRR10759550,WGA,479,36563699,PRJNA385736,SAMN13671201,Metagenome or environmental,20473860,CSIRO,2016-06-03,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7433907,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,33.9843 S 169.9947 W,102.100.100/34432,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.7083,34432_nifH,SRP114822,19.156,228.2
