Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
DRR256248,2021-04-02 15:43:46,2021-04-17 21:35:48,65729,39568858,65729,602,21,,https://sra-download.ncbi.nlm.nih.gov/traces/dra1/DRR/000250/DRR256248,DRX245966,,AMPLICON,PCR,METAGENOMIC,PAIRED,360,0,ILLUMINA,Illumina MiSeq,DRP007115,PRJDB10819,,719502,DRS178066,SAMD00259623,simple,408172,marine metagenome,SAMD00259623,,,,,,,no,,,,,UT-AQUA,DRA011126,,public,394FEF8C7F627125656F6D73AADDCC67,4CE72C5449DAB8099557AABDB288B280
DRR256249,2021-04-02 15:43:46,2021-04-02 16:18:38,87599,52734598,87599,602,29,,https://sra-download.ncbi.nlm.nih.gov/traces/dra0/DRR/000250/DRR256249,DRX245967,,AMPLICON,PCR,METAGENOMIC,PAIRED,360,0,ILLUMINA,Illumina MiSeq,DRP007115,PRJDB10819,,719502,DRS178067,SAMD00259624,simple,408172,marine metagenome,SAMD00259624,,,,,,,no,,,,,UT-AQUA,DRA011126,,public,B7F9FFC97D474BF295A7E122F76AEDF2,C5DFCDBEDB7F209527112573FF7D17AF
DRR256250,2021-04-02 15:43:46,2021-04-02 18:57:04,127247,76602694,127247,602,41,,https://sra-download.ncbi.nlm.nih.gov/traces/dra0/DRR/000250/DRR256250,DRX245968,,AMPLICON,PCR,METAGENOMIC,PAIRED,360,0,ILLUMINA,Illumina MiSeq,DRP007115,PRJDB10819,,719502,DRS178068,SAMD00259625,simple,408172,marine metagenome,SAMD00259625,,,,,,,no,,,,,UT-AQUA,DRA011126,,public,F29905B490FF65DEA608E301FFCC1CC9,236920A79A2C7DEC8B0FB0D50C2FF7DD
DRR256251,2021-04-02 15:43:46,2021-04-17 21:34:06,97273,58558346,97273,602,31,,https://sra-download.ncbi.nlm.nih.gov/traces/dra1/DRR/000250/DRR256251,DRX245969,,AMPLICON,PCR,METAGENOMIC,PAIRED,360,0,ILLUMINA,Illumina MiSeq,DRP007115,PRJDB10819,,719502,DRS178069,SAMD00259626,simple,408172,marine metagenome,SAMD00259626,,,,,,,no,,,,,UT-AQUA,DRA011126,,public,5E51058AD2D711D988B1A1A507BFAB67,E5C5A70711CD828867AC24A16A9FF056
DRR256252,2021-04-02 15:31:49,2021-04-18 21:33:37,76166,45851932,76166,602,25,,https://sra-download.ncbi.nlm.nih.gov/traces/dra0/DRR/000250/DRR256252,DRX245970,,AMPLICON,PCR,METAGENOMIC,PAIRED,360,0,ILLUMINA,Illumina MiSeq,DRP007115,PRJDB10819,,719502,DRS178070,SAMD00259627,simple,408172,marine metagenome,SAMD00259627,,,,,,,no,,,,,UT-AQUA,DRA011126,,public,9C41210CCAE294740176335DA3DF3D7E,2FE84336D82DE6D0ADF6890ECB75456B
DRR256253,2021-04-02 15:43:46,2021-04-02 18:56:48,40026,24095652,40026,602,13,,https://sra-download.ncbi.nlm.nih.gov/traces/dra0/DRR/000250/DRR256253,DRX245971,,AMPLICON,PCR,METAGENOMIC,PAIRED,360,0,ILLUMINA,Illumina MiSeq,DRP007115,PRJDB10819,,719502,DRS178071,SAMD00259628,simple,408172,marine metagenome,SAMD00259628,,,,,,,no,,,,,UT-AQUA,DRA011126,,public,2166F68EED48AC6116010B50525D011C,91C1D7AA4C83DE16D5E4EA6E02220B34
DRR256254,2021-04-02 15:43:46,2021-04-17 21:37:36,111887,67355974,111887,602,38,,https://sra-download.ncbi.nlm.nih.gov/traces/dra1/DRR/000250/DRR256254,DRX245972,,AMPLICON,PCR,METAGENOMIC,PAIRED,360,0,ILLUMINA,Illumina MiSeq,DRP007115,PRJDB10819,,719502,DRS178072,SAMD00259629,simple,408172,marine metagenome,SAMD00259629,,,,,,,no,,,,,UT-AQUA,DRA011126,,public,C8EF9E7665F2FF51ADA527CD2494ABD1,B61129B2399E713576BC8558F9F07EA0
DRR256255,2021-04-02 15:43:46,2021-04-17 21:34:40,65187,39242574,65187,602,21,,https://sra-download.ncbi.nlm.nih.gov/traces/dra1/DRR/000250/DRR256255,DRX245973,,AMPLICON,PCR,METAGENOMIC,PAIRED,360,0,ILLUMINA,Illumina MiSeq,DRP007115,PRJDB10819,,719502,DRS178073,SAMD00259630,simple,408172,marine metagenome,SAMD00259630,,,,,,,no,,,,,UT-AQUA,DRA011126,,public,D4D86EBD16713933F5AD909FFF6425C5,02EBBC44ABE60A573FC7A40A6CFE9CA5
DRR256256,2021-04-02 15:43:46,2021-04-02 16:20:38,82118,49435036,82118,602,27,,https://sra-download.ncbi.nlm.nih.gov/traces/dra0/DRR/000250/DRR256256,DRX245974,,AMPLICON,PCR,METAGENOMIC,PAIRED,360,0,ILLUMINA,Illumina MiSeq,DRP007115,PRJDB10819,,719502,DRS178074,SAMD00259631,simple,408172,marine metagenome,SAMD00259631,,,,,,,no,,,,,UT-AQUA,DRA011126,,public,8FA1E10864E9F5FF77A1B820F6FC2185,03496FFFE2FA1C3A1619971050E76049
DRR256257,2021-04-02 15:43:46,2021-04-02 16:19:40,24282,14617764,24282,602,8,,https://sra-download.ncbi.nlm.nih.gov/traces/dra0/DRR/000250/DRR256257,DRX245975,,AMPLICON,PCR,METAGENOMIC,PAIRED,360,0,ILLUMINA,Illumina MiSeq,DRP007115,PRJDB10819,,719502,DRS178075,SAMD00259632,simple,408172,marine metagenome,SAMD00259632,,,,,,,no,,,,,UT-AQUA,DRA011126,,public,F9CCABD4CB3ECC5D7BD7699A42EFB40B,9D0F8ED343BD8C16FE194FF0E248AD23
