Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Depth	env_biome	env_feature	env_material	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	project_name	ReleaseDate	Sample_Name	Sample_Name_2	SRA Study
DRR256248	AMPLICON	602	39568858	PRJDB10819	SAMD00259623	MIMS.me.water	23033174	UT-AQUA	6/5/18	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	ocean biome	marine pelagic feature	particulate matter	DRX245966	Japan	Asia	"Japan:Hokkaido\, Sea of Japan"	Illumina MiSeq	41.5 N 139.82 E		PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	nifH diversity in the Sea of Japan and Sea of Okhotsk	2021-04-02T00:00:00Z	SAMD00259623	HK1805_StJ1_0m	DRP007115
DRR256249	AMPLICON	602	52734598	PRJDB10819	SAMD00259624	MIMS.me.water	31225538	UT-AQUA	6/5/18	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	ocean biome	marine pelagic feature	particulate matter	DRX245967	Japan	Asia	"Japan:Hokkaido\, Sea of Japan"	Illumina MiSeq	42.51 N 139.7 E		PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	nifH diversity in the Sea of Japan and Sea of Okhotsk	2021-04-02T00:00:00Z	SAMD00259624	HK1805_StJ2_0m	DRP007115
DRR256250	AMPLICON	602	76602694	PRJDB10819	SAMD00259625	MIMS.me.water	43977997	UT-AQUA	5/31/18	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	ocean biome	marine pelagic feature	particulate matter	DRX245968	Japan	Asia	"Japan:Hokkaido\, Sea of Japan"	Illumina MiSeq	43.5 N 140.33 E		PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	nifH diversity in the Sea of Japan and Sea of Okhotsk	2021-04-02T00:00:00Z	SAMD00259625	HK1805_StJ3_0m	DRP007115
DRR256251	AMPLICON	602	58558346	PRJDB10819	SAMD00259626	MIMS.me.water	33292273	UT-AQUA	6/1/18	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	ocean biome	marine pelagic feature	particulate matter	DRX245969	Japan	Asia	"Japan:Hokkaido\, Sea of Japan"	Illumina MiSeq	44.5 N 141.5 E		PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	nifH diversity in the Sea of Japan and Sea of Okhotsk	2021-04-02T00:00:00Z	SAMD00259626	HK1805_StJ4_0m	DRP007115
DRR256252	AMPLICON	602	45851932	PRJDB10819	SAMD00259627	MIMS.me.water	27149584	UT-AQUA	6/1/18	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	ocean biome	marine pelagic feature	particulate matter	DRX245970	Japan	Asia	"Japan:Hokkaido\, Sea of Japan"	Illumina MiSeq	45.5 N 141.42 E		PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	nifH diversity in the Sea of Japan and Sea of Okhotsk	2021-04-02T00:00:00Z	SAMD00259627	HK1805_StJ5_0m	DRP007115
DRR256253	AMPLICON	602	24095652	PRJDB10819	SAMD00259628	MIMS.me.water	13660180	UT-AQUA	6/1/18	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	ocean biome	marine pelagic feature	particulate matter	DRX245971	Japan	Asia	"Japan:Hokkaido\, Sea of Japan"	Illumina MiSeq	45.54 N 142.08 E		PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	nifH diversity in the Sea of Japan and Sea of Okhotsk	2021-04-02T00:00:00Z	SAMD00259628	HK1805_StJ6_0m	DRP007115
DRR256254	AMPLICON	602	67355974	PRJDB10819	SAMD00259629	MIMS.me.water	40424896	UT-AQUA	6/4/18	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	ocean biome	marine pelagic feature	particulate matter	DRX245972	Japan	Asia	"Japan:Hokkaido\, Sea of Okhotsk"	Illumina MiSeq	45.5 N 142.5 E		PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	nifH diversity in the Sea of Japan and Sea of Okhotsk	2021-04-02T00:00:00Z	SAMD00259629	HK1805_StO1_0m	DRP007115
DRR256255	AMPLICON	602	39242574	PRJDB10819	SAMD00259630	MIMS.me.water	22903421	UT-AQUA	6/4/18	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	ocean biome	marine pelagic feature	particulate matter	DRX245973	Japan	Asia	"Japan:Hokkaido\, Sea of Okhotsk"	Illumina MiSeq	45.32 N 142.68 E		PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	nifH diversity in the Sea of Japan and Sea of Okhotsk	2021-04-02T00:00:00Z	SAMD00259630	HK1805_StO2_0m	DRP007115
DRR256256	AMPLICON	602	49435036	PRJDB10819	SAMD00259631	MIMS.me.water	29033510	UT-AQUA	6/4/18	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	ocean biome	marine pelagic feature	particulate matter	DRX245974	Japan	Asia	"Japan:Hokkaido\, Sea of Okhotsk"	Illumina MiSeq	45.17 N 143.17 E		PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	nifH diversity in the Sea of Japan and Sea of Okhotsk	2021-04-02T00:00:00Z	SAMD00259631	HK1805_StO3_0m	DRP007115
DRR256257	AMPLICON	602	14617764	PRJDB10819	SAMD00259632	MIMS.me.water	8805343	UT-AQUA	6/4/18	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	ocean biome	marine pelagic feature	particulate matter	DRX245975	Japan	Asia	"Japan:Hokkaido\, Sea of Okhotsk"	Illumina MiSeq	44.88 N 142.89 E		PAIRED	PCR	METAGENOMIC	marine metagenome	ILLUMINA	nifH diversity in the Sea of Japan and Sea of Okhotsk	2021-04-02T00:00:00Z	SAMD00259632	HK1805_StO4_0m	DRP007115
