Station,Longitude,Latitude,Ldepth,Depth,Temperature,Salinity,Nitrogen fixation [nmol N L-1 d-1],Nitrate [nmol L-1],Phosphate [nmol L-1],Nitrate/Phosphate ratio,GammaP [log10(copies/L)],Trichodesmium [log10(copies/L)],RR [log10(copies/L)],HR [log10(copies/L)],UCYN-B [log10(copies/L)],UCYN-A [log10(copies/L)],UCYN-A2 [log10(copies/L)],UCYN-C [log10(copies/L)]
01,190,0,100%,0,28.1,35.4,n.d.,4100,452,9.06,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
01,190,0,25%,22,28.3,35.41,n.d.,4110,455,9.03,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
01,190,0,10%,37,28.2,35.42,n.d.,4380,480,9.13,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
01,190,0,1%,70,27.3,35.41,n.d.,6910,624,11.07,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
01,190,0,0.10%,104,23.8,35.54,n.d.,10200,820,12.4,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
02,190,5,100%,0,28.6,34.23,0.36,<3,138,0.02,3.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
02,190,5,25%,16,29.3,34.23,0.44,<3,138,0.02,3.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
02,190,5,10%,37,29.3,34.27,0.39,<3,139,0.02,2.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
02,190,5,1%,94,29.3,34.57,0.15,31,173,0.18,3.1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
02,190,5,0.10%,153,17.6,34.73,0.14,13900,1070,13.07,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
03,190,10,100%,0,28.2,34.74,0.95,<3,174,0.02,2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
03,190,10,25%,24,28.4,34.75,0.33,<3,175,0.02,2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
03,190,10,10%,47,28.4,34.75,0.42,<3,174,0.02,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
03,190,10,1%,103,23.6,34.73,n.d.,821,344,2.39,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
03,190,10,0.10%,140,14,34.46,n.d.,19900,1550,12.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
04,190,15,100%,0,27,34.99,3.05,<3,138,0.02,4.9,2.6,2.1,2.2,4.9,4.6,2.8,n.d.
04,190,15,25%,19,27.5,34.99,4.02,<3,140,0.02,4.8,2.4,2.6,2.2,5.1,4.7,2.9,n.d.
