SAMPLEID,coastal.200km
DRR075661,FALSE
DRR075663_transcriptomic,FALSE
DRR075662,FALSE
DRR075665_transcriptomic,FALSE
DRR075664,FALSE
DRR075666_transcriptomic,FALSE
DRR075668_transcriptomic,FALSE
DRR075667,FALSE
DRR075669_transcriptomic,FALSE
DRR075671_transcriptomic,FALSE
DRR075670,FALSE
DRR075672_transcriptomic,FALSE
DRR075674_transcriptomic,FALSE
DRR075673,FALSE
DRR075675_transcriptomic,FALSE
DRR075655_transcriptomic,FALSE
DRR075654,FALSE
DRR075656_transcriptomic,FALSE
DRR075658_transcriptomic,FALSE
DRR075659_transcriptomic,FALSE
DRR075660_transcriptomic,TRUE
DRR075657,FALSE
