Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
DRR205311,2020-11-10 16:37:47,2020-11-10 16:36:17,1136988,684466776,1136988,602,439,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/DRR205311/DRR205311.1,DRX195710,nifH gene at StaT,AMPLICON,PCR,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina MiSeq,DRP006696,PRJDB9222,,676048,DRS163012,SAMD00200999,simple,408172,marine metagenome,SAMD00200999,,,,,,,no,,,,,JAMSTEC,DRA009504,,public,30F108CFF169D272EE4BB3ABC24F5D70,FA52456BAA1D6B1CFE3EE637625EB1C2
DRR205312,2020-11-10 16:37:47,2020-11-10 16:36:20,535886,322603372,535886,602,199,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/DRR205312/DRR205312.1,DRX195711,nifH gene at StaN,AMPLICON,PCR,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina MiSeq,DRP006696,PRJDB9222,,676048,DRS163013,SAMD00201000,simple,408172,marine metagenome,SAMD00201000,,,,,,,no,,,,,JAMSTEC,DRA009504,,public,73AF170C99C8538F2F66681E3D63E3C2,8BC1DAAE1154845B8DEDB41AF3D51EF2
DRR205313,2020-11-10 16:37:47,2020-11-10 16:36:40,244409,147134218,244409,602,93,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/DRR205313/DRR205313.1,DRX195712,nifH gene at StaA,AMPLICON,PCR,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina MiSeq,DRP006696,PRJDB9222,,676048,DRS163014,SAMD00201001,simple,408172,marine metagenome,SAMD00201001,,,,,,,no,,,,,JAMSTEC,DRA009504,,public,4E7F49361D527369F3FB82F62790FCC4,892E7533143AD9993D31F4B43245D746
DRR205314,2020-11-10 16:37:47,2020-11-10 16:36:45,601991,362398582,601991,602,229,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/DRR205314/DRR205314.1,DRX195713,nifH gene at StaB,AMPLICON,PCR,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina MiSeq,DRP006696,PRJDB9222,,676048,DRS163015,SAMD00201002,simple,408172,marine metagenome,SAMD00201002,,,,,,,no,,,,,JAMSTEC,DRA009504,,public,C5A868807D17645C7442CE346806D590,90E6753F37FE44B6701BCB0BCAF4DF53
DRR205315,2020-11-10 16:37:47,2020-11-10 16:36:12,86354,51985108,86354,602,35,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/DRR205315/DRR205315.1,DRX195714,nifH gene expression at StaB,AMPLICON,RT-PCR,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina MiSeq,DRP006696,PRJDB9222,,676048,DRS163016,SAMD00201003,simple,408172,marine metagenome,SAMD00201003,,,,,,,no,,,,,JAMSTEC,DRA009504,,public,97C842275F7A1EDFBD64E6D43C8E5186,EACE21FD9A1026DEBF236F149F7709C2
DRR205316,2020-11-10 16:37:47,2020-11-10 16:36:25,254263,153066326,254263,602,95,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/DRR205316/DRR205316.1,DRX195715,nifH gene at StaC,AMPLICON,PCR,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina MiSeq,DRP006696,PRJDB9222,,676048,DRS163017,SAMD00201004,simple,408172,marine metagenome,SAMD00201004,,,,,,,no,,,,,JAMSTEC,DRA009504,,public,081482AF8A2A08D66A742EFEE542DA19,E1CF054D2E84A3C1EA2E2454D878B788
DRR205317,2020-11-10 16:37:47,2020-11-10 16:36:24,54251,32659102,54251,602,21,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/DRR205317/DRR205317.1,DRX195716,nifH gene at StaD,AMPLICON,PCR,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina MiSeq,DRP006696,PRJDB9222,,676048,DRS163018,SAMD00201005,simple,408172,marine metagenome,SAMD00201005,,,,,,,no,,,,,JAMSTEC,DRA009504,,public,5443AC511F42104E03F8F5A162159895,26388E6D16CFC99C668DB01D122AF4C8
DRR205318,2020-11-10 16:37:47,2020-11-10 16:36:20,206006,124015612,206006,602,82,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/DRR205318/DRR205318.1,DRX195717,nifH gene at StaE,AMPLICON,PCR,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina MiSeq,DRP006696,PRJDB9222,,676048,DRS163019,SAMD00201006,simple,408172,marine metagenome,SAMD00201006,,,,,,,no,,,,,JAMSTEC,DRA009504,,public,A2CD7DF17D1B72626DF76904CCDD8641,B21C7107D9E02AF099EA41946AFAD62A
DRR205319,2020-11-10 16:37:47,2020-11-10 16:36:36,83358,50181516,83358,602,34,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/DRR205319/DRR205319.1,DRX195718,nifH gene expression at StaE,AMPLICON,RT-PCR,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina MiSeq,DRP006696,PRJDB9222,,676048,DRS163020,SAMD00201007,simple,408172,marine metagenome,SAMD00201007,,,,,,,no,,,,,JAMSTEC,DRA009504,,public,44152124BF975328C768B1934CAF48FB,74D2EF612548995C61FBCDBDE200805A
DRR205320,2020-11-10 16:37:47,2020-11-10 16:36:35,68966,41517532,68966,602,27,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/DRR205320/DRR205320.1,DRX195719,nifH gene at StaBP,AMPLICON,PCR,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina MiSeq,DRP006696,PRJDB9222,,676048,DRS163021,SAMD00201008,simple,408172,marine metagenome,SAMD00201008,,,,,,,no,,,,,JAMSTEC,DRA009504,,public,FF34DA43A82F73D3AE99577513146207,210CB2D5799CAB74F6D4E80CBE985A29
