Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	Isolation_source	Collection_Month	Collection_Date	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	source_material_ID	SRA Study	Depth
SRR13612899	AMPLICON	600	26634316	PRJNA695866	SAMN17621106	Metagenome or environmental	15451604	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006216	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.5.17	28.29 N 115.91 W	67695	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn14.200m	67695	SRP304319	200
SRR13612900	AMPLICON	600	21406201	PRJNA695866	SAMN17621105	Metagenome or environmental	13405629	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006215	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.5.17	28.29 N 115.91 W	67697	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn14.150m	67697	SRP304319	150
SRR13612901	AMPLICON	600	21620544	PRJNA695866	SAMN17621104	Metagenome or environmental	12691025	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006214	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.5.17	28.29 N 115.91 W	67699	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn14.100m	67699	SRP304319	100
SRR13612902	AMPLICON	600	20445764	PRJNA695866	SAMN17621103	Metagenome or environmental	12601063	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006213	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.5.17	28.29 N 115.91 W	67701	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn14.50m	67701	SRP304319	50
SRR13612903	AMPLICON	600	25553219	PRJNA695866	SAMN17621102	Metagenome or environmental	15180461	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006212	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.5.17	28.29 N 115.91 W	67703	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn14.30m	67703	SRP304319	30
SRR13612904	AMPLICON	600	24637024	PRJNA695866	SAMN17621101	Metagenome or environmental	15603270	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006211	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.5.17	28.29 N 115.91 W	67705	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn14.25m	67705	SRP304319	25
SRR13612905	AMPLICON	600	30178047	PRJNA695866	SAMN17621100	Metagenome or environmental	16474988	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006210	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.5.17	28.29 N 115.91 W	67707	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn14.10m	67707	SRP304319	10
SRR13612906	AMPLICON	600	37713891	PRJNA695866	SAMN17621099	Metagenome or environmental	20422942	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006209	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.5.17	28.29 N 115.91 W	67709	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn14.2m	67709	SRP304319	2
SRR13612907	AMPLICON	600	43665389	PRJNA695866	SAMN17621098	Metagenome or environmental	25230882	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006208	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.6.17	30.36 N 116.36 W	67743	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn7.200m	67743	SRP304319	200
SRR13612909	AMPLICON	600	36957755	PRJNA695866	SAMN17621097	Metagenome or environmental	20943550	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006206	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.6.17	30.36 N 116.36 W	67745	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn7.150m	67745	SRP304319	150
