SAMPLEID,coastal.200km
SRR13612837,TRUE
SRR13612838,TRUE
SRR13612840,TRUE
SRR13612903,TRUE
SRR13612904,TRUE
SRR13612905,TRUE
SRR13612906,TRUE
SRR13612846,TRUE
SRR13612847,TRUE
SRR13612848,TRUE
SRR13612789,TRUE
SRR13612790,TRUE
SRR13612791,TRUE
SRR13612798,TRUE
SRR13612799,TRUE
SRR13612800,TRUE
SRR13612804,TRUE
SRR13612805,TRUE
SRR13612806,TRUE
SRR13612812,TRUE
SRR13612813,TRUE
SRR13612814,TRUE
SRR13612912,TRUE
SRR13612913,TRUE
SRR13612914,TRUE
SRR13612915,TRUE
SRR13612858,FALSE
SRR13612859,FALSE
SRR13612861,FALSE
SRR13612850,TRUE
SRR13612851,TRUE
SRR13612852,TRUE
SRR13612853,TRUE
SRR13612865,TRUE
SRR13612866,TRUE
SRR13612867,TRUE
SRR13612873,TRUE
SRR13612874,TRUE
SRR13612875,TRUE
SRR13612876,TRUE
SRR13612797,TRUE
SRR13612808,TRUE
SRR13612849,TRUE
SRR13612860,TRUE
SRR13612885,TRUE
SRR13612887,TRUE
SRR13612888,TRUE
SRR13612889,TRUE
SRR13612883,TRUE
SRR13612884,TRUE
SRR13612895,TRUE
SRR13612896,TRUE
SRR13612898,TRUE
SRR13612821,TRUE
SRR13612822,TRUE
SRR13612823,TRUE
SRR13612830,TRUE
SRR13612831,TRUE
SRR13612832,TRUE
