"SAMPLEID","StudyID","lat","lon","time","depth","FIXME.Depth"
"71502","AK2HI",55.00038506,-147.2142977,"2017-09-06T20:00:00","5",FALSE
"71503","AK2HI",54.99993285,-147.2168063,"2017-09-08T20:00:00","5",FALSE
"71504","AK2HI",49.94245731,-145.0059761,"2017-09-11T22:00:00","5",FALSE
"71505","AK2HI",46.81508121,-154.6480713,"2017-09-13T22:00:00","5",FALSE
"71506","AK2HI",43.37317328,-157.9999059,"2017-09-16T23:00:00","5",FALSE
"71507","AK2HI",42.00974172,-157.98601,"2017-09-17T23:00:00","5",FALSE
"71508","AK2HI",36.66951015,-157.9981521,"2017-09-19T23:00:00","5",FALSE
"71509","AK2HI",33.99973946,-157.9998724,"2017-09-20T23:00:00","5",FALSE
"71510","AK2HI",33.99748778,-157.9733386,"2017-09-21T23:00:00","5",FALSE
"71511","AK2HI",33.99748778,-157.9733386,"2017-09-21T23:00:00","5",FALSE
"71512","AK2HI",26.54386803,-159.5584971,"2017-09-24T22:00:00","5",FALSE
"71513","AK2HI",24.16368864,-160.2564597,"2017-09-24T22:00:00","5",FALSE
"71514","AK2HI",54.99972125,-147.2165644,"2017-09-07T20:00:00","5",FALSE
"71515","AK2HI",52.16945547,-145.9423167,"2017-09-08T22:00:00","5",FALSE
"71516","AK2HI",52.16945547,-145.9423167,"2017-09-08T22:00:00","5",FALSE
"71517","AK2HI",50.42323537,-145.2684849,"2017-09-09T22:00:00","5",FALSE
"71518","AK2HI",49.99270809,-145.0026642,"2017-09-09T22:00:00","5",FALSE
"71519","AK2HI",49.99270809,-145.0026642,"2017-09-09T22:00:00","5",FALSE
"71520","AK2HI",49.94245731,-145.0059761,"2017-09-11T22:00:00","5",FALSE
"71521","AK2HI",46.05495014,-157.7727915,"2017-09-13T23:00:00","5",FALSE
"71522","AK2HI",45.99354259,-158.0221674,"2017-09-14T23:00:00","5",FALSE
"71523","AK2HI",39.39705598,-158.0045588,"2017-09-19T23:00:00","5",FALSE
"71524","AK2HI",36.66951015,-157.9981521,"2017-09-19T23:00:00","5",FALSE
"71525","AK2HI",24.16368864,-160.2564597,"2017-09-24T22:00:00","5",FALSE
"71526","AK2HI",55.00038506,-147.2142977,"2017-09-06T20:00:00","5",FALSE
"71527","AK2HI",54.99972125,-147.2165644,"2017-09-07T20:00:00","5",FALSE
"71528","AK2HI",50.42323537,-145.2684849,"2017-09-09T22:00:00","5",FALSE
"71529","AK2HI",49.94866764,-145.0086523,"2017-09-10T22:00:00","5",FALSE
"71530","AK2HI",49.06638642,-147.8174426,"2017-09-12T22:00:00","5",FALSE
"71531","AK2HI",47.96667872,-151.0987866,"2017-09-12T22:00:00","5",FALSE
"71532","AK2HI",47.96667872,-151.0987866,"2017-09-12T22:00:00","5",FALSE
"71533","AK2HI",43.37317328,-157.9999059,"2017-09-16T23:00:00","5",FALSE
"71534","AK2HI",42.00826576,-157.9818285,"2017-09-18T23:00:00","5",FALSE
