ids1	ids2
AUID.1	AUID.1
AUID.2	AUID.105
AUID.3	AUID.185
AUID.4	AUID.275
AUID.5	AUID.364
AUID.6	AUID.457
AUID.7	AUID.546
AUID.8	AUID.645
AUID.9	AUID.746
AUID.10	AUID.2
AUID.11	AUID.16
AUID.12	AUID.26
AUID.13	AUID.36
AUID.14	AUID.45
AUID.15	AUID.55
AUID.16	AUID.66
AUID.17	AUID.76
AUID.18	AUID.85
AUID.19	AUID.96
AUID.20	AUID.106
AUID.21	AUID.113
AUID.23	AUID.129
AUID.24	AUID.139
AUID.25	AUID.145
AUID.26	AUID.150
AUID.27	AUID.160
AUID.28	AUID.168
AUID.30	AUID.186
AUID.31	AUID.193
AUID.32	AUID.202
AUID.33	AUID.211
AUID.34	AUID.220
AUID.35	AUID.229
AUID.36	AUID.238
AUID.37	AUID.246
AUID.38	AUID.257
AUID.39	AUID.267
AUID.40	AUID.276
AUID.41	AUID.286
AUID.42	AUID.295
AUID.44	AUID.310
AUID.45	AUID.320
AUID.47	AUID.335
AUID.48	AUID.344
AUID.49	AUID.355
AUID.50	AUID.365
AUID.51	AUID.375
AUID.52	AUID.384
AUID.53	AUID.393
AUID.54	AUID.403
AUID.55	AUID.413
AUID.56	AUID.423
AUID.57	AUID.432
AUID.58	AUID.440
AUID.59	AUID.448
AUID.60	AUID.458
AUID.61	AUID.466
AUID.63	AUID.483
AUID.64	AUID.490
AUID.65	AUID.498
AUID.66	AUID.507
AUID.67	AUID.515
AUID.68	AUID.526
AUID.69	AUID.536
AUID.70	AUID.547
AUID.71	AUID.557
AUID.72	AUID.567
AUID.73	AUID.576
AUID.74	AUID.606
AUID.76	AUID.625
AUID.77	AUID.634
AUID.78	AUID.646
AUID.79	AUID.656
AUID.80	AUID.674
AUID.81	AUID.695
AUID.82	AUID.705
AUID.83	AUID.716
AUID.84	AUID.726
AUID.85	AUID.736
AUID.88	AUID.778
AUID.89	AUID.789
AUID.91	AUID.811
AUID.92	AUID.822
AUID.93	AUID.833
AUID.95	AUID.3
AUID.96	AUID.8
AUID.97	AUID.9
AUID.98	AUID.10
AUID.99	AUID.11
AUID.100	AUID.12
AUID.101	AUID.13
AUID.102	AUID.14
AUID.103	AUID.15
AUID.104	AUID.17
AUID.105	AUID.18
AUID.106	AUID.19
AUID.107	AUID.20
AUID.108	AUID.21
AUID.109	AUID.22
AUID.110	AUID.23
AUID.111	AUID.24
AUID.112	AUID.25
AUID.114	AUID.28
AUID.116	AUID.30
AUID.117	AUID.31
AUID.118	AUID.32
AUID.119	AUID.33
AUID.120	AUID.34
AUID.121	AUID.35
AUID.122	AUID.37
AUID.123	AUID.38
AUID.124	AUID.39
AUID.125	AUID.40
AUID.126	AUID.41
AUID.127	AUID.42
AUID.128	AUID.43
AUID.129	AUID.44
AUID.130	AUID.46
AUID.132	AUID.48
AUID.133	AUID.49
AUID.134	AUID.50
AUID.135	AUID.51
AUID.136	AUID.52
AUID.137	AUID.53
AUID.138	AUID.54
AUID.139	AUID.56
AUID.140	AUID.57
AUID.141	AUID.58
AUID.143	AUID.60
AUID.144	AUID.61
AUID.145	AUID.62
AUID.147	AUID.64
AUID.148	AUID.65
AUID.149	AUID.67
AUID.150	AUID.68
AUID.151	AUID.69
AUID.152	AUID.70
AUID.154	AUID.72
AUID.155	AUID.73
AUID.156	AUID.74
AUID.157	AUID.75
AUID.158	AUID.77
AUID.159	AUID.78
AUID.161	AUID.80
AUID.162	AUID.81
AUID.163	AUID.82
AUID.166	AUID.86
AUID.169	AUID.89
AUID.170	AUID.90
AUID.171	AUID.91
AUID.172	AUID.92
AUID.173	AUID.93
AUID.174	AUID.94
AUID.175	AUID.95
AUID.176	AUID.97
AUID.178	AUID.99
AUID.179	AUID.100
AUID.180	AUID.101
AUID.181	AUID.102
AUID.183	AUID.104
AUID.184	AUID.107
AUID.185	AUID.108
AUID.186	AUID.109
AUID.187	AUID.110
AUID.189	AUID.112
AUID.190	AUID.114
AUID.192	AUID.116
AUID.193	AUID.117
AUID.194	AUID.118
AUID.195	AUID.119
AUID.196	AUID.120
AUID.197	AUID.122
AUID.199	AUID.124
AUID.200	AUID.125
AUID.201	AUID.126
AUID.204	AUID.130
AUID.206	AUID.132
AUID.208	AUID.134
AUID.210	AUID.136
AUID.211	AUID.137
AUID.212	AUID.138
AUID.214	AUID.141
AUID.215	AUID.142
AUID.216	AUID.143
AUID.218	AUID.146
AUID.219	AUID.147
AUID.220	AUID.148
AUID.223	AUID.152
AUID.224	AUID.153
AUID.226	AUID.155
AUID.228	AUID.157
AUID.229	AUID.158
AUID.230	AUID.159
AUID.232	AUID.162
AUID.233	AUID.163
AUID.237	AUID.167
AUID.238	AUID.169
AUID.239	AUID.170
AUID.240	AUID.171
AUID.241	AUID.172
AUID.242	AUID.173
AUID.243	AUID.174
AUID.244	AUID.175
AUID.245	AUID.176
AUID.246	AUID.178
AUID.273	AUID.209
AUID.284	AUID.222
AUID.296	AUID.235
AUID.301	AUID.241
AUID.322	AUID.264
AUID.342	AUID.288
AUID.367	AUID.316
AUID.372	AUID.322
AUID.390	AUID.342
AUID.406	AUID.360
AUID.472	AUID.435
AUID.481	AUID.445
AUID.853	AUID.853
AUID.854	AUID.854
