Study,Sample,Initial,Trimmed,Filtered,Merged,InNonChimericASVs,PctReadPairsRetained
AK2HI,71502,  38980,  35878,  32957,  31692,  30249,77.601
AK2HI,71503,  29849,  27063,  24588,  23675,  22473,75.289
AK2HI,71504,  40941,  37069,  34077,  32817,  30292,73.989
AK2HI,71505,  41565,  37990,  32069,  31055,  30494,73.365
AK2HI,71506,  38537,  34746,  30754,  29510,  28396,73.685
AK2HI,71507,  47346,  43645,  36836,  35636,  35103,74.141
AK2HI,71508,  44871,  40905,  36304,  35324,  34267,76.368
AK2HI,71509,  53950,  49231,  42675,  41085,  37317,69.170
AK2HI,71510,  42012,  38125,  35285,  34525,  33207,79.042
AK2HI,71511,  46683,  42396,  35483,  34406,  32497,69.612
AK2HI,71512,  43306,  39006,  37361,  36203,  33425,77.183
AK2HI,71513,  53254,  48335,  44878,  42863,  38483,72.263
AK2HI,71514,  48542,  44187,  41111,  39382,  36785,75.780
AK2HI,71515,  41207,  37166,  32881,  31818,  31283,75.917
AK2HI,71516,  50264,  45820,  41664,  39945,  37409,74.425
AK2HI,71517,  35000,  31891,  28216,  26781,  24108,68.880
AK2HI,71518,  42280,  38841,  34715,  33140,  32535,76.951
AK2HI,71519,  29631,  26685,  24849,  24134,  21360,72.087
AK2HI,71520,  45974,  41739,  36461,  34908,  34488,75.016
AK2HI,71521,  54496,  49558,  45548,  44464,  39581,72.631
AK2HI,71522,  40986,  37586,  31187,  29835,  27560,67.242
AK2HI,71523,  41415,  37533,  34240,  33369,  32994,79.667
AK2HI,71524,  40708,  36851,  33486,  32445,  31320,76.938
AK2HI,71525,  50340,  46137,  43993,  42084,  36950,73.401
AK2HI,71526,  51611,  47118,  41489,  39748,  38726,75.034
AK2HI,71527,  60119,  54479,  48333,  46318,  43628,72.569
AK2HI,71528,  42707,  38759,  33530,  32080,  32003,74.936
AK2HI,71529,  48263,  43163,  39061,  37415,  32709,67.772
