Sample,SampleWF,Study,tag,ReadsPipeline,ReadsGatherAsvs,ReadsFilterAuids.SmallSamp,ReadsFilterAuids.Rare,ReadsFilterAuids.NonNifH,ReadsFilterAuids.Length,ReadsWorkspaceStartup.noAnnot
71502,AK2HI.1.no_SRA___71502,AK2HI,AK2HI:1:no_SRA,  30249,  30249,  30249,  29295,  29042,  28860,  28806
71503,AK2HI.1.no_SRA___71503,AK2HI,AK2HI:1:no_SRA,  22473,  22473,  22473,  22187,  21866,  21609,  21555
71504,AK2HI.1.no_SRA___71504,AK2HI,AK2HI:1:no_SRA,  30292,  30292,  30292,  30194,  29371,  29303,  28941
71505,AK2HI.1.no_SRA___71505,AK2HI,AK2HI:1:no_SRA,  30494,  30494,  30494,  30164,  28530,  28422,  24921
71506,AK2HI.1.no_SRA___71506,AK2HI,AK2HI:1:no_SRA,  28396,  28396,  28396,  28097,  28012,  26738,  24880
71507,AK2HI.1.no_SRA___71507,AK2HI,AK2HI:1:no_SRA,  35103,  35103,  35103,  33638,  33599,  28209,  27325
71508,AK2HI.1.no_SRA___71508,AK2HI,AK2HI:1:no_SRA,  34267,  34267,  34267,  34107,  33973,  26313,  26259
71509,AK2HI.1.no_SRA___71509,AK2HI,AK2HI:1:no_SRA,  37317,  37317,  37317,  36314,  36314,  35387,  35358
71510,AK2HI.1.no_SRA___71510,AK2HI,AK2HI:1:no_SRA,  33207,  33207,  33207,  32845,  32834,  28013,  27987
71511,AK2HI.1.no_SRA___71511,AK2HI,AK2HI:1:no_SRA,  32497,  32497,  32497,  32044,  32021,  31966,  31954
71512,AK2HI.1.no_SRA___71512,AK2HI,AK2HI:1:no_SRA,  33425,  33425,  33425,  33374,  33374,  33374,  33374
71513,AK2HI.1.no_SRA___71513,AK2HI,AK2HI:1:no_SRA,  38483,  38483,  38483,  38357,  38352,  38347,  38317
71514,AK2HI.1.no_SRA___71514,AK2HI,AK2HI:1:no_SRA,  36785,  36785,  36785,  35295,  35072,  30633,  30620
71515,AK2HI.1.no_SRA___71515,AK2HI,AK2HI:1:no_SRA,  31283,  31283,  31283,  30590,  30112,  26322,  26216
71516,AK2HI.1.no_SRA___71516,AK2HI,AK2HI:1:no_SRA,  37409,  37409,  37409,  36486,  36241,  36045,  36013
71517,AK2HI.1.no_SRA___71517,AK2HI,AK2HI:1:no_SRA,  24108,  24108,  24108,  23915,  23574,  23171,  23082
