Study,Sample,Initial,Trimmed,Filtered,Merged,InNonChimericASVs,PctReadPairsRetained
AK2HI,71502,  38980,  35878,  32186, 27597, 27043,69.3766
AK2HI,71503,  29849,  27063,  24090, 22083, 21695,72.6825
AK2HI,71504,  40941,  37069,  33110, 29984, 29561,72.2039
AK2HI,71505,  41565,  37990,  30991, 20096, 19857,47.7734
AK2HI,71506,  38537,  34746,  29692, 26718, 26591,69.0012
AK2HI,71507,  47346,  43645,  35218, 30407, 30355,64.1131
AK2HI,71508,  44871,  40905,  33178, 30203, 30083,67.0433
AK2HI,71509,  53950,  49231,  42006, 36770, 36177,67.0565
AK2HI,71510,  42012,  38126,  33013, 26915, 26811,63.8175
AK2HI,71511,  46683,  42396,  36106, 32468, 32118,68.8002
AK2HI,71512,  43306,  39006,  34243, 31983, 31148,71.9254
AK2HI,71513,  53254,  48336,  39538, 35253, 33775,63.4225
AK2HI,71514,  48542,  44187,  38820, 33409, 32817,67.6054
AK2HI,71515,  41207,  37166,  30855, 19873, 19866,48.2103
AK2HI,71516,  50264,  45820,  40541, 37692, 37178,73.9655
AK2HI,71517,  35000,  31891,  28076, 24959, 23722,67.7771
AK2HI,71518,  42280,  38841,  33249, 21249, 21216,50.1798
AK2HI,71519,  29631,  26685,  23730, 20483, 19902,67.1661
AK2HI,71520,  45974,  41739,  33547, 20731, 20702,45.0298
AK2HI,71521,  54496,  49558,  38515, 33650, 32423,59.4961
AK2HI,71522,  40986,  37586,  31896, 28271, 27854,67.9598
AK2HI,71523,  41415,  37534,  29684, 25924, 25896,62.5281
AK2HI,71524,  40708,  36851,  30906, 24097, 24076,59.1432
AK2HI,71525,  50340,  46137,  38426, 35114, 34249,68.0354
AK2HI,71526,  51611,  47118,  39317, 23077, 23061,44.6823
AK2HI,71527,  60119,  54479,  45203, 31215, 31041,51.6326
AK2HI,71528,  42707,  38759,  32240, 23056, 23038,53.9443
AK2HI,71529,  48263,  43163,  38116, 33212, 31536,65.3420
AK2HI,71530,  45605,  41411,  35306, 27018, 27009,59.2238
AK2HI,71531,  49871,  45283,  38975, 31291, 31287,62.7359
AK2HI,71532,  51155,  46452,  40898, 36974, 35360,69.1233
AK2HI,71533,  47016,  42799,  36380, 26531, 26505,56.3744
AK2HI,71534,  46948,  42987,  35088, 27718, 27668,58.9333
AK2HI,71535,  54202,  49227,  40799, 29926, 29472,54.3744
AK2HI,71536,  50909,  46584,  38311, 31562, 31394,61.6669
AK2HI,71537,  42950,  39208,  34878, 27943, 26698,62.1607
AK2HI,71538,  48809,  44661,  38100, 19100, 19077,39.0850
AK2HI,71539,  40491,  36780,  32779, 27337, 26374,65.1355
AK2HI,71540,  37455,  34106,  30602, 28156, 27472,73.3467
AK2HI,71541,  42059,  38377,  32583, 27771, 27415,65.1822
AK2HI,71542,  56228,  50993,  43129, 38409, 38150,67.8488
AK2HI,71543,  40125,  36611,  29673, 26972, 26869,66.9632
AK2HI,71544,  42368,  38561,  31767, 27381, 26860,63.3969
BentzonTilia_2015,SRR1178342,   6073,   3916,   3338,  3277,  3277,53.9602
BentzonTilia_2015,SRR1178343,   7968,   5121,   4442,  4325,  4325,54.2796
BentzonTilia_2015,SRR1178344,   5535,   3570,   3169,     0,     0, 0.0000
BentzonTilia_2015,SRR1178345,  20538,  13349,  11522,  6114,  6100,29.7010
BentzonTilia_2015,SRR1178346,  15036,   9592,   8212,  5197,  5197,34.5637
BentzonTilia_2015,SRR1178347,  11194,   7163,   6201,   557,   552, 4.9312
BentzonTilia_2015,SRR1178348,   9483,   6176,   5337,  2622,  2622,27.6495
BentzonTilia_2015,SRR1178349,  15784,  10293,   9114,   966,   966, 6.1201
BentzonTilia_2015,SRR1178350,   9180,   5967,   5222,   492,   492, 5.3595
BentzonTilia_2015,SRR1178351,  12806,   8205,   7392,  4254,  4254,33.2188
BentzonTilia_2015,SRR1178352,  11088,   7119,   6391,  4333,  4333,39.0783
BentzonTilia_2015,SRR1178353,   8785,   5561,   5032,  3758,  3746,42.6409
BentzonTilia_2015,SRR1178354,  10307,   6614,   6021,  4522,  4459,43.2619
BentzonTilia_2015,SRR1178355,  17165,  11276,   9949,  2886,  2886,16.8133
BentzonTilia_2015,SRR1178356,   7813,   4946,   4425,  3346,  3346,42.8261
BentzonTilia_2015,SRR1178357,  21080,  13632,  12209,  5086,  5086,24.1271
BentzonTilia_2015,SRR1178358,   7251,   4788,   4292,  1077,  1077,14.8531
BentzonTilia_2015,SRR1178359,   7974,   5226,   4376,   143,   143, 1.7933
BentzonTilia_2015,SRR1178360,   4231,   2582,   2094,  1754,  1754,41.4559
BentzonTilia_2015,SRR1178361,   1688,   1073,    621,     0,     0, 0.0000
BentzonTilia_2015,SRR1178362,   6140,   3907,   3359,  2845,  2845,46.3355
BentzonTilia_2015,SRR1178363,   9200,   5978,   5284,     0,     0, 0.0000
BentzonTilia_2015,SRR1178364,   7322,   4632,   4047,     0,     0, 0.0000
BentzonTilia_2015,SRR1178365,   6036,   3838,   3410,  1247,  1247,20.6594
BentzonTilia_2015,SRR1178366,   9448,   5981,   5408,  4678,  4590,48.5817
BentzonTilia_2015,SRR1178367,   2840,   1803,   1433,  1324,  1324,46.6197
BentzonTilia_2015,SRR1178368,  11120,   7003,   6375,  5369,  5369,48.2824
BentzonTilia_2015,SRR1178369,   6680,   4172,   3549,     0,     0, 0.0000
BentzonTilia_2015,SRR1178370,   3113,   1918,   1636,   847,   847,27.2085
BentzonTilia_2015,SRR1178371,   5741,   3706,   3258,  2942,  2942,51.2454
BentzonTilia_2015,SRR1178372,   5515,   3456,   3167,  3086,  3086,55.9565
BentzonTilia_2015,SRR1178373,   9167,   5941,   5056,  1446,  1446,15.7740
BentzonTilia_2015,SRR1178374,  13762,   8796,   7812,  1370,  1370, 9.9549
BentzonTilia_2015,SRR1178375,  11596,   7598,   6402,   530,   530, 4.5705
BentzonTilia_2015,SRR1178376,  11558,   7568,   6495,  1345,  1345,11.6370
BentzonTilia_2015,SRR1178377,   5084,   3286,   2849,   154,   154, 3.0291
BentzonTilia_2015,SRR1178378,   6271,   4078,   3652,  1384,  1384,22.0698
BentzonTilia_2015,SRR1178379,   6701,   4246,   3482,     0,     0, 0.0000
BentzonTilia_2015,SRR1178380,  13310,   8324,   7543,  6547,  6547,49.1886
BentzonTilia_2015,SRR1178381,   1182,    757,    439,   410,   410,34.6870
BentzonTilia_2015,SRR1178382,   1477,    923,    754,     0,     0, 0.0000
BentzonTilia_2015,SRR1178383,   1373,    848,    700,   340,   340,24.7633
BentzonTilia_2015,SRR1178384,   5119,   3263,   2803,  2737,  2737,53.4675
BentzonTilia_2015,SRR1178385,   4341,   2698,   2219,  2169,  2169,49.9654
BentzonTilia_2015,SRR1178386,   2136,   1394,   1037,   940,   940,44.0075
BentzonTilia_2015,SRR1178387,   3739,   2462,   1713,     0,     0, 0.0000
BentzonTilia_2015,SRR1178388,   5057,   3242,   2811,   364,   364, 7.1979
BentzonTilia_2015,SRR1178389,   3105,   1960,   1591,   192,   192, 6.1836
BentzonTilia_2015,SRR1178393,  17399,  11202,   9588,   487,   487, 2.7990
BentzonTilia_2015,SRR1178394,  12112,   7789,   6556,   459,   459, 3.7896
BentzonTilia_2015,SRR1178395,  11078,   7190,   6157,  2654,  2651,23.9303
BentzonTilia_2015,SRR1178396,   6937,   4461,   3793,   670,   670, 9.6584
BentzonTilia_2015,SRR1178397,   6986,   4529,   3947,   696,   696, 9.9628
BentzonTilia_2015,SRR1178398,   3803,   2392,   2085,   184,   184, 4.8383
BentzonTilia_2015,SRR1178399,   8873,   5727,   4961,   771,   771, 8.6893
BentzonTilia_2015,SRR1178406,   4811,   3062,   2511,   472,   472, 9.8109
Ding_2021,SRR11784070,  43416,  43416,  38926, 36012, 35885,82.6539
Ding_2021,SRR11784071,  57236,  57236,  51374, 47689, 47472,82.9408
Ding_2021,SRR11784072,  56629,  56629,  50859, 47134, 47017,83.0264
Ding_2021,SRR11784073,  72100,  72100,  64824, 61468, 61137,84.7947
Ding_2021,SRR11784074,  52022,  52021,  46797, 42449, 42372,81.4502
Ding_2021,SRR11784075,  58182,  58182,  52158, 47195, 47179,81.0887
Ding_2021,SRR11784076,  58201,  58201,  48052, 45562, 45236,77.7238
Ding_2021,SRR11784077, 107702, 107702,  88984, 86808, 85754,79.6215
Ding_2021,SRR11784078,  33279,  33278,  29444, 26757, 26702,80.2368
Ding_2021,SRR11784079,  53757,  53757,  45156, 42733, 42423,78.9162
Ding_2021,SRR11784080,  58562,  58561,  49169, 45421, 44260,75.5780
Ding_2021,SRR11784081, 146144, 146144, 122290,113854,109272,74.7701
Ding_2021,SRR11784082,  29803,  29803,  26630, 25049, 25012,83.9244
Ding_2021,SRR11784083,  34075,  34075,  30737, 29842, 29663,87.0521
Ding_2021,SRR11784084,  73351,  73351,  61330, 57686, 56854,77.5095
Ding_2021,SRR11784085,  75688,  75688,  62757, 59391, 59081,78.0586
Ding_2021,SRR11784086, 146534, 146533, 123365,117474,116844,79.7385
Ding_2021,SRR11784087,  22276,  22275,  19918, 18372, 18289,82.1018
Ding_2021,SRR11784088,  48066,  48066,  43219, 39476, 39237,81.6315
Ding_2021,SRR11784089,  74481,  74481,  66869, 62695, 62338,83.6965
Ding_2021,SRR11784090,  66459,  66459,  59293, 55210, 55019,82.7864
Ding_2021,SRR11784091,  18843,  18843,  16713, 15648, 15522,82.3754
Ding_2021,SRR11784092,  21913,  21913,  19631, 18448, 18370,83.8315
Ding_2021,SRR11784093,  27277,  27277,  24660, 23462, 23440,85.9332
Ding_2021,SRR11784094,  42947,  42947,  38542, 36915, 36814,85.7196
Ding_2021,SRR11784095,  29074,  29074,  26022, 24333, 24279,83.5076
Ding_2021,SRR11784096,  41035,  41035,  36271, 33124, 33109,80.6848
Ding_2021,SRR11784097,  38669,  38669,  34119, 31539, 31537,81.5563
Ding_2021,SRR11784098,  34428,  34428,  31329, 28767, 28748,83.5018
Ding_2021,SRR11784099,  48893,  48893,  43634, 40626, 40551,82.9383
Ding_2021,SRR11784100,  54364,  54364,  48651, 45032, 43736,80.4503
Ding_2021,SRR11784101,  54001,  54001,  48434, 44427, 43339,80.2559
Gradoville_2020,Gradoville1-68484,  36681,  33885,  32761, 31908, 25140,68.5368
Gradoville_2020,Gradoville10-68505,  48083,  44753,  43695, 43361, 42177,87.7171
