SampleWF,Sample,Study,tag,ReadsPipeline,ReadsGatherAsvs,ReadsFilterAuids.Rare,ReadsFilterAuids.NonNifH,ReadsFilterAuids.Length
AK2HI.1.no_SRA___X71502,X71502,AK2HI,AK2HI:1:no_SRA, 27043, 26559, 25852, 25798, 25736
AK2HI.1.no_SRA___X71503,X71503,AK2HI,AK2HI:1:no_SRA, 21695, 21126, 21101, 21091, 20891
AK2HI.1.no_SRA___X71504,X71504,AK2HI,AK2HI:1:no_SRA, 29561, 28926, 28825, 28531, 28520
AK2HI.1.no_SRA___X71505,X71505,AK2HI,AK2HI:1:no_SRA, 19857, 17833, 17805, 17786, 17786
AK2HI.1.no_SRA___X71506,X71506,AK2HI,AK2HI:1:no_SRA, 26591, 25498, 25428, 25399, 24492
AK2HI.1.no_SRA___X71507,X71507,AK2HI,AK2HI:1:no_SRA, 30355, 28588, 27290, 27290, 23557
AK2HI.1.no_SRA___X71508,X71508,AK2HI,AK2HI:1:no_SRA, 30083, 29017, 28789, 28716, 24139
AK2HI.1.no_SRA___X71509,X71509,AK2HI,AK2HI:1:no_SRA, 36177, 34345, 33952, 33952, 33334
AK2HI.1.no_SRA___X71510,X71510,AK2HI,AK2HI:1:no_SRA, 26811, 26195, 25860, 25860, 25860
AK2HI.1.no_SRA___X71511,X71511,AK2HI,AK2HI:1:no_SRA, 32118, 30183, 29938, 29938, 29938
AK2HI.1.no_SRA___X71512,X71512,AK2HI,AK2HI:1:no_SRA, 31148, 31038, 30784, 30784, 30784
AK2HI.1.no_SRA___X71513,X71513,AK2HI,AK2HI:1:no_SRA, 33775, 33109, 32956, 32956, 32956
AK2HI.1.no_SRA___X71514,X71514,AK2HI,AK2HI:1:no_SRA, 32817, 32240, 31587, 31502, 27873
AK2HI.1.no_SRA___X71515,X71515,AK2HI,AK2HI:1:no_SRA, 19866, 18909, 18900, 18863, 15920
AK2HI.1.no_SRA___X71516,X71516,AK2HI,AK2HI:1:no_SRA, 37178, 36104, 35571, 35440, 35298
