studyID,Initial,Trimmed,Filtered,Merged,InNonChimericASVs,PctReadPairsRetained
AK2HI,45140.2,41068.5,34785.1,28385.5,27939.6,62.2
BentzonTilia_2015,8234.1,5291.1,4593.6,1845.9,1842.6,22.7
Ding_2021,55606.5,55606.3,48442.4,45331.2,44890.3,81.6
Gradoville_2020,40401.6,38339.8,29344.9,25806.8,23672.3,60.3
Hallstrom_2021,250999.5,247413.6,152686.1,144846.7,136664.5,48.7
Hallstrom_2022,195942,193514.7,104859.3,47871.2,40394.9,16.3
Harding_2021,42257.8,41260.4,34959.6,23668.5,22592.5,53.5
Mulholland_2018,176903.3,164686.2,146515.5,119605.7,108252.6,61
NEMO,56176.8,52992.3,45624.3,36514.3,34449.4,59.9
Raes_2020,93065.7,90642.7,74295.6,65794.4,63262.3,63
Sato_2021,74685.9,73858.8,45181.5,29354,28763.2,38.8
Selden_2021,148426,121559.9,92491,82479.3,79658.2,54.7
Shiozaki_2017,17969.3,9328.9,8911.4,5767.6,5717.5,27
Shiozaki_2018GBC,24365.5,11106.8,10638,9250.4,9143.8,35.1
Shiozaki_2018LNO,66782.6,65077,56492.9,35296.4,33182.8,48.8
Shiozaki_2020,254502.9,251981.9,186937.4,34450.6,33319.3,12.2
Tang_2020,46885.7,45608.7,39061.8,35493.7,31559.7,67.2
TianjUni_2016,80056.9,63127,41804.9,38575.9,36995.4,46.2
TianjUni_2017,80013.2,52675.9,20391.1,14068.6,13608.2,17
Turk_2021,55478.9,52406.8,45732.8,39578.1,37292.1,66.5
Total,88275696,84381452,59958452,46171318,43294586,50343.2
