studyID,ReadsPipeline,ReadsGatherAsvs,ReadsFilterAuids.Rare,ReadsFilterAuids.NonNifH,ReadsFilterAuids.Length
AK2HI,27939.6,26973.6,26607.7,26573.2,25173.9
BentzonTilia_2015,1842.6,1834.6,1566.7,1566.7,1566.7
Ding_2021,44890.3,44802.3,41882.8,41823.2,41087.1
Gradoville_2020,23672.3,22821.5,22041,21348,20594.5
Hallstrom_2021,136664.5,136552.3,125227.7,125120.7,124923.2
Hallstrom_2022,40394.9,13505.5,13293.8,13153.8,11941.5
Harding_2021,22592.5,19089.3,17562.4,17298.8,17066.2
Mulholland_2018,108252.6,93068.7,90355.3,87713.6,83809.2
NEMO,34449.4,31060.7,29495.3,29317.5,28568.4
Raes_2020,63262.3,58043.9,56006,55509.3,53425.4
Sato_2021,28763.2,26651.6,22361.3,19853.8,15306.2
Selden_2021,79658.2,79658.2,64242.3,52050.9,49184.6
Shiozaki_2017,11718.2,11515.3,10987.3,10953.7,10941.2
Shiozaki_2018GBC,20286,20251,19825.2,19806,19776.6
Shiozaki_2018LNO,33182.8,33182.8,31192,31192,31192
Shiozaki_2020,33319.3,22113.7,20505.4,20501.9,20440.8
Tang_2020,31559.7,29539.8,29074,29071.5,29071.5
TianjUni_2016,36995.4,36937.9,34912,34875.4,34768
TianjUni_2017,13608.2,13608.2,13211.1,13211.1,13211.1
Turk_2021,37292.1,32858.3,32635.2,32394.4,32128.2
Total,43649447,39049176,36847698,36322126,35362289
