Study ID,Initial,Trimmed4,Filtered4,Merged7,non-Bimera9,Retained (%)
AK2HI,4.5e+04,4.1e+04,3.5e+04,2.8e+04,2.8e+04,62.2
BentzonTilia_2015,8.2e+03,5.3e+03,4.6e+03,1.8e+03,1.8e+03,22.7
Ding_2021,5.6e+04,5.6e+04,4.8e+04,4.5e+04,4.5e+04,81.6
Gradoville_2020,4.0e+04,3.8e+04,2.9e+04,2.6e+04,2.4e+04,60.3
Hallstrom_2021,2.5e+05,2.5e+05,1.5e+05,1.4e+05,1.4e+05,48.7
Hallstrom_2022,2.0e+05,1.9e+05,1.0e+05,4.8e+04,4.0e+04,16.3
Harding_2018,4.2e+04,4.1e+04,3.5e+04,2.4e+04,2.3e+04,53.5
Mulholland_2018,1.8e+05,1.6e+05,1.5e+05,1.2e+05,1.1e+05,61
NEMO,5.7e+04,5.4e+04,4.6e+04,3.7e+04,3.5e+04,58.7
Raes_2020,9.3e+04,9.1e+04,7.4e+04,6.6e+04,6.3e+04,63
Sato_2021,7.5e+04,7.4e+04,4.5e+04,2.9e+04,2.9e+04,38.8
Selden_2021,1.5e+05,1.2e+05,9.2e+04,8.2e+04,8.0e+04,54.7
Shiozaki_2017,1.8e+04,9.3e+03,8.9e+03,5.8e+03,5.8e+03,28.4
Shiozaki_2018GBC,2.4e+04,1.1e+04,1.1e+04,9.2e+03,9.1e+03,34.9
Shiozaki_2018LNO,6.7e+04,6.5e+04,5.6e+04,3.5e+04,3.3e+04,48.8
Shiozaki_2020,2.5e+05,2.5e+05,1.9e+05,3.4e+04,3.3e+04,12.2
Tang_2020,4.7e+04,4.6e+04,3.9e+04,3.5e+04,3.2e+04,67.2
TianjUni_2016,8.0e+04,6.3e+04,4.2e+04,3.9e+04,3.7e+04,46.2
TianjUni_2017,8.0e+04,5.3e+04,2.0e+04,1.4e+04,1.4e+04,17
Turk_2021,5.5e+04,5.2e+04,4.6e+04,4.0e+04,3.7e+04,66.5
Total mean,8.9e+04,8.5e+04,6.1e+04,4.7e+04,4.4e+04,50.5
Total median,5.1e+04,4.8e+04,3.8e+04,2.9e+04,2.7e+04,54.8
Total sum,8.8e+07,8.4e+07,5.9e+07,4.6e+07,4.3e+07,50
