Study ID,DADA2 nifH pipeline,GatherAsvs,ReadsFilterAuids.SmallSamp,Rare,NonNifH,Length,ReadsWorkspaceStartup.noAnnot,Retained (%)
AK2HI,3.3e+04,3.3e+04,3.3e+04,3.3e+04,3.2e+04,3.0e+04,2.9e+04,89.2
BentzonTilia_2015,4.1e+03,4.1e+03,4.0e+03,3.1e+03,3.1e+03,3.1e+03,3.0e+03,72.8
Ding_2021,4.9e+04,4.9e+04,4.9e+04,4.6e+04,4.6e+04,4.5e+04,4.5e+04,92.2
Gradoville_2020,2.4e+04,2.3e+04,2.3e+04,2.2e+04,2.1e+04,2.1e+04,2.0e+04,82.6
Hallstrom_2021,1.4e+05,1.4e+05,1.4e+05,1.3e+05,1.3e+05,1.2e+05,1.2e+05,92.2
Hallstrom_2022,6.6e+04,6.5e+04,6.5e+04,6.4e+04,6.4e+04,6.2e+04,6.2e+04,68.1
Harding_2018,2.6e+04,2.6e+04,2.6e+04,2.4e+04,2.3e+04,2.0e+04,1.7e+04,75.6
Mulholland_2018,1.0e+05,1.0e+05,1.0e+05,9.5e+04,9.3e+04,8.8e+04,8.4e+04,80
NEMO,3.3e+04,3.3e+04,3.3e+04,3.2e+04,3.2e+04,3.0e+04,3.0e+04,84.2
Raes_2020,6.5e+04,6.5e+04,6.5e+04,6.1e+04,6.1e+04,6.0e+04,5.9e+04,75.3
Sato_2021,2.9e+04,2.7e+04,2.7e+04,2.2e+04,2.0e+04,1.5e+04,1.4e+04,49.2
Selden_2021,8.0e+04,8.0e+04,8.0e+04,6.0e+04,5.2e+04,4.9e+04,4.5e+04,59
Shiozaki_2017,1.6e+04,1.6e+04,1.6e+04,1.5e+04,1.5e+04,1.4e+04,1.4e+04,82.5
Shiozaki_2018GBC,2.2e+04,2.2e+04,2.2e+04,2.1e+04,2.1e+04,2.1e+04,2.1e+04,90.4
Shiozaki_2018LNO,4.8e+04,4.8e+04,4.8e+04,4.6e+04,4.6e+04,4.6e+04,4.6e+04,95
Shiozaki_2020,1.4e+05,1.4e+05,1.4e+05,1.4e+05,1.4e+05,1.4e+05,1.4e+05,76.6
Tang_2020,3.4e+04,3.4e+04,3.4e+04,3.3e+04,3.3e+04,3.3e+04,3.3e+04,97.9
TianjUni_2016,5.2e+04,5.2e+04,5.2e+04,4.8e+04,4.8e+04,4.8e+04,4.8e+04,93.2
TianjUni_2017,4.2e+04,4.2e+04,4.2e+04,4.1e+04,4.1e+04,4.1e+04,4.1e+04,96.3
Turk_2021,3.6e+04,3.5e+04,3.5e+04,3.5e+04,3.5e+04,3.4e+04,3.3e+04,94.1
mean,5.0e+04,4.9e+04,4.9e+04,4.6e+04,4.6e+04,4.5e+04,4.4e+04,80.9
median,3.0e+04,3.0e+04,3.0e+04,2.9e+04,2.8e+04,2.7e+04,2.6e+04,93
sum,4.9e+07,4.8e+07,4.8e+07,4.6e+07,4.5e+07,4.4e+07,4.3e+07,90
