"SAMPLEID"	"StudyID"	"Run"	"SRA_Study"	"BioProject"	"BioSample"	"Sample_Name"	"Sample_Name_2"	"Region"	"Collection_Date"	"Time"	"Depth"	"Station"	"geo_loc_name"	"Lat_Lon"	"Latitude"	"Longitude"	"LibraryName"	"LibrarySelection"	"LibrarySource"	"Size_fraction"	"Sample_Type"	"Lat"	"Lon"	"DateTimeUTC"	"FIXME.Depth"
"DRR090493"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078351"	"SAMD00078351"	"MR15-03_St006_35m"	NA	"2015-9-7"	NA	"35"	NA	"Arctic Ocean"	"68 N 168.45 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	68	-168.45	"2015-09-07T20:00:00"	FALSE
"DRR090494"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078352"	"SAMD00078352"	"MR15-03_St013_0m"	NA	"2015-9-8"	NA	"0"	NA	"Arctic Ocean"	"71.21 N 157.40 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	71.21	-157.4	"2015-09-08T20:00:00"	FALSE
"DRR090495"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078353"	"SAMD00078353"	"MR15-03_St013_8m"	NA	"2015-9-8"	NA	"8"	NA	"Arctic Ocean"	"71.21 N 157.40 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	71.21	-157.4	"2015-09-08T20:00:00"	FALSE
"DRR090496"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078354"	"SAMD00078354"	"MR15-03_St013_18m"	NA	"2015-9-8"	NA	"18"	NA	"Arctic Ocean"	"71.21 N 157.40 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	71.21	-157.4	"2015-09-08T20:00:00"	FALSE
"DRR090497"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078355"	"SAMD00078355"	"MR15-03_St013_28m"	NA	"2015-9-8"	NA	"28"	NA	"Arctic Ocean"	"71.21 N 157.40 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	71.21	-157.4	"2015-09-08T20:00:00"	FALSE
"DRR090498"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078356"	"SAMD00078356"	"MR15-03_St039_0m"	NA	"2015-9-14"	NA	"0"	NA	"Arctic Ocean"	"72.23 N 155.23 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	72.23	-155.23	"2015-09-14T20:00:00"	FALSE
"DRR090499"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078357"	"SAMD00078357"	"MR15-03_St054_0m"	NA	"2015-9-18"	NA	"0"	NA	"Arctic Ocean"	"72.28 N 155.23 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	72.28	-155.23	"2015-09-18T20:00:00"	FALSE
"DRR090500"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078358"	"SAMD00078358"	"MR15-03_St056_0m"	NA	"2015-9-20"	NA	"0"	NA	"Arctic Ocean"	"72.17 N 155.59 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	72.17	-155.59	"2015-09-20T20:00:00"	FALSE
"DRR090501"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078359"	"SAMD00078359"	"MR15-03_St056_12m"	NA	"2015-9-20"	NA	"12"	NA	"Arctic Ocean"	"72.17 N 155.59 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	72.17	-155.59	"2015-09-20T20:00:00"	FALSE
"DRR090502"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078360"	"SAMD00078360"	"MR15-03_St056_28m"	NA	"2015-9-20"	NA	"28"	NA	"Arctic Ocean"	"72.17 N 155.59 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	72.17	-155.59	"2015-09-20T20:00:00"	FALSE
