SAMPLEID,depth,lat,lon,time,studyID,nucleicAcidType,Size_fraction,geo_loc_name,CMAP_sla_tblAltimetry_REP_Signal,CMAP_sla_nrt_tblAltimetry_NRT_Signal,CMAP_chl_tblCHL_REP,CMAP_AOD_tblModis_AOD_REP,CMAP_PAR_tblModis_PAR,CMAP_sss_tblSSS_NRT,CMAP_sst_tblSST_AVHRR_OI_NRT,CMAP_wind_speed_tblWind_NRT_hourly,CMAP_wind_stress_tblWind_NRT_hourly,CMAP_wind_stress_curl_tblWind_NRT_hourly,CMAP_DIN_tblDarwin_Nutrient,CMAP_PO4_tblDarwin_Nutrient,CMAP_FeT_tblDarwin_Nutrient,CMAP_O2_tblDarwin_Nutrient,CMAP_SiO2_tblDarwin_Nutrient,CMAP_phytoplankton_diversity_shannon_index_tblDarwin_Ecosystem,CMAP_phytoplankton_tblDarwin_Ecosystem,CMAP_zooplankton_tblDarwin_Ecosystem,CMAP_CHL_tblDarwin_Ecosystem,CMAP_primary_production_tblDarwin_Ecosystem,CMAP_diatom_tblDarwin_Phytoplankton,CMAP_coccolithophore_tblDarwin_Phytoplankton,CMAP_mixotrophic_dinoflagellate_tblDarwin_Phytoplankton,CMAP_picoeukaryote_tblDarwin_Phytoplankton,CMAP_picoprokaryote_tblDarwin_Phytoplankton,CMAP_DIC_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_NH4_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_NO2_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_NO3_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_PO4_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_SiO2_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_FeT_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_DOC_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_DON_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_DOP_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_DOFe_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_POC_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_PON_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_POSi_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_POFe_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_PIC_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_ALK_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_O2_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_CDOM_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_Fe_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_mls_da_argo_clim_tblArgo_MLD_Climatology,CMAP_mls_dt_argo_clim_tblArgo_MLD_Climatology,CMAP_mlt_da_argo_clim_tblArgo_MLD_Climatology,CMAP_mlt_dt_argo_clim_tblArgo_MLD_Climatology,CMAP_mlpd_da_argo_clim_tblArgo_MLD_Climatology,CMAP_mlpd_dt_argo_clim_tblArgo_MLD_Climatology,CMAP_mld_da_mean_argo_clim_tblArgo_MLD_Climatology,CMAP_mld_dt_mean_argo_clim_tblArgo_MLD_Climatology,CMAP_mld_da_median_argo_climmld_dt_median_argo_clim_tblArgo_MLD_Climatology,CMAP_sst_tblGlobalDrifterProgram,CMAP_M_an_clim_tblWOA_2018_MLD_qrtdeg_Climatology,CMAP_M_mn_clim_tblWOA_2018_MLD_qrtdeg_Climatology,CMAP_M_an_clim_tblWOA_2018_MLD_1deg_Climatology,CMAP_M_mn_clim_tblWOA_2018_MLD_1deg_Climatology,CMAP_C_an_clim_tblWOA_2018_qrtdeg_Climatology,CMAP_C_mn_clim_tblWOA_2018_qrtdeg_Climatology,CMAP_s_an_clim_tblWOA_2018_qrtdeg_Climatology,CMAP_s_mn_clim_tblWOA_2018_qrtdeg_Climatology,CMAP_t_an_clim_tblWOA_2018_qrtdeg_Climatology,CMAP_t_mn_clim_tblWOA_2018_qrtdeg_Climatology,CMAP_i_an_clim_tblWOA_2018_qrtdeg_Climatology,CMAP_i_mn_clim_tblWOA_2018_qrtdeg_Climatology,CMAP_C_an_clim_tblWOA_2018_1deg_Climatology,CMAP_C_mn_clim_tblWOA_2018_1deg_Climatology,CMAP_s_an_clim_tblWOA_2018_1deg_Climatology,CMAP_s_mn_clim_tblWOA_2018_1deg_Climatology,CMAP_t_an_clim_tblWOA_2018_1deg_Climatology,CMAP_t_mn_clim_tblWOA_2018_1deg_Climatology,CMAP_A_an_clim_tblWOA_2018_1deg_Climatology,CMAP_A_mn_clim_tblWOA_2018_1deg_Climatology,CMAP_O_an_clim_tblWOA_2018_1deg_Climatology,CMAP_O_mn_clim_tblWOA_2018_1deg_Climatology,CMAP_i_an_clim_tblWOA_2018_1deg_Climatology,CMAP_i_mn_clim_tblWOA_2018_1deg_Climatology,CMAP_n_an_clim_tblWOA_2018_1deg_Climatology,CMAP_n_mn_clim_tblWOA_2018_1deg_Climatology,CMAP_p_an_clim_tblWOA_2018_1deg_Climatology,CMAP_p_mn_clim_tblWOA_2018_1deg_Climatology,CMAP_si_an_clim_tblWOA_2018_1deg_Climatology,CMAP_si_mn_clim_tblWOA_2018_1deg_Climatology,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_AOU_WOA_clim_tblWOA_Climatology,CMAP_o2sat_WOA_clim_tblWOA_Climatology,CMAP_conductivity_WOA_clim_tblWOA_Climatology
X71502,5.0,55.00038506,-147.2142977,2017-09-06T12:00:00,AK2HI,DNA,,NPac,0.0746,,0.571848425,0.115,24.87314456679915,32.28134981791667,11.57249363775,,,,,,,,,,,,,,,,,,,1941.0589,0.317646645,0.13524396,3.100427625,0.3949216775,0.54520607,0.0002350315225,32.03340625,4.309651175,0.26694504,0.0002714563675,0.4262286524999999,0.05800667225,0.066124724,3.872387425e-06,0.2214500125,2117.933125,277.01841,0.00091023854,11.64903242886094,1.1535765510057812,1.50975425725e-05,285.0706086156719,22.054243087768747,0.0069946981675451,1.4669409543274998,0.1555530428885781,,,,,,,,,,,28.596213750000004,31.58333333333333,29.447132,29.5,3.852016954166667,3.89548257,32.4779910625,32.52921719999999,13.113449739583332,13.6419061,24.4136975625,24.3760516,3.7767147,3.8363909916666663,32.46792858333333,32.480539916666665,12.447628416666666,13.050441083333332,-7.913680200000001,,105.49770533333331,,24.560342416666668,24.450625416666668,7.838708475,,0.7711318374999999,,16.047185208333335,17.574244,11.78393578529358,24.708381811777752,32.5481923421224,7.058415412902832,0.7371576726436615,16.152412573496502,6.406040191650391,-0.1274351129929224,102.09085210164388,3.744742333889008
X71503,5.0,54.99993285,-147.2168063,2017-09-08T12:00:00,AK2HI,DNA,,NPac,0.078075,,0.571848425,0.125,23.82655176381484,32.34231122334167,11.833326965333333,,,,,,,,,,,,,,,,,,,1941.0589,0.317646645,0.13524396,3.100427625,0.3949216775,0.54520607,0.0002350315225,32.03340625,4.309651175,0.26694504,0.0002714563675,0.4262286524999999,0.05800667225,0.066124724,3.872387425e-06,0.2214500125,2117.933125,277.01841,0.00091023854,11.769688844675002,1.1619185209274998,1.51557143226e-05,285.20547580684376,22.28243362905,0.0070967724750515,1.4923899546271877,0.1390243591740312,,,,,,,,,,,28.596213750000004,31.58333333333333,30.858532,32.916668,3.852016954166667,3.89548257,32.4779910625,32.52921719999999,13.113449739583332,13.6419061,24.4136975625,24.3760516,3.7767147,3.8363909916666663,32.46792858333333,32.480539916666665,12.447628416666666,13.050441083333332,-7.913680200000001,,105.49770533333331,,24.560342416666668,24.450625416666668,7.838708475,,0.7711318374999999,,16.047185208333335,17.574244,11.78393578529358,24.708381811777752,32.5481923421224,7.058415412902832,0.7371576726436615,16.152412573496502,6.406040191650391,-0.1274351129929224,102.09085210164388,3.744742333889008
X71504,5.0,49.94245731,-145.0059761,2017-09-11T12:00:00,AK2HI,DNA,,NPac,0.1448,,0.3950231999999999,0.115,23.46464988322241,32.30403105418334,13.052493604666669,,,,,,,,,,,,,,,,,,,1924.64215,0.317503555,0.164932205,2.65509695,0.347499405,0.0472201555,0.00028604469,29.047392,3.9299897,0.2420615975,0.000248829095,0.4082633275,0.0562941155,0.009281316675,3.765944875e-06,0.3213762049999999,2099.56265,271.292735,0.00079216992,10.38788819315,1.090405020864375,1.53819281365e-05,276.53526306156255,20.470265388524997,0.0080337651743318,1.5098952017712497,0.1475850078276875,,,,,,,,,,,34.9149205625,36.168055300000006,32.46429,33.75,3.8233803625,3.770197973809524,32.4468383125,32.47043107142857,13.062137645833332,12.330433392857142,24.44843395833333,24.5909955,3.8669755333333335,3.805094625,32.438652833333336,32.44102433333333,13.482702333333334,12.781205791666666,-7.999758,-10.031635991666665,104.19390958333334,103.82427341666668,24.336088083333337,24.48269675,7.456924341666666,7.315454958333334,0.9913928858333336,0.9945355808333332,14.253673,12.577542708333333,12.660290002822876,24.52728271484375,32.509430249532066,8.457878589630127,1.1072989404201508,16.369338671366375,6.278349796930949,-0.249290645122528,104.13005956013996,3.824834108352661
X71505,5.0,46.81508121,-154.6480713,2017-09-13T12:00:00,AK2HI,DNA,,NPac,0.1122666666666666,,0.23909531,0.15400001,26.76199347354748,32.54484176635834,12.77582694425,,,,,,,,,,,,,,,,,,,1939.50425,0.3019649025,0.1916711225,3.151241475,0.3851383124999999,0.1255248065,0.0003453463375,31.37515125,4.2143565,0.2614596,0.00026535972,0.44251155,0.06001350125,0.0307204819999999,3.9872355e-06,0.300446795,2121.405925,267.61122750000004,0.000824448525,9.199951350689377,1.011182904244,1.5201177689e-05,278.0936703683125,18.829827517275003,0.0076529696889332,1.4647653717540623,0.1585700882133125,,,,,,,,,,,31.981853625,34.0,32.35587,28.333334,3.85888875625,3.793169793333333,32.51003160416666,32.510736466666664,13.585977729166666,13.219270083333337,24.435052666666667,24.57330386666667,3.8893718833333337,3.8615664833333327,32.54400866666666,32.45828108333333,13.825207666666666,13.511480333333331,-5.537266316666667,,101.99838033333332,,24.41208041666667,24.37808825,6.180570666666668,,0.8279888316666666,,24.434507083333333,,13.17960000038147,24.42814858754476,32.57860024770101,4.8574967583020525,0.7326216002305349,36.373891830444336,5.991117517153422,-0.0646898991738756,101.04863929748537,3.846279382705689
X71506,5.0,43.37317328,-157.9999059,2017-09-16T12:00:00,AK2HI,DNA,,NPac,0.1782583333333333,,0.1594270775,0.146,26.26636786799613,32.6158103943,15.9749935395,,,,,,,,,,,,,,,,,,,1900.091825,0.27166139,0.1182351895,1.7984413,0.2308325949999999,0.052235494,0.0002606483125,32.523703250000004,4.396665975,0.2710308624999999,0.00027887153,0.5023525600000001,0.068717271,0.0089404975,4.528669975e-06,0.3898952425,2096.844425,252.5455925,0.000789357845,5.610235840080938,0.721109665930125,1.46160987526e-05,264.11198616034375,14.593513876209377,0.0087625282758384,1.5078150741746872,0.1509854057804375,,,,,,,,,,,25.9938110625,23.777777333333333,27.51625,26.7,4.244470733333333,4.295827666666667,32.95209104166667,33.102407666666664,17.178486499999998,17.310547761904758,23.992866374999995,24.023743444444445,4.305513533333333,4.3114143333333335,33.03944375,33.059117,17.504329833333333,17.54649908333333,-6.111459249999999,1.621392392333333,102.64164758333334,99.35810866666668,23.942295583333333,23.935210444444447,2.498186425,,0.3131654633333333,,11.538744083333334,,17.077829202016193,24.015131950378414,33.08320713043213,1.9698963065942128,0.3216252649823825,11.875626961390177,5.471609910329183,-0.0864133455324918,101.726744333903,4.25520388285319
X71507,5.0,42.00974172,-157.98601,2017-09-17T12:00:00,AK2HI,DNA,,NPac,0.1349583333333333,,0.20203774,0.18100001,26.75687332803453,32.673486709575,16.590826858916667,,,,,,,,,,,,,,,,,,,1867.832425,0.2827932925,0.06328970775,0.9090103675,0.10928401125,0.0295912329999999,0.0001739577049999,32.50648075,4.427466475,0.2708873325,0.0002825934575,0.5181558625,0.0720185124999999,0.003384721,4.7995246e-06,0.409079725,2072.8941750000004,243.83938,0.00072842828,5.31519696116625,0.6996155660599999,1.47541752255e-05,261.0486373901563,14.353011369718748,0.0091374610783531,1.544852606951563,0.1460595107637187,,,,,,,,,,,25.269323499999995,20.58333333333333,26.54249,26.125,4.389675429166666,4.424451,33.23553283333334,33.21873377777778,18.61630008333333,18.45906644444444,23.927476604166667,23.82230088888889,4.433691541666666,4.332598399999999,33.22178241666667,33.16529175,18.4867575,18.107363416666665,-6.8701201166666666,1.1246403342499998,103.17396958333336,99.55720525,23.825631666666663,23.997489416666667,1.7030803166666668,,0.2321791983333333,,9.339061416666668,,18.21210289001465,23.88967100779216,33.26547495524088,1.641649176677068,0.2465164214372635,8.385869145393372,5.365933736165364,-0.0955770034343004,101.93534342447916,4.3854877551396685
X71508,5.0,36.66951015,-157.9981521,2017-09-19T12:00:00,AK2HI,DNA,,NPac,0.134575,,0.07076874875,0.13700001,35.72423172355679,33.842055002833334,20.31082677583333,,,,,,,,,,,,,,,,,,,1793.80055,1.9681844,0.1351166999999999,2.702375725,0.0018803164999999,0.006207419775,9.480649625e-05,12.53409575,2.051684075,0.104450795,0.000150417855,0.1823477775,0.0332488925,3.090561375e-06,2.685525875e-06,0.040089582,2019.1448,220.10988250000003,0.000209408185,1.789836462585625,0.3838815530763281,3.3073034231e-06,236.3831031322344,13.5990442037625,0.0060455345665103,1.0590541567668752,0.0867396965622859,,,,,,,,,,,25.8739426875,25.0,25.876076,,4.946909677083333,5.0480004,34.10774997916667,34.444083,22.6310260625,23.068458000000003,23.381114729166665,23.479591666666664,4.955271975,4.910880477777778,34.096472250000005,34.04911077777778,22.70292358333333,22.53986533333333,-1.6154719752166666,-2.740731183333333,100.79702583333334,101.24011466666668,23.329013083333336,23.418238666666667,0.1070593157666666,,0.1627024758333333,,5.024568408333334,,22.562689304351807,23.446605046590168,34.18119716644287,0.4316436809798081,0.1665877277652422,5.135169347127278,5.040894190470378,-0.0186870483254703,100.44199689229328,5.003469665845235
X71509,5.0,33.99973946,-157.9998724,2017-09-20T12:00:00,AK2HI,DNA,,NPac,0.1002416666666666,,0.063948429,0.133,40.02421823143207,34.35569508870834,23.156660045666666,,,,,,,,,,,,,,,,,,,1771.9540000000002,1.974437775,0.3487866675,4.235656375,0.000723653055,0.004283235725,0.0001572226225,6.292143125000001,1.096476975,0.05243452425,8.31449785e-05,0.0874097289999999,0.0163091665,3.17248155e-07,1.3406208e-06,0.00598036025,2003.3279,215.181975,0.000108043775,0.0648330100557043,0.2539903665893437,4.9209631356e-06,227.4248013497032,13.29312793910625,0.0038716595445292,0.8440098706634844,0.0633434914052531,,,,,,,,,,,28.7827844375,33.0,30.200832,26.416668,5.210316933333333,5.290495066666668,34.60971960416666,34.974989,25.17237775,25.62567922222222,23.17379485416667,23.386200666666667,5.203010358333334,5.291419233333333,34.596876916666666,34.62612333333333,24.68249825,25.073411250000003,-1.7908707108333335,4.881802266666667,100.85066216666668,97.76028583333334,23.20314725,23.171178111111107,0.0033548739333333,,0.1548475958333333,,4.79592495,,24.281079451243084,23.30513588587443,34.660274505615234,0.1787029942497611,0.156351159637173,5.189501484235128,4.841038823127747,0.0247997030771027,99.47914950052898,5.234413226445516
X71510,5.0,33.99748778,-157.9733386,2017-09-21T12:00:00,AK2HI,DNA,,NPac,0.0991833333333333,,0.063948429,0.133,39.25493191493191,34.379071235666665,23.259160043416667,,,,,,,,,,,,,,,,,,,1771.9540000000002,1.974437775,0.3487866675,4.235656375,0.000723653055,0.004283235725,0.0001572226225,6.292143125000001,1.096476975,0.05243452425,8.31449785e-05,0.0874097289999999,0.0163091665,3.17248155e-07,1.3406208e-06,0.00598036025,2003.3279,215.181975,0.000108043775,0.0884700044916181,0.255872949026625,5.4685627404e-06,226.6915235519688,13.308132737875,0.0038142724442878,0.7970423419033438,0.0605775945587062,,,,,,,,,,,28.7827844375,33.0,30.200832,26.416668,5.210316933333334,5.290495066666668,34.60971960416666,34.974989,25.17237775,25.62567922222222,23.17379485416667,23.386200666666667,5.203010358333334,5.291419233333333,34.596876916666666,34.62612333333333,24.68249825,25.073411250000003,-1.7908707108333335,4.881802266666667,100.85066216666668,97.76028583333334,23.20314725,23.171178111111107,0.0033548739333333,,0.1548475958333333,,4.79592495,,24.281079451243084,23.30513588587443,34.660274505615234,0.1787029942497611,0.156351159637173,5.189501484235128,4.841038823127747,0.0247997030771027,99.47914950052898,5.234413226445516
X71511,5.0,33.99748778,-157.9733386,2017-09-21T12:00:00,AK2HI,DNA,,NPac,0.0991833333333333,,0.063948429,0.133,39.25493191493191,34.379071235666665,23.259160043416667,,,,,,,,,,,,,,,,,,,1771.9540000000002,1.974437775,0.3487866675,4.235656375,0.000723653055,0.004283235725,0.0001572226225,6.292143125000001,1.096476975,0.05243452425,8.31449785e-05,0.0874097289999999,0.0163091665,3.17248155e-07,1.3406208e-06,0.00598036025,2003.3279,215.181975,0.000108043775,0.0884700044916181,0.255872949026625,5.4685627404e-06,226.6915235519688,13.308132737875,0.0038142724442878,0.7970423419033438,0.0605775945587062,,,,,,,,,,,28.7827844375,33.0,30.200832,26.416668,5.210316933333334,5.290495066666668,34.60971960416666,34.974989,25.17237775,25.62567922222222,23.17379485416667,23.386200666666667,5.203010358333334,5.291419233333333,34.596876916666666,34.62612333333333,24.68249825,25.073411250000003,-1.7908707108333335,4.881802266666667,100.85066216666668,97.76028583333334,23.20314725,23.171178111111107,0.0033548739333333,,0.1548475958333333,,4.79592495,,24.281079451243084,23.30513588587443,34.660274505615234,0.1787029942497611,0.156351159637173,5.189501484235128,4.841038823127747,0.0247997030771027,99.47914950052898,5.234413226445516
