AUID_updt	AUID_OLD
AUID.106879	AUID.99722
AUID.137908	AUID.130025
AUID.125270	AUID.103214
AUID.129192	AUID.107659
AUID.65149	AUID.62798
AUID.138370	AUID.133878
AUID.135872	AUID.131603
AUID.139630	AUID.135017
AUID.98645	AUID.99020
AUID.136073	AUID.131785
AUID.137912	AUID.133463
AUID.138856	AUID.134320
AUID.4557	AUID.4083
AUID.3598	AUID.2878
AUID.4511	AUID.4041
AUID.3465	AUID.2758
AUID.4868	AUID.4375
AUID.6071	AUID.5223
AUID.4555	AUID.4081
AUID.9950	AUID.9419
AUID.3452	AUID.2746
AUID.3449	AUID.2744
AUID.4486	AUID.4017
AUID.123418	AUID.101529
AUID.3017	AUID.3585
AUID.10051	AUID.9511
AUID.100798	AUID.98236
AUID.89889	AUID.88426
AUID.103117	AUID.99401
AUID.52087	AUID.44902
AUID.7005	AUID.7596
AUID.14185	AUID.21838
AUID.7136	AUID.7717
AUID.98804	AUID.107053
AUID.125627	AUID.98615
AUID.98417	AUID.99001
AUID.136118	AUID.130149
AUID.124069	AUID.102120
AUID.5539	AUID.6242
AUID.123162	AUID.101297
AUID.44350	AUID.17897
AUID.104696	AUID.113461
AUID.130821	AUID.130961
AUID.125609	AUID.103524
AUID.2055	AUID.1552
AUID.1129	AUID.2035
AUID.124408	AUID.102428
AUID.137343	AUID.132947
AUID.126686	AUID.104507
AUID.120896	AUID.98378
AUID.5229	AUID.5958
AUID.129072	AUID.107549
AUID.143627	AUID.130801
AUID.124166	AUID.102207
AUID.138778	AUID.130369
AUID.130755	AUID.130955
AUID.138479	AUID.130344
AUID.139176	AUID.130406
AUID.119175	AUID.100789
AUID.123695	AUID.101780
AUID.123163	AUID.101298
AUID.125572	AUID.103492
AUID.126942	AUID.104741
AUID.138586	AUID.130353
AUID.143802	AUID.130068
AUID.123197	AUID.98415
AUID.137289	AUID.132898
AUID.9184	AUID.5697
AUID.506	AUID.534
AUID.7988	AUID.5117
AUID.125942	AUID.98642
AUID.107554	AUID.99781
AUID.137833	AUID.133392
AUID.136373	AUID.132063
AUID.12794	AUID.11348
AUID.25724	AUID.12690
AUID.65339	AUID.73474
AUID.127885	AUID.105601
AUID.139672	AUID.130449
AUID.129557	AUID.98939
AUID.104697	AUID.113462
AUID.108504	AUID.99863
AUID.3755	AUID.3018
AUID.82782	AUID.67054
AUID.124001	AUID.102058
AUID.127275	AUID.98749
AUID.103464	AUID.99430
AUID.6360	AUID.5246
AUID.136892	AUID.132538
AUID.138510	AUID.130347
AUID.139596	AUID.130038
AUID.101011	AUID.110115
AUID.103747	AUID.112597
AUID.138932	AUID.130383
AUID.137012	AUID.132647
AUID.88910	AUID.87505
AUID.2921	AUID.2628
AUID.77762	AUID.61968
AUID.123974	AUID.98483
AUID.98038	AUID.97992
AUID.104802	AUID.113558
AUID.98568	AUID.99014
AUID.124357	AUID.102382
AUID.125847	AUID.103741
AUID.126688	AUID.104509
AUID.137145	AUID.130230
AUID.129201	AUID.107666
AUID.128306	AUID.98835
AUID.111888	AUID.100148
AUID.82133	AUID.62214
AUID.69947	AUID.61814
AUID.38449	AUID.10633
AUID.24547	AUID.12566
AUID.89298	AUID.87873
AUID.100711	AUID.99195
AUID.123500	AUID.101604
AUID.136206	AUID.131908
AUID.89136	AUID.86337
AUID.104835	AUID.99545
AUID.102226	AUID.99325
AUID.8049	AUID.8556
AUID.143694	AUID.130807
AUID.125276	AUID.103220
AUID.113848	AUID.100315
AUID.123287	AUID.101409
AUID.123773	AUID.101849
AUID.127833	AUID.98795
AUID.56073	AUID.55660
AUID.125048	AUID.103009
AUID.114546	AUID.100377
AUID.123678	AUID.101764
AUID.124668	AUID.102663
AUID.33928	AUID.39192
AUID.173790	AUID.172831
AUID.139600	AUID.134990
AUID.144350	AUID.130864
AUID.103949	AUID.112781
AUID.124932	AUID.102903
AUID.68215	AUID.63038
AUID.111789	AUID.100139
AUID.123526	AUID.98443
AUID.123247	AUID.98420
AUID.123920	AUID.98478
AUID.123063	AUID.98403
AUID.117600	AUID.100647
AUID.102128	AUID.99317
AUID.104367	AUID.99507
AUID.126193	AUID.98662
AUID.102977	AUID.99390
AUID.104779	AUID.99540
AUID.102988	AUID.99391
AUID.125511	AUID.98605
AUID.5454	AUID.6164
AUID.111127	AUID.100082
AUID.123243	AUID.101369
AUID.136679	AUID.132343
AUID.123590	AUID.98449
AUID.9376	AUID.9605
AUID.9361	AUID.9591
AUID.44351	AUID.17898
AUID.126860	AUID.98716
AUID.74794	AUID.63556
AUID.123787	AUID.101862
AUID.130007	AUID.98978
AUID.139369	AUID.134781
AUID.137126	AUID.132749
AUID.5195	AUID.5926
AUID.139639	AUID.130446
AUID.135876	AUID.131607
AUID.123369	AUID.101485
AUID.124135	AUID.102179
AUID.104389	AUID.99509
AUID.140147	AUID.130489
AUID.136830	AUID.130202
AUID.5546	AUID.6248
AUID.1788	AUID.1314
AUID.104790	AUID.99541
AUID.168670	AUID.150071
AUID.164857	AUID.147236
AUID.2018	AUID.1519
AUID.90195	AUID.86412
AUID.1289	AUID.1176
AUID.1526	AUID.1199
AUID.2226	AUID.1123
AUID.1193	AUID.1168
AUID.138205	AUID.130320
AUID.1895	AUID.1410
AUID.123151	AUID.101287
AUID.5141	AUID.5875
AUID.6593	AUID.5265
AUID.5114	AUID.5851
AUID.3606	AUID.2885
AUID.124962	AUID.102930
AUID.123732	AUID.101812
AUID.135855	AUID.131588
AUID.139683	AUID.130450
AUID.6022	AUID.6690
AUID.129380	AUID.107829
AUID.14216	AUID.21864
AUID.110094	AUID.99995
AUID.111094	AUID.100080
AUID.136189	AUID.131893
AUID.59187	AUID.57085
AUID.122261	AUID.101050
AUID.111626	AUID.100125
AUID.136764	AUID.132420
AUID.101026	AUID.110128
AUID.98885	AUID.107126
AUID.130831	AUID.130962
AUID.111168	AUID.100086
AUID.98827	AUID.99035
AUID.104735	AUID.99536
AUID.117446	AUID.100633
AUID.116595	AUID.100559
AUID.132831	AUID.131142
AUID.13481	AUID.21212
AUID.18546	AUID.25701
AUID.166613	AUID.148193
AUID.123018	AUID.101165
AUID.24524	AUID.30996
AUID.122033	AUID.101030
AUID.110312	AUID.100012
AUID.80283	AUID.62064
AUID.77018	AUID.61963
AUID.21872	AUID.28631
AUID.129503	AUID.98934
AUID.114975	AUID.100415
AUID.140685	AUID.135973
AUID.139445	AUID.134851
AUID.103286	AUID.112176
AUID.102922	AUID.99386
AUID.90077	AUID.88597
AUID.93564	AUID.91805
AUID.116606	AUID.100560
AUID.104235	AUID.113041
AUID.127735	AUID.105465
AUID.125433	AUID.103363
AUID.141121	AUID.130577
AUID.135857	AUID.131590
AUID.134610	AUID.131300
AUID.141088	AUID.130574
AUID.136868	AUID.132516
AUID.124622	AUID.102621
AUID.3850	AUID.3101
AUID.63492	AUID.62670
AUID.3486	AUID.2779
AUID.10021	AUID.9482
AUID.123315	AUID.101435
AUID.6756	AUID.5277
AUID.124908	AUID.98561
AUID.123405	AUID.101517
AUID.113656	AUID.100298
AUID.124996	AUID.102961
AUID.156860	AUID.144765
AUID.102759	AUID.98252
AUID.123770	AUID.98466
AUID.108615	AUID.99873
AUID.127181	AUID.98742
AUID.2863	AUID.3448
AUID.9468	AUID.9349
AUID.124072	AUID.102123
AUID.166381	AUID.144896
AUID.112895	AUID.100233
AUID.63271	AUID.62651
AUID.10103	AUID.9568
AUID.120743	AUID.100924
AUID.123037	AUID.101183
AUID.138068	AUID.133605
AUID.6235	AUID.6883
AUID.168255	AUID.149691
AUID.136563	AUID.132236
AUID.137194	AUID.132812
AUID.140622	AUID.130531
AUID.111800	AUID.100140
AUID.166189	AUID.147806
AUID.102999	AUID.99392
AUID.4752	AUID.4268
AUID.123406	AUID.101518
AUID.135964	AUID.130136
AUID.131446	AUID.131017
AUID.148680	AUID.145720
AUID.140870	AUID.130554
AUID.141863	AUID.130052
AUID.138223	AUID.130028
AUID.165497	AUID.147294
AUID.132345	AUID.131098
AUID.136027	AUID.130142
AUID.130183	AUID.130902
AUID.138175	AUID.130318
AUID.130393	AUID.130921
AUID.141647	AUID.130622
AUID.128149	AUID.105838
AUID.39485	AUID.14560
AUID.5436	AUID.6147
AUID.8908	AUID.5444
AUID.145345	AUID.145425
AUID.127051	AUID.104840
AUID.126651	AUID.104477
AUID.129197	AUID.98910
AUID.143256	AUID.130767
AUID.9154	AUID.5669
AUID.90691	AUID.89159
AUID.124486	AUID.102498
AUID.122942	AUID.101114
AUID.123931	AUID.98479
AUID.136457	AUID.132139
AUID.124680	AUID.102673
AUID.101298	AUID.99243
AUID.99689	AUID.99107
AUID.123803	AUID.101877
AUID.139029	AUID.130392
AUID.139604	AUID.134994
AUID.4558	AUID.4084
AUID.142630	AUID.130709
AUID.144155	AUID.130848
AUID.138418	AUID.133922
AUID.137920	AUID.130296
AUID.138983	AUID.134434
AUID.95794	AUID.86818
AUID.140644	AUID.130533
AUID.141703	AUID.136893
AUID.138639	AUID.130357
AUID.136190	AUID.131894
AUID.137129	AUID.132752
AUID.124804	AUID.98553
AUID.101993	AUID.111005
AUID.103778	AUID.112625
AUID.4744	AUID.4261
AUID.143450	AUID.130785
AUID.137897	AUID.130294
AUID.135919	AUID.131646
AUID.144166	AUID.130849
AUID.137931	AUID.130297
AUID.142927	AUID.130060
AUID.135704	AUID.130116
AUID.142290	AUID.130056
AUID.8843	AUID.5421
AUID.123897	AUID.101963
AUID.166333	AUID.147936
AUID.163359	AUID.147095
AUID.124564	AUID.102569
AUID.12234	AUID.11291
AUID.124085	AUID.98492
AUID.10073	AUID.9533
AUID.127466	AUID.105218
AUID.100140	AUID.109323
AUID.99412	AUID.108659
AUID.125709	AUID.103614
AUID.124998	AUID.102962
AUID.1796	AUID.1321
AUID.1178	AUID.2078
AUID.2190	AUID.1673
AUID.2117	AUID.1608
AUID.118074	AUID.100690
AUID.2437	AUID.1145
AUID.1701	AUID.1236
AUID.2262	AUID.1737
AUID.99922	AUID.109126
AUID.123387	AUID.101502
AUID.6171	AUID.6825
AUID.2367	AUID.1138
AUID.1740	AUID.1270
AUID.2098	AUID.1591
AUID.5447	AUID.6158
AUID.5630	AUID.6326
AUID.48870	AUID.44988
AUID.139847	AUID.135213
AUID.77794	AUID.63779
AUID.127202	AUID.98743
AUID.126813	AUID.98712
AUID.98805	AUID.99033
AUID.137812	AUID.133373
AUID.99941	AUID.98231
AUID.123008	AUID.101156
AUID.124625	AUID.102624
AUID.5671	AUID.6365
AUID.114710	AUID.100391
AUID.129385	AUID.107834
AUID.123013	AUID.98399
AUID.154302	AUID.146230
AUID.5209	AUID.5939
AUID.5283	AUID.6005
AUID.137612	AUID.130271
AUID.143255	AUID.130063
AUID.161002	AUID.146869
AUID.126697	AUID.104517
AUID.87347	AUID.86942
AUID.1859	AUID.1377
AUID.2349	AUID.1136
AUID.70209	AUID.63196
AUID.156586	AUID.146451
AUID.124007	AUID.102063
AUID.119567	AUID.100822
AUID.124170	AUID.98500
AUID.132028	AUID.131070
AUID.131231	AUID.130999
AUID.8209	AUID.8702
AUID.6141	AUID.6799
AUID.5133	AUID.5868
AUID.136005	AUID.130140
AUID.75427	AUID.61952
AUID.101933	AUID.99299
AUID.1274	AUID.2165
AUID.2165	AUID.1650
AUID.2051	AUID.1548
AUID.106902	AUID.99724
AUID.138837	AUID.134302
AUID.134699	AUID.131308
AUID.103691	AUID.99450
AUID.106589	AUID.99696
AUID.5908	AUID.6585
AUID.125654	AUID.103565
AUID.139923	AUID.130041
AUID.136423	AUID.130171
AUID.79333	AUID.61982
AUID.85157	AUID.62446
AUID.80321	AUID.62067
AUID.80728	AUID.62098
AUID.132100	AUID.141412
AUID.85478	AUID.62472
AUID.137071	AUID.132701
AUID.159037	AUID.146680
AUID.139444	AUID.130428
AUID.81442	AUID.62157
AUID.131646	AUID.131036
AUID.88639	AUID.87251
AUID.103083	AUID.111993
AUID.136076	AUID.131788
AUID.172410	AUID.172337
AUID.128833	AUID.98879
AUID.124603	AUID.102604
AUID.2858	AUID.3444
AUID.5493	AUID.6200
AUID.80077	AUID.64585
AUID.78184	AUID.61971
AUID.2590	AUID.3205
AUID.6672	AUID.5107
AUID.93230	AUID.91500
AUID.7173	AUID.5110
AUID.124716	AUID.102706
AUID.84509	AUID.68637
AUID.125817	AUID.103713
AUID.3454	AUID.2748
AUID.124008	AUID.102064
AUID.20459	AUID.27385
AUID.13414	AUID.21151
AUID.24052	AUID.30571
AUID.5115	AUID.5852
AUID.6427	AUID.5252
AUID.9301	AUID.5806
AUID.8581	AUID.5404
AUID.7534	AUID.5326
AUID.117457	AUID.100634
AUID.140753	AUID.130543
AUID.2783	AUID.2611
AUID.3639	AUID.2914
AUID.3591	AUID.2556
AUID.135663	AUID.131410
AUID.17305	AUID.24595
AUID.19315	AUID.26379
AUID.41344	AUID.10734
AUID.13428	AUID.21164
AUID.16906	AUID.24242
AUID.34635	AUID.13718
AUID.44199	AUID.17763
AUID.11433	AUID.19397
AUID.13126	AUID.11381
AUID.26246	AUID.12755
AUID.11926	AUID.19834
AUID.24792	AUID.31238
AUID.42720	AUID.16441
AUID.43440	AUID.17080
AUID.10245	AUID.16646
AUID.42664	AUID.10863
AUID.125117	AUID.103073
AUID.124115	AUID.102162
AUID.124806	AUID.102788
AUID.139051	AUID.130394
AUID.811	AUID.91
AUID.14746	AUID.22329
AUID.22182	AUID.28914
AUID.124468	AUID.102482
AUID.129934	AUID.108332
AUID.42632	AUID.16361
AUID.130211	AUID.139203
AUID.10673	AUID.18720
AUID.8943	AUID.5477
AUID.9185	AUID.5698
AUID.5224	AUID.5953
AUID.4358	AUID.3972
AUID.123167	AUID.101301
AUID.124566	AUID.102571
AUID.113469	AUID.100282
AUID.126429	AUID.104275
AUID.124906	AUID.102880
AUID.136678	AUID.130190
AUID.9149	AUID.5664
AUID.123640	AUID.101730
AUID.21691	AUID.28483
AUID.99423	AUID.108669
AUID.5321	AUID.6041
AUID.50135	AUID.45096
AUID.172500	AUID.172417
AUID.111878	AUID.100147
AUID.102848	AUID.111777
AUID.125352	AUID.103290
AUID.108314	AUID.99847
AUID.89607	AUID.88165
AUID.125143	AUID.103097
AUID.104000	AUID.112827
AUID.128577	AUID.98858
AUID.100583	AUID.98234
AUID.4612	AUID.4137
AUID.138319	AUID.133831
AUID.3686	AUID.2957
AUID.2717	AUID.2605
AUID.3470	AUID.2763
AUID.137530	AUID.133117
AUID.128812	AUID.98877
AUID.123032	AUID.101179
AUID.5147	AUID.5881
AUID.101974	AUID.99303
AUID.250	AUID.309
AUID.138734	AUID.134211
AUID.78100	AUID.63801
AUID.5334	AUID.6052
AUID.126978	AUID.98727
AUID.123374	AUID.101489
AUID.124585	AUID.102588
AUID.123456	AUID.101564
AUID.9144	AUID.5660
AUID.8982	AUID.5513
AUID.128647	AUID.106294
AUID.9000	AUID.5528
AUID.124448	AUID.102464
AUID.105113	AUID.113840
AUID.8981	AUID.5512
AUID.66739	AUID.62920
AUID.100395	AUID.99168
AUID.174410	AUID.172772
AUID.99736	AUID.108957
AUID.122985	AUID.101134
AUID.9616	AUID.9829
AUID.126661	AUID.104485
AUID.44742	AUID.18241
AUID.124935	AUID.102906
AUID.109139	AUID.99917
AUID.125081	AUID.103039
AUID.130238	AUID.130907
AUID.119208	AUID.100792
AUID.128644	AUID.106291
AUID.125543	AUID.103465
AUID.98969	AUID.98227
AUID.127678	AUID.98783
AUID.2869	AUID.3453
AUID.173020	AUID.172787
AUID.87881	AUID.86983
AUID.174332	AUID.172768
AUID.172998	AUID.172786
AUID.119284	AUID.100798
AUID.127663	AUID.105397
AUID.12338	AUID.20197
AUID.137254	AUID.130239
AUID.141730	AUID.136918
AUID.43988	AUID.17574
AUID.119077	AUID.100780
AUID.12554	AUID.20389
AUID.11231	AUID.19215
AUID.42232	AUID.16004
AUID.9324	AUID.5828
AUID.149544	AUID.145799
AUID.15704	AUID.11653
AUID.6011	AUID.6679
AUID.5914	AUID.6591
AUID.100603	AUID.99185
AUID.59196	AUID.57094
AUID.123094	AUID.98406
AUID.123535	AUID.98444
AUID.124544	AUID.102551
AUID.9216	AUID.5727
AUID.1945	AUID.1454
AUID.1497	AUID.1196
AUID.1901	AUID.1415
AUID.1733	AUID.1264
AUID.1863	AUID.1381
AUID.1833	AUID.1085
AUID.2237	AUID.1714
AUID.2485	AUID.1935
AUID.1056	AUID.1064
AUID.1717	AUID.1074
AUID.124629	AUID.102627
AUID.2388	AUID.1140
AUID.1417	AUID.1189
AUID.1781	AUID.1307
AUID.1773	AUID.1300
AUID.5722	AUID.6413
AUID.3923	AUID.4594
AUID.2358	AUID.1137
AUID.1839	AUID.1359
AUID.1489	AUID.1195
AUID.1996	AUID.1101
AUID.1653	AUID.1211
AUID.1811	AUID.1083
AUID.2327	AUID.1062
AUID.1736	AUID.1076
AUID.2309	AUID.1132
AUID.1694	AUID.1230
AUID.2019	AUID.1520
AUID.1754	AUID.1283
AUID.2317	AUID.1133
AUID.2487	AUID.1936
AUID.2275	AUID.1128
AUID.1768	AUID.1079
AUID.2328	AUID.1134
AUID.1820	AUID.1343
AUID.2455	AUID.1147
AUID.1954	AUID.1462
AUID.2146	AUID.1633
AUID.1965	AUID.1472
AUID.1252	AUID.1174
AUID.2107	AUID.1599
AUID.1713	AUID.1247
AUID.1652	AUID.1070
AUID.2015	AUID.1517
AUID.2111	AUID.1602
AUID.1153	AUID.1065
AUID.1783	AUID.1309
AUID.1703	AUID.1238
AUID.2445	AUID.1146
AUID.1154	AUID.1164
AUID.1686	AUID.1222
AUID.1516	AUID.1198
AUID.1786	AUID.1312
AUID.2040	AUID.1538
AUID.2000	AUID.1503
AUID.2333	AUID.1799
AUID.1724	AUID.1256
AUID.1815	AUID.1338
AUID.1829	AUID.1350
AUID.2038	AUID.1105
AUID.1094	AUID.1158
AUID.2161	AUID.1647
AUID.2016	AUID.1103
AUID.1803	AUID.1327
AUID.1919	AUID.1431
AUID.1163	AUID.1165
AUID.1825	AUID.1346
AUID.1763	AUID.1291
AUID.1590	AUID.1205
AUID.1726	AUID.1075
AUID.2256	AUID.1731
AUID.1929	AUID.1094
AUID.1808	AUID.1332
AUID.2428	AUID.1144
AUID.1976	AUID.1482
AUID.1641	AUID.1210
AUID.2369	AUID.1831
AUID.2261	AUID.1736
AUID.1718	AUID.1250
AUID.2283	AUID.1129
AUID.1547	AUID.1069
AUID.1084	AUID.1157
AUID.1897	AUID.1091
AUID.2109	AUID.1112
AUID.1758	AUID.1286
AUID.1300	AUID.1177
AUID.1858	AUID.1376
AUID.2504	AUID.1952
AUID.1756	AUID.1285
AUID.1707	AUID.1241
AUID.2269	AUID.1743
AUID.2056	AUID.1107
AUID.1951	AUID.1459
AUID.1609	AUID.1207
AUID.1182	AUID.1167
AUID.2397	AUID.1141
AUID.2378	AUID.1139
AUID.2118	AUID.1609
AUID.2068	AUID.1563
AUID.2001	AUID.1504
AUID.1709	AUID.1243
AUID.1687	AUID.1223
AUID.102867	AUID.99381
AUID.114832	AUID.100402
AUID.1978	AUID.1099
AUID.4671	AUID.4194
AUID.1888	AUID.1403
AUID.1843	AUID.1086
AUID.1310	AUID.1178
AUID.2072	AUID.1567
AUID.2166	AUID.1651
AUID.5343	AUID.6060
AUID.1806	AUID.1330
AUID.1862	AUID.1380
AUID.41721	AUID.15547
AUID.9999	AUID.9461
AUID.98925	AUID.99043
AUID.98687	AUID.99023
AUID.8990	AUID.5519
AUID.137710	AUID.133281
AUID.161769	AUID.144805
AUID.137024	AUID.132658
AUID.116092	AUID.100515
AUID.148740	AUID.145726
AUID.1785	AUID.1311
AUID.19753	AUID.26762
AUID.115329	AUID.100445
AUID.3876	AUID.3125
AUID.8845	AUID.9291
AUID.98559	AUID.106829
AUID.132864	AUID.131145
AUID.136459	AUID.132141
AUID.3769	AUID.3030
AUID.91138	AUID.86491
AUID.9281	AUID.5787
AUID.151046	AUID.144725
AUID.8644	AUID.5407
AUID.99588	AUID.108820
AUID.139852	AUID.135218
AUID.124119	AUID.102165
AUID.114612	AUID.100383
AUID.104117	AUID.99487
AUID.101529	AUID.99263
AUID.116989	AUID.98350
AUID.162652	AUID.147029
AUID.123207	AUID.98416
AUID.110640	AUID.100040
AUID.137358	AUID.130249
AUID.136444	AUID.130173
AUID.141978	AUID.130653
AUID.130459	AUID.130927
AUID.9313	AUID.5817
AUID.7513	AUID.5324
AUID.6963	AUID.5287
AUID.58100	AUID.58528
AUID.125019	AUID.98572
AUID.17703	AUID.24951
AUID.43180	AUID.16851
AUID.40255	AUID.10663
AUID.1911	AUID.1424
AUID.121009	AUID.100946
AUID.35605	AUID.10575
AUID.35897	AUID.13950
AUID.11686	AUID.19620
AUID.141841	AUID.130640
AUID.168057	AUID.149513
AUID.5984	AUID.6656
AUID.3774	AUID.2575
AUID.9674	AUID.9881
AUID.169115	AUID.145111
AUID.176162	AUID.175670
AUID.3596	AUID.2876
AUID.5314	AUID.6034
AUID.89070	AUID.87658
AUID.88439	AUID.87065
AUID.106544	AUID.99692
AUID.99194	AUID.99067
AUID.102679	AUID.111624
AUID.126203	AUID.98663
AUID.123792	AUID.101866
AUID.142971	AUID.130742
AUID.120787	AUID.100927
AUID.135921	AUID.131647
AUID.1128	AUID.2034
AUID.126548	AUID.104382
AUID.138893	AUID.134352
AUID.9182	AUID.5695
AUID.7978	AUID.5361
AUID.124238	AUID.102273
AUID.59975	AUID.59512
AUID.57093	AUID.56842
AUID.59335	AUID.57218
AUID.105603	AUID.99613
AUID.157715	AUID.146559
AUID.17134	AUID.24447
AUID.44116	AUID.17690
AUID.20711	AUID.12180
AUID.28414	AUID.34414
AUID.27750	AUID.33835
AUID.126549	AUID.104383
AUID.79516	AUID.61997
AUID.124724	AUID.102713
AUID.119732	AUID.100837
AUID.137197	AUID.132815
AUID.10070	AUID.9530
AUID.31173	AUID.36842
AUID.172205	AUID.172156
AUID.136786	AUID.132441
AUID.124980	AUID.102946
AUID.5222	AUID.5951
AUID.9790	AUID.9991
AUID.130469	AUID.130928
AUID.124742	AUID.102730
AUID.6294	AUID.6939
AUID.162521	AUID.147017
AUID.101804	AUID.99287
AUID.128018	AUID.98812
AUID.129974	AUID.98975
AUID.29215	AUID.35128
AUID.57061	AUID.57578
AUID.73419	AUID.63454
AUID.136018	AUID.131735
AUID.115405	AUID.100452
AUID.136577	AUID.132249
AUID.123777	AUID.101853
AUID.129011	AUID.107494
AUID.6029	AUID.5220
AUID.32196	AUID.13405
AUID.36698	AUID.14047
AUID.335	AUID.47
