SAMPLEID,StudyID,Run,SRA_Study,BioProject,BioSample,Sample_Name,Sample_Name_2,Region,Collection_Date,Time,Depth,Station,geo_loc_name,Lat_Lon,Latitude,Longitude,LibraryName,LibrarySelection,LibrarySource,Size_fraction,Sample_Type
DRR090493,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078351,SAMD00078351,MR15-03_St006_35m,NA,2015-9-7,NA,35m,NA,Arctic Ocean,68 N 168.45 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR090494,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078352,SAMD00078352,MR15-03_St013_0m,NA,2015-9-8,NA,0m,NA,Arctic Ocean,71.21 N 157.40 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR090495,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078353,SAMD00078353,MR15-03_St013_8m,NA,2015-9-8,NA,8m,NA,Arctic Ocean,71.21 N 157.40 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR090496,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078354,SAMD00078354,MR15-03_St013_18m,NA,2015-9-8,NA,18m,NA,Arctic Ocean,71.21 N 157.40 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR090497,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078355,SAMD00078355,MR15-03_St013_28m,NA,2015-9-8,NA,28m,NA,Arctic Ocean,71.21 N 157.40 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR090498,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078356,SAMD00078356,MR15-03_St039_0m,NA,2015-9-14,NA,0m,NA,Arctic Ocean,72.23 N 155.23 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR090499,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078357,SAMD00078357,MR15-03_St054_0m,NA,2015-9-18,NA,0m,NA,Arctic Ocean,72.28 N 155.23 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR090500,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078358,SAMD00078358,MR15-03_St056_0m,NA,2015-9-20,NA,0m,NA,Arctic Ocean,72.17 N 155.59 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR090501,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078359,SAMD00078359,MR15-03_St056_12m,NA,2015-9-20,NA,12m,NA,Arctic Ocean,72.17 N 155.59 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR090502,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078360,SAMD00078360,MR15-03_St056_28m,NA,2015-9-20,NA,28m,NA,Arctic Ocean,72.17 N 155.59 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR090503,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078361,SAMD00078361,MR15-03_St056_45m,NA,2015-9-20,NA,45m,NA,Arctic Ocean,72.17 N 155.59 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR090504,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078362,SAMD00078362,MR15-03_St062_0m,NA,2015-9-22,NA,0m,NA,Arctic Ocean,71.50 N 153.50 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR090505,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078363,SAMD00078363,MR15-03_St062_20m,NA,2015-9-22,NA,20m,NA,Arctic Ocean,71.50 N 153.50 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR090506,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078364,SAMD00078364,MR15-03_St062_40m,NA,2015-9-22,NA,40m,NA,Arctic Ocean,71.50 N 153.50 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR090507,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078365,SAMD00078365,MR15-03_St062_63m,NA,2015-9-22,NA,63m,NA,Arctic Ocean,71.50 N 153.50 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR090509,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078367,SAMD00078367,MR15-03_St108_0m,NA,2015-10-3,NA,0m,NA,Arctic Ocean,67 N 168.45 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR090510,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078368,SAMD00078368,MR15-03_St108_15m,NA,2015-10-3,NA,15m,NA,Arctic Ocean,67 N 168.45 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR090511,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078369,SAMD00078369,MR15-03_St108_26m,NA,2015-10-3,NA,26m,NA,Arctic Ocean,67 N 168.45 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR090512,Shiozaki_2018LNO,NA,DRP004241,PRJDB5679,SAMD00078370,SAMD00078370,MR15-03_St108_35m,NA,2015-10-3,NA,35m,NA,Arctic Ocean,67 N 168.45 W,NA,NA,NA,PCR,METAGENOMIC,NA,NA
DRR205311,Shiozaki_2020,NA,DRP006696,PRJDB9222,SAMD00200999,SAMD00200999,JARE60_StaT_DNA,NA,2019-1-13,NA,0m,NA,Southern Ocean,69.48 S 39.59 E,NA,NA,nifH gene at StaT,PCR,METAGENOMIC,NA,simple
DRR205313,Shiozaki_2020,NA,DRP006696,PRJDB9222,SAMD00201001,SAMD00201001,JARE60_StaA_DNA,NA,2019-1-27,NA,0m,NA,Southern Ocean,69.01 S 39.23 E,NA,NA,nifH gene at StaA,PCR,METAGENOMIC,NA,simple
DRR205314,Shiozaki_2020,NA,DRP006696,PRJDB9222,SAMD00201002,SAMD00201002,JARE60_StaB_DNA,NA,2019-2-3,NA,0m,NA,Southern Ocean,68.72 S 38.65 E,NA,NA,nifH gene at StaB,PCR,METAGENOMIC,NA,simple
