Study,ReadsPipeline,ReadsGatherAsvs,ReadsFilterAuids.SmallSamp,ReadsFilterAuids.Rare,ReadsFilterAuids.NonNifH,ReadsFilterAuids.Length,ReadsWorkspaceStartup.noAnnot,PctRetained
AK2HI,3.3e+04,3.3e+04,3.3e+04,3.3e+04,3.2e+04,3.0e+04,2.9e+04,88
BentzonTilia_2015,4.1e+03,4.1e+03,4.2e+03,3.2e+03,3.2e+03,3.2e+03,3.2e+03,75
Ding_2021,4.9e+04,4.9e+04,4.9e+04,4.6e+04,4.6e+04,4.5e+04,4.5e+04,92
Gradoville_2020,2.4e+04,2.3e+04,2.3e+04,2.2e+04,2.2e+04,2.1e+04,2.0e+04,80
Hallstrom_2021,1.4e+05,1.4e+05,1.4e+05,1.3e+05,1.3e+05,1.2e+05,1.2e+05,92
Hallstrom_2022,6.6e+04,6.5e+04,9.2e+04,9.0e+04,9.0e+04,8.8e+04,8.7e+04,96
Harding_2018,2.7e+04,2.6e+04,2.6e+04,2.4e+04,2.4e+04,2.1e+04,1.8e+04,66
Mulholland_2018,1.0e+05,1.0e+05,1.0e+05,9.8e+04,9.6e+04,9.1e+04,8.7e+04,79
NEMO,3.4e+04,3.4e+04,3.4e+04,3.3e+04,3.3e+04,3.1e+04,3.1e+04,85
Raes_2020,6.5e+04,6.5e+04,6.5e+04,6.1e+04,6.1e+04,6.0e+04,5.9e+04,73
Sato_2021,2.9e+04,2.7e+04,2.7e+04,2.2e+04,2.0e+04,1.5e+04,1.4e+04,44
Selden_2021,8.0e+04,8.0e+04,8.0e+04,6.0e+04,5.2e+04,4.9e+04,4.5e+04,52
Shiozaki_2017,1.6e+04,1.6e+04,1.6e+04,1.5e+04,1.5e+04,1.4e+04,1.4e+04,80
Shiozaki_2018GBC,2.2e+04,2.2e+04,2.2e+04,2.1e+04,2.1e+04,2.1e+04,2.1e+04,90
Shiozaki_2018LNO,4.8e+04,4.8e+04,4.8e+04,4.6e+04,4.6e+04,4.6e+04,4.6e+04,95
Shiozaki_2020,1.4e+05,1.4e+05,1.4e+05,1.4e+05,1.4e+05,1.4e+05,1.4e+05,76
Tang_2020,3.4e+04,3.4e+04,3.4e+04,3.3e+04,3.3e+04,3.3e+04,3.3e+04,97
TianjUni_2016,5.2e+04,5.2e+04,5.2e+04,4.8e+04,4.8e+04,4.8e+04,4.8e+04,93
TianjUni_2017,4.2e+04,4.2e+04,4.2e+04,4.1e+04,4.1e+04,4.1e+04,4.1e+04,96
Turk_2021,3.6e+04,3.5e+04,3.5e+04,3.5e+04,3.5e+04,3.4e+04,3.3e+04,92
mean,5.0e+04,4.9e+04,5.1e+04,4.8e+04,4.7e+04,4.6e+04,4.6e+04,81
median,3.0e+04,3.0e+04,3.1e+04,3.0e+04,2.9e+04,2.8e+04,2.8e+04,93
sum,4.9e+07,4.8e+07,4.8e+07,4.6e+07,4.5e+07,4.4e+07,4.3e+07,NA
