StudyID,SAMPLEID,lat,lon,classification
Shiozaki_2020,DRR205311,-69.48,39.59,coastal
Shiozaki_2020,DRR205313,-69.01,39.23,coastal
Shiozaki_2020,DRR205314,-68.72,38.65,coastal
Shiozaki_2020,DRR205318,-67.48,37.08,open ocean
Shiozaki_2020,DRR205321,-66.47,49.52,coastal
Raes_2020,SRR10759676,-66.333,-169.9982,open ocean
Raes_2020,SRR10759587,-64.5046,-169.9906,open ocean
Raes_2020,SRR10759565,-63.0042,-170.0371,open ocean
Raes_2020,SRR10759554,-62.4988,-169.9979,open ocean
Raes_2020,SRR10759647,-61.492,-169.9923,open ocean
Raes_2020,SRR10759663,-58.9972,-170.0005,open ocean
Raes_2020,SRR10759617,-57.9989,-170.006,open ocean
Raes_2020,SRR10759604,-57.0086,-170.0007,open ocean
Raes_2020,SRR10759603,-56.4931,-170.0081,open ocean
Raes_2020,SRR10759602,-55.9861,-170.0183,open ocean
Raes_2020,SRR10759601,-55.501,-169.9884,open ocean
Raes_2020,SRR10759600,-55.0001,-169.9911,open ocean
Raes_2020,SRR10759599,-54.4982,-170.0027,open ocean
Raes_2020,SRR10759597,-53.9904,-169.9482,open ocean
Raes_2020,SRR10759596,-53.502,-169.9878,open ocean
Raes_2020,SRR10759595,-53.0035,-170.0136,open ocean
Raes_2020,SRR10759594,-52.5031,-169.9822,open ocean
Raes_2020,SRR10759593,-52.0028,-170.0692,open ocean
Raes_2020,SRR10759592,-51.4929,-170.0117,open ocean
Raes_2020,SRR10759591,-51.0004,-170.016,open ocean
Raes_2020,SRR10759589,-50.0101,-169.9894,open ocean
Raes_2020,SRR10759588,-49.4921,-170.016,open ocean
Raes_2020,SRR10759585,-48.5082,-170.0036,open ocean
Raes_2020,SRR10759584,-47.9897,-169.9911,open ocean
Raes_2020,SRR10759583,-47.488,-169.9835,open ocean
Raes_2020,SRR10759582,-47.1152,-170.4692,open ocean
Raes_2020,SRR10759581,-46.7122,-170.9118,open ocean
Raes_2020,SRR10759580,-46.3308,-171.3738,open ocean
Raes_2020,SRR10759579,-45.1763,-172.7338,open ocean
Raes_2020,SRR10759578,-44.8347,-173.1415,open ocean
Raes_2020,SRR10759577,-44.5186,-173.5019,open ocean
Raes_2020,SRR10759575,-44.3277,-173.7481,open ocean
Raes_2020,SRR10759573,-42.9327,-174.7838,open ocean
Raes_2020,SRR10759572,-42.7517,-174.6462,open ocean
Raes_2020,SRR10759571,-42.3962,-174.409,open ocean
Raes_2020,SRR10759570,-42.169,-174.2547,open ocean
Raes_2020,SRR10759569,-41.7277,-173.9514,open ocean
Raes_2020,SRR10759568,-41.2727,-173.6521,open ocean
Raes_2020,SRR10759567,-40.8355,-173.3296,open ocean
Raes_2020,SRR10759566,-40.3973,-173.022,open ocean
Raes_2020,SRR10759564,-39.9698,-172.7015,open ocean
Raes_2020,SRR10759563,-39.5154,-172.4141,open ocean
Raes_2020,SRR10759562,-39.0728,-172.1152,open ocean
Raes_2020,SRR10759561,-38.6346,-171.8062,open ocean
Raes_2020,SRR10759560,-38.1902,-171.5002,open ocean
Raes_2020,SRR10759559,-37.7601,-171.1973,open ocean
Raes_2020,SRR10759558,-36.8754,-170.5984,open ocean
Raes_2020,SRR10759557,-36.4507,-170.2936,open ocean
Raes_2020,SRR10759556,-36.007,-169.9949,open ocean
Raes_2020,SRR10759555,-35.6806,-170.0072,open ocean
Raes_2020,SRR10759553,-35.334,-170.003,open ocean
Shiozaki_2018GBC,KH.13.7.W08.100per.DNA,-35,-170,open ocean
Shiozaki_2018GBC,KH.13.7.W08.1per.DNA,-35,-170,open ocean
Shiozaki_2018GBC,KH.13.7.W08.25per.DNA,-35,-170,open ocean
Raes_2020,SRR10759551,-34.5019,-170.0023,open ocean
Raes_2020,SRR10759550,-33.9843,-169.9947,open ocean
Raes_2020,SRR10759548,-32.9951,-170.0026,open ocean
Raes_2020,SRR10759547,-32.4948,-169.9904,open ocean
Raes_2020,SRR10759546,-32.0013,-169.9936,open ocean
Raes_2020,SRR10759660,-31.4895,-169.9788,open ocean
Raes_2020,SRR10759659,-31.0006,-169.9959,open ocean
Raes_2020,SRR10759657,-30.5042,-169.9937,open ocean
Shiozaki_2018GBC,KH.13.7.W07.100per.DNA,-30,-170,open ocean
Shiozaki_2018GBC,KH.13.7.W07.100per.RNA,-30,-170,open ocean
Shiozaki_2018GBC,KH.13.7.W07.25per.DNA,-30,-170,open ocean
Shiozaki_2018GBC,KH.11.10.E18.100per.DNA,-30,-107,open ocean
Shiozaki_2018GBC,KH.11.10.E17.100per.DNA,-29.99,-120,open ocean
Shiozaki_2018GBC,KH.11.10.E17.25per.DNA,-29.99,-120,open ocean
Raes_2020,SRR10759656,-29.9597,-169.9798,open ocean
Raes_2020,SRR10759655,-29.499,-169.9957,open ocean
Raes_2020,SRR10759654,-28.9991,-169.9838,open ocean
Raes_2020,SRR10759653,-28.5012,-169.9972,open ocean
Raes_2020,SRR10759652,-27.266,-169.9974,open ocean
Shiozaki_2018GBC,KH.11.10.E16.100per.DNA,-26.5,-120,open ocean
Shiozaki_2018GBC,KH.11.10.E16.25per.DNA,-26.5,-120,open ocean
Raes_2020,SRR10759651,-26.4806,-169.9965,open ocean
