AUID_NEW,ARB2017.id,ARB2017.pctId,ARB2017.alen,ARB2017.evalue,Genomes879.id,Genomes879.pctId,Genomes879.alen,Genomes879.evalue,Genomes879.tax,MarineDiazo.subject,MarineDiazo.pid,MarineDiazo.alen,MarineDiazo.evalue,MarineDiazo.description,AUID,UCYNA_oligos,qcovs,pident,evalue,bitscore,Genoes879.pid_flag,MarineDiazo.ID,consensus_id,subcluster,cluster,CON,nifH_cluster,group1,group2,group3,group4,CyanoCON,crocoCMB,CyanoGroups,CyanoGroupsII,CyanoGroupsIII,CyanoGroupsIV
AUID.1,AEA49330.1|uncultured_prokaryote,90.184,326,5.259999999999999e-119,Pseudomonas stutzeri,96.33,109,5.7e-75,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,NA,NA,NA,NA,NA,AUID.1,NA,NA,NA,NA,NA,NA,NA,unknown1G,1G,1,unknown1G,1G,1G,1G,1B 1J/1K,1B & 1G,1G,unknown1G,unknown1G,unknown1G,unknown1G,unknown1G
AUID.10,AEA49524.1|uncultured_prokaryote,99.691,324,1.3499999999999998e-169,Burkholderia unamae,96.296,108,9.649999999999999e-74,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,MAG_00070,99.385,325,8.399999999999997e-171,alpha 2,AUID.98,NA,NA,NA,NA,NA,NA,alpha 2;MAG_00070,alpha 2;MAG_00070,1K,1,alpha 2;MAG_00070,1J/1K,1J/1K,"1A,  3,  &  1J/1K",1B 1J/1K,1A/C3 1J/1K,1J/1K,alpha 2;MAG_00070,alpha 2;MAG_00070,alpha 2;MAG_00070,alpha 2;MAG_00070,alpha 2;MAG_00070
AUID.100,AHN50949.1|uncultured_bacterium,93.06,317,1.1099999999999998e-130,Pseudomonas stutzeri,96.33,109,3.23e-75,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,NA,NA,NA,NA,NA,AUID.179,NA,NA,NA,NA,NA,NA,NA,unknown1G,1G,1,unknown1G,1G,1G,1G,1B 1J/1K,1B & 1G,1G,unknown1G,unknown1G,unknown1G,unknown1G,unknown1G
AUID.1000,AFD03763.1|uncultured_bacterium,100,327,6.2899999999999996e-173,Desulfovibrio aespoeensis,95.413,109,2.32e-71,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,NA,NA,NA,NA,NA,AUID.994,NA,NA,NA,NA,NA,NA,NA,unknown3,3E,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.10004,AGE14368.1|uncultured_bacterium,98.466,326,1.76e-163,NA,NA,NA,NA,NA,AF059627.1,98.154,325,1.4199999999999998e-163,UCYN-A | Unidentified marine eubacterium clone HT1150,AUID.9340,UCYN-A6,76,98.795,2.04e-127,442,NA,UCYN-A | Unidentified marine eubacterium clone HT1150;AF059627.1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1B & 1G,unknown,unknown,unknown,unknown,unknown,unknown
AUID.100051,AAY85452.1|uncultured_bacterium,100,328,1.7499999999999997e-173,Pseudomonas stutzeri,98.165,109,8.27e-76,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,NA,NA,NA,NA,NA,AUID.98232,NA,NA,NA,NA,NA,1,NA,Pseudomonas stutzeri,1G,1,Pseudomonas stutzeri,1G,1G,1G,1B 1J/1K,1B & 1G,1G,Pseudomonas stutzeri,Pseudomonas stutzeri,Pseudomonas stutzeri,Pseudomonas stutzeri,Pseudomonas stutzeri
AUID.100172,AEI72374.1|uncultured_bacterium,90.184,326,5.259999999999999e-119,Chloroherpeton thalassium,90.826,109,5.379999999999999e-57,Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chloroherpeton,NA,NA,NA,NA,NA,AUID.99149,NA,NA,NA,NA,NA,NA,NA,unknown3,3L,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.1002,AHA50012.1|uncultured_bacterium,97.248,327,6.4299999999999986e-158,Pseudomonas stutzeri,97.248,109,5.5199999999999997e-76,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,NA,NA,NA,NA,NA,AUID.996,NA,NA,NA,NA,NA,1,NA,Pseudomonas stutzeri,1G,1,Pseudomonas stutzeri,1G,1G,1G,1B 1J/1K,1B & 1G,1G,Pseudomonas stutzeri,Pseudomonas stutzeri,Pseudomonas stutzeri,Pseudomonas stutzeri,Pseudomonas stutzeri
AUID.10033,SFX76670.1|Azotobacter_vinelandii,100,328,1.7499999999999997e-173,Azotobacter vinelandii,100,109,4.73e-77,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azotobacter,NA,NA,NA,NA,NA,AUID.9494,NA,NA,NA,NA,NA,1,NA,Azotobacter vinelandii,1G,1,Azotobacter vinelandii,1G,1G,1G,1B 1J/1K,1B & 1G,1G,Azotobacter vinelandii,Azotobacter vinelandii,Azotobacter vinelandii,Azotobacter vinelandii,Azotobacter vinelandii
AUID.10040,AHG25267.1|uncultured_marine,99.692,325,3.75e-170,Crocosphaera watsonii,100,108,1.24e-64,Bacteria;Cyanobacteria;__c;Chroococcales;__f;Crocosphaera,DQ118216.2,99.383,324,3.0199999999999998e-170,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6,AUID.9341,NA,NA,NA,NA,NA,1,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,1J,1,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,1B,1B,1B,1B,1B & 1G,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2
