arb_name	genus_species	NCBI nuc	NCBI prot	NCBI GI	nifHCluster	kingdom	phylum	class	order	family	genus
UncNos27	'Nostoc azollae'	ACIR01000190	EEG00294.1	224593902	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Anabaena
UncNos28	'Nostoc azollae'	ACIR01000142	EEG00728.1	224594384	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Anabaena
UncNos29	'Nostoc azollae'	ACIR01000100	EEG01482.1	224595180	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Anabaena
UncNos30	'Nostoc azollae'	NZ_ACIR01000100	ZP_03767991.1	225521115	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Anabaena
UncNos31	'Nostoc azollae'	NZ_ACIR01000142	ZP_03768757.1	225521923	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Anabaena
UncNos32	'Nostoc azollae'	NZ_ACIR01000190	ZP_03769194.1	225522408	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Anabaena
UncNos35	'Nostoc azollae'	CP002059	ADI63610.1	298232474	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Trichormus
UncNos36	'Nostoc azollae'	CP002059	ADI65308.1	298234172	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Trichormus
UncNos37	'Nostoc azollae'	CP002059	ADI65368.1	298234232	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Trichormus
UncNos38	'Nostoc azollae'	NC_014248	YP_003720733.1	298490556	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Trichormus
UncNos39	'Nostoc azollae'	NC_014248	YP_003722431.1	298492254	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Trichormus
UncNos40	'Nostoc azollae'	NC_014248	YP_003722491.1	298492314	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Trichormus
MhbTherm	(Methanobacterium thermoautotrophicum	NC_000916	NP_275785.1	15678670	4D	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
MhbTher2	(Methanobacterium thermoautotrophicum	AE000666	AAB85148.1	2621724	4D	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
MhbTher3	(Methanobacterium thermoautotrophicum	NC_000916	NP_276673.1	15679556	2B	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
MhbTher4	(Methanobacterium thermoautotrophicum	AE000666	AAB86034.1	2622682	2B	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
AcvCellu	Acetivibrio cellulolyticus	AEDB01000012	EFL62576.1	302592853	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio
AcvCell2	Acetivibrio cellulolyticus	NZ_AEDB01000012	ZP_07326207.1	303239682	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio
AciFerr2	Acidithiobacillus ferrooxidans	CP001132	ACH83478.1	198247885	1K	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
AciFerr3	Acidithiobacillus ferrooxidans	NC_011206	YP_002219685.1	198283364	1K	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
AciFerr4	Acidithiobacillus ferrooxidans	CP001219	ACK79918.1	218519332	1K	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
AciFerr5	Acidithiobacillus ferrooxidans	NC_011761	YP_002425950.1	218667119	1K	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
AlkMetal	Alkaliphilus metalliredigens	CP000724	ABR49651.1	149951123	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Alkaliphilus
