AUID_updt,cluster,subcluster
AUID.1,1,1G
AUID.10,1,1K
AUID.100,1,1G
AUID.1000,3,3E
AUID.10004,1,1B
AUID.100051,1,1G
AUID.100172,3,3L
AUID.1002,1,1G
AUID.10033,1,1G
AUID.10040,1,1J
AUID.100438,1,1A
AUID.1005,3,3E
AUID.10051,1,1G
AUID.1006,1,1O
AUID.10060,1,1G
AUID.10068,1,1B
AUID.10075,2,2C
AUID.10076,1,1B
AUID.100798,1,1G
AUID.10093,1,1K
AUID.10095,1,1G
AUID.10096,1,1B
AUID.101015,3,3N
AUID.10108,1,1G
AUID.10112,1,1B
AUID.10119,1,1B
AUID.10120,1,1G
AUID.10128,1,1G
AUID.10132,2,2C
AUID.10133,1,1B
AUID.10134,1,1B
AUID.10135,1,1B
AUID.10143,1,1J
AUID.10144,1,1J
AUID.10146,1,1J
AUID.10147,1,1G
AUID.10148,1,1B
AUID.1015,3,3E
AUID.10150,1,1B
AUID.10151,1,1G
AUID.10154,1,1B
AUID.10157,1,1G
AUID.10158,1,1B
AUID.10160,1,1B
AUID.10161,1,1G
AUID.10163,1,1G
AUID.10166,3,3E
AUID.10167,3,3E
AUID.101670,3,3N
AUID.10168,1,1G
AUID.10169,1,1A
AUID.10170,1,1G
AUID.10171,1,1A
AUID.10172,1,1A
AUID.10173,1,1A
AUID.10174,1,1A
AUID.10175,1,1A
AUID.10176,1,1A
AUID.10177,1,1P
AUID.10178,1,1P
AUID.10179,1,1A
AUID.10180,1,1G
AUID.10181,1,1A
AUID.10182,1,1A
AUID.10183,1,1A
AUID.10184,3,3T
AUID.10185,1,1P
AUID.10186,3,3H
AUID.10187,1,1P
AUID.10188,1,1A
AUID.10189,1,1A
AUID.10190,1,1A
AUID.10191,3,3G
AUID.10192,1,1A
AUID.10193,3,3
AUID.10194,1,1P
AUID.10195,1,1P
AUID.10196,1,1A
AUID.10197,1,1A
AUID.10198,1,1A
AUID.10199,1,1A
AUID.10200,1,1A
AUID.10201,3,3E
AUID.10202,1,1A
AUID.10204,1,1A
AUID.10205,1,1G
AUID.10206,3,3E
AUID.10207,1,1A
AUID.10208,3,3N
AUID.10209,1,1A
AUID.10210,1,1A
AUID.10211,1,1G
AUID.10212,3,3E
AUID.10213,3,3I
AUID.10214,1,1A
AUID.10215,3,3P
AUID.10216,1,1A
AUID.10217,3,3E
AUID.10218,1,1A
AUID.10219,1,1A
AUID.10220,3,3I
AUID.10221,1,1A
AUID.10222,1,1A
AUID.10223,1,1A
AUID.10224,1,1A
AUID.10225,3,3N
AUID.10226,1,1G
AUID.10227,3,3G
AUID.10228,1,1P
AUID.10229,3,3I
AUID.1023,1,1A
AUID.10230,1,1A
AUID.10231,1,1G
AUID.10232,1,1A
AUID.10233,1,1A
AUID.10234,1,1A
AUID.10235,1,1A
AUID.10236,1,1A
AUID.10237,1,1A
AUID.10238,1,1A
AUID.10239,1,1A
AUID.1024,1,1A
AUID.10240,1,1A
AUID.10241,1,1A
AUID.10242,1,1A
AUID.10243,1,1G
AUID.10244,1,1A
AUID.10245,3,3E
AUID.10246,1,1P
AUID.10247,3,3E
AUID.10248,1,1A
AUID.10249,1,1A
AUID.10250,1,1A
AUID.10251,3,3E
AUID.10252,1,1A
AUID.10253,3,3N
AUID.10254,1,1A
AUID.102541,1,1J
AUID.10255,1,1A
AUID.10256,3,3
AUID.10257,1,1A
AUID.10258,3,3E
AUID.10259,1,1K
AUID.10263,3,3L
AUID.10266,3,3K
AUID.10267,3,3N
AUID.10268,3,3E
AUID.10269,3,3N
AUID.10270,1,1G
AUID.10272,3,3M
AUID.10273,1,1O
AUID.10275,4,4G
AUID.10277,3,3E
AUID.102791,3,3E
AUID.1028,3,3E
AUID.10284,3,3E
AUID.10285,1,1P
AUID.10288,1,1K
AUID.10292,3,3E
AUID.10299,3,3R
AUID.10306,3,3I
AUID.10310,4,4G
AUID.103117,1,1G
AUID.10313,1,1A
AUID.10316,3,3Q
AUID.10317,3,3E
AUID.1032,3,3E
AUID.10322,3,3G
AUID.10323,1,1A
AUID.10325,1,1P
AUID.10332,1,1K
AUID.10333,1,1A
AUID.10334,1,1A
AUID.10335,3,3N
AUID.10336,1,1A
AUID.10338,3,3I
AUID.10339,1,1K
AUID.10345,3,3N
AUID.10346,1,1P
AUID.10348,3,3E
AUID.10349,1,1A
AUID.1035,1,1G
AUID.10351,3,3E
AUID.10352,1,1E
AUID.10353,3,3E
AUID.10354,1,1O
AUID.10355,3,3J
AUID.10356,1,1K
AUID.10358,3,3N
AUID.10360,1,1P
AUID.10361,3,3E
AUID.10362,3,3Q
AUID.10365,3,3I
AUID.10366,2,2D
AUID.10367,3,3E
AUID.10368,3,3E
AUID.10373,3,3E
AUID.10374,3,3E
AUID.10381,3,3E
AUID.103843,1,1G
AUID.1039,3,3E
AUID.10392,1,1A
AUID.10394,1,1P
AUID.10395,3,3H
AUID.104,3,3N
AUID.10400,3,3H
AUID.10401,3,3E
AUID.10407,1,1K
AUID.1041,1,1G
AUID.10411,3,3E
AUID.10418,1,1G
AUID.10419,3,3E
AUID.10422,3,3L
AUID.10423,1,1C
AUID.10433,3,3B
AUID.10437,1,1P
AUID.1044,1,1
AUID.10441,1,1K
AUID.10444,3,3N
AUID.10445,3,3N
AUID.10447,3,3I
AUID.10448,3,3N
AUID.1045,1,1A
AUID.10450,1,1A
AUID.10451,3,3E
AUID.10452,1,1A
AUID.10453,1,1A
AUID.10457,1,1G
AUID.10459,1,1P
AUID.104597,1,1G
AUID.10460,3,3Q
AUID.10461,1,1A
AUID.10462,1,1P
AUID.10465,3,3J
AUID.10466,1,1A
AUID.10467,3,3N
AUID.10470,1,1A
AUID.104703,1,1A
AUID.10476,3,3J
AUID.10479,1,1G
AUID.10487,1,1G
AUID.10492,3,3G
AUID.10493,1,1O
AUID.10495,3,3T
AUID.10497,3,3N
AUID.10498,1,1J
AUID.105,1,1G
AUID.10506,1,1A
AUID.10510,1,1A
AUID.10512,3,3N
AUID.10513,1,1A
AUID.10514,1,1G
AUID.10515,1,1A
AUID.10516,1,1P
AUID.10521,1,1A
AUID.10522,3,3T
AUID.10526,1,1A
AUID.10528,3,3P
AUID.10529,1,1K
AUID.10532,1,1J
AUID.10535,3,3E
AUID.10536,3,3B
AUID.10538,3,3H
AUID.10540,1,1A
AUID.10543,3,3N
AUID.10548,3,3G
AUID.1055,1,1B
AUID.10553,1,1P
AUID.10557,1,1A
AUID.10558,3,3L
AUID.10559,1,1A
AUID.1056,1,1G
AUID.10561,3,3N
AUID.10568,1,1A
AUID.1057,1,1K
AUID.10574,1,1O
AUID.10576,1,1P
AUID.10577,3,3E
AUID.10578,1,1P
AUID.105799,1,1G
AUID.10585,1,1K
AUID.10586,3,3K
AUID.10588,3,3P
AUID.10589,3,3N
AUID.10590,3,3G
AUID.10592,1,1J
AUID.10596,3,3P
AUID.10599,3,3S
AUID.106,1,1B
AUID.10604,3,3E
AUID.10615,1,1K
AUID.10616,1,1K
AUID.10618,3,3E
AUID.10619,3,3L
AUID.10620,3,3E
AUID.10621,3,3L
AUID.10624,1,1A
AUID.10625,3,3E
AUID.10626,3,3Q
AUID.10627,3,3S
AUID.10629,3,3E
AUID.10630,3,3E
AUID.10632,1,1K
AUID.10634,1,1A
AUID.10636,3,3E
