,MarineDiazo.subject,MarineDiazo.description,,,,,,,
0,MAG_00070,alpha 2,,,,,,,
1,AF059627.1,UCYN-A | Unidentified marine eubacterium clone HT1150,,,,,,,
2,DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6,,,,,,,
3,Part_Farn_OTU_1012,Gamma 3,,,,,,,
4,alpha1,alpha1|MH144511|α-ETSP1,,,,,,,
5,Npac_Shio_otu00009,g-ETSP2,,,,,,,
6,AY896367.1,Tricho | Uncultured marine bacterium clone TAM229404,,,,,,,
7,SCCS_Turk_denovo2,SCCS-Turk-denovo2,,,,,,,
8,AY706888.1,Het-1 | Uncultured bacterium clone HT_9025h5 ,,,,,,,
9,Croco_otu3,Cwaterburyi,,,,,,,
10,SCCS_Turk_denovo3,SCCS-Turk-denovo3,,,,,,,
11,CB914H4,NB3-Pelobacter|CB914H4,,,,,,,
12,Chuk_Shio_otu1,Chuk-Shio-otu1,,,,,,,append subject to description separated by ;
13,Chuk_Shio_otu4,Chuk-Shio-otu1,,,,,,,
14,Antarc_Shio_SV004,TARA_PON_109_MAG_00047,,,,,,,
15,P8_Loesch,Gamma 4|P8-Loescher,,,,,,,
16,AY528677.1,Tricho | Uncultured marine bacterium clone HT264A104,,,,,,,
17,CE2_5m_1_g,CE2_5m_1_g,,,,,,,
18,TARA_MATOU-v1_23614344,Gamma A|A015|γ24774A11,,,,,,,
19,ABP37981.1,g-ETSP1,,,,,,,
20,MAG_00010_gamma,Gamma 4|P8-Loescher,,,,,,,
21,Gamma_A_Langl,Gamma A|A015|γ24774A11,,,,,,,
22,AGP75718.1,AGP75718.1,,,,,,,
23,U90952.1,Trichodesmium sp.,,,,,,,
24,MAG_00031,TARA_PSW_86_MAG_00031,,,,,,,
25,MAG_00116,TARA_IOS_50_MAG_00116,,,,,,,
26,MAG_00015,TARA_PON_109_MAG_00015,,,,,,,
27,NB7_Desulfovibrio,NB7-Desulfovibrio,,,,,,,
28,Chuk_Shio_otu2,Chuk-Shio-otu1,,,,,,,
29,U23507.1,Trichodesmium thiebautii,,,,,,,
30,HM210392.1,UCYN-A | Uncultured bacterium clone HH1879,,,,,,,
31,NC_Turk_OTU01,Gamma A|A015|γ24774A11,,,,,,,
32,BT5667A01,alpha1|MH144511|α-ETSP1,,,,,,,
33,AF395130.1,Katagnymene spiralis nitrogenase| AF395130.1,,,,,,,
34,MAG_00185,TARA_AON_82_MAG_00185,,,,,,,
35,CAL79071.1,CAL79071.1,,,,,,,
36,Cluster_3,Cluster-3,,,,,,,
37,MAG_00023,TARA_ION_MAG_00014,,,,,,,
38,ALV82265.1,alpha1|MH144511|α-ETSP1,,,,,,,
39,9033127,9033127,,,,,,,
40,BAL361,BAL354|OTU0001-Pseu.*,,,,,,,
41,MAG_00024,TARA_PSE_93_MAG_00024,,,,,,,
42,CE1_45m_12_a,CE1_45m_12_a,,,,,,,
43,MAG_00126,TARA_PSE_93_MAG_00126,,,,,,,
44,AY896461.1,UCYN-C | Uncultured marine bacterium clone TAS1406,,,,,,,
45,MAG_00047,TARA_PON_109_MAG_00047,,,,,,,
46,AEA49175.1,CE1_45m_12_a,,,,,,,
47,MAG_00042_2020,TARA_PSE_93_MAG_00042,,,,,,,
48,Antarc_Shio_SV003,TARA_PON_109_MAG_00047,,,,,,,
49,Cluster_III_L,Cluster-III-L|Cluster-III-C,,,,,,,
50,MAG_00263,TARA_AON_82_MAG_00263,,,,,,,
51,MAG_00193,TARA_AON_82_MAG_00193,,,,,,,
52,KF806604.1,Candidatus Atelocyanobacterium thalassa isolate SIO0511E01A_T7,,,,,,,
53,PSE_Id-1140575,PSE_Id-1140575,,,,,,,
54,BAL281,BAL281,,,,,,,
55,ACI11459.1,ACI11459.1,,,,,,,
56,NB3_Pelobacter_spp,NB3-Pelobacter|CB914H4,,,,,,,
57,ETSP3,BT19215A01|g-ETSP3,,,,,,,
58,AF299418.1,UCYN-B | Unidentified marine bacterial clone HT1904 ,,,,,,,
59,AY896454.1,Croco | Uncultured marine bacterium clone TAS4104,,,,,,,
60,MW562849.1,E.pelagicaSB,,,,,,,
61,MW562850.1,E.pelagicaSB,,,,,,,
62,SoJ_Sato_SV005,Gamma A|A015|γ24774A11,,,,,,,
63,BT19215A01,BT19215A01|g-ETSP3,,,,,,,
64,DQ225753.1,Het-2 | Uncultured Richelia sp. clone 5239O41,,,,,,,
65,MW562851.1,E.pelagicaSB,,,,,,,
66,MAG_00043,TARA_PSE_93_MAG_00043,,,,,,,
67,DQ225762.1,Het-3 |Richelia sp. SC01 clone 5325A93,,,,,,,
68,AO15,Gamma A|A015|γ24774A11,,,,,,,
69,CB907H22,CB907H22,,,,,,,
70,Part_Farn_OTU_1107,Gamma A|A015|γ24774A11,,,,,,,
71,HBD08_MAG_00130,HBD-08|TARA_PSW_MAG_00130,,,,,,,
72,MAG_00096,TARA_AON_82_MAG_00096,,,,,,,
73,SCW_Cabe_denovo6,cIII-ETSP,,,,,,,
74,SCCS_Turk_denovo5,cIII-ETSP,,,,,,,
75,SCW_Cabe_denovo5,cIII-ETSP,,,,,,,
76,MAG_00055,TARA_AON_82_MAG_00055,,,,,,,
77,Cluster_III_C,Cluster-III-L|Cluster-III-C,,,,,,,
78,ACD87603.1,Gamma A|A015|γ24774A11,,,,,,,
79,EU381357.1,Anabaena sp. PA1 clone 7106A02,,,,,,,
80,MW562846.1,E.catenataSB,,,,,,,
81,Antarc_Shio_SV002,TARA_PON_109_MAG_00047,,,,,,,
82,SAtl_Ribe_otu006,Gamma A|A015|γ24774A11,,,,,,,
83,8955342,8955342,,,,,,,
