AUID,ARB2017.id,ARB2017.pctId,ARB2017.alen,ARB2017.evalue,Genomes879.id,Genomes879.pctId,Genomes879.alen,Genomes879.evalue,Genomes879.tax,MarineDiazo.subject,MarineDiazo.pid,MarineDiazo.alen,MarineDiazo.evalue,MarineDiazo.description,cluster,subcluster,AUID_updt,AUID_OLD,Genoes879.pid_flag,MarineDiazo.ID,consensus_id
AUID.1,AEA49330.1|uncultured_prokaryote,90.184,326.0,5.26e-119,Pseudomonas stutzeri,96.33,109.0,5.7e-75,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,,,,,,1,1G,AUID.1,AUID.1,,,unknown1G
AUID.10,AEA49524.1|uncultured_prokaryote,99.691,324.0,1.35e-169,Burkholderia unamae,96.296,108.0,9.65e-74,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,MAG_00070,99.385,325.0,8.399999999999998e-171,alpha 2,1,1K,AUID.10,AUID.98,,alpha 2;MAG_00070,alpha 2;MAG_00070
AUID.100,AHN50949.1|uncultured_bacterium,93.06,317.0,1.11e-130,Pseudomonas stutzeri,96.33,109.0,3.23e-75,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,,,,,,1,1G,AUID.100,AUID.179,,,unknown1G
AUID.1000,AFD03763.1|uncultured_bacterium,100.0,327.0,6.29e-173,Desulfovibrio aespoeensis,95.413,109.0,2.32e-71,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3E,AUID.1000,AUID.994,,,unknown3
AUID.10004,AGE14368.1|uncultured_bacterium,98.466,326.0,1.7600000000000002e-163,,,,,,AF059627.1,98.154,325.0,1.42e-163,UCYN-A | Unidentified marine eubacterium clone HT1150,4,4G,AUID.10004,AUID.9340,,UCYN-A | Unidentified marine eubacterium clone HT1150;AF059627.1,UCYN-A | Unidentified marine eubacterium clone HT1150;AF059627.1
AUID.100051,AAY85452.1|uncultured_bacterium,100.0,328.0,1.75e-173,Pseudomonas stutzeri,98.165,109.0,8.27e-76,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,,,,,,1,1G,AUID.100051,AUID.98232,1.0,,Pseudomonas stutzeri
AUID.100172,AEI72374.1|uncultured_bacterium,90.184,326.0,5.26e-119,Chloroherpeton thalassium,90.826,109.0,5.38e-57,Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chloroherpeton,,,,,,3,3L,AUID.100172,AUID.99149,,,unknown3
AUID.1002,AHA50012.1|uncultured_bacterium,97.248,327.0,6.43e-158,Pseudomonas stutzeri,97.248,109.0,5.5199999999999997e-76,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,,,,,,1,1G,AUID.1002,AUID.996,1.0,,Pseudomonas stutzeri
AUID.10033,SFX76670.1|Azotobacter_vinelandii,100.0,328.0,1.75e-173,Azotobacter vinelandii,100.0,109.0,4.73e-77,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azotobacter,,,,,,1,1G,AUID.10033,AUID.9494,1.0,,Azotobacter vinelandii
AUID.10040,AHG25267.1|uncultured_marine,99.692,325.0,3.75e-170,Crocosphaera watsonii,100.0,108.0,1.24e-64,Bacteria;Cyanobacteria;__c;Chroococcales;__f;Crocosphaera,DQ118216.2,99.383,324.0,3.02e-170,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6,1,1J,AUID.10040,AUID.9341,1.0,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2
AUID.100438,AMM02583.1|uncultured_prokaryote,91.768,328.0,1.86e-128,Pelobacter carbinolicus,93.578,109.0,4.72e-72,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.100438,AUID.99172,,,unknown1A
